"","start_day_2015","end_day_2015","duration_2015","minima_day_2015","minima_value_2015","minima_norm_all_2015","integral_2015","integral_norm_year_2015","integral_norm_all_2015","start_day_2016","end_day_2016","duration_2016","minima_day_2016","minima_value_2016","minima_norm_all_2016","integral_2016","integral_norm_year_2016","integral_norm_all_2016","start_day_2017","end_day_2017","duration_2017","minima_day_2017","minima_value_2017","minima_norm_all_2017","integral_2017","integral_norm_year_2017","integral_norm_all_2017","start_day_2018","end_day_2018","duration_2018","minima_day_2018","minima_value_2018","minima_norm_all_2018","integral_2018","integral_norm_year_2018","integral_norm_all_2018","start_day_2019","end_day_2019","duration_2019","minima_day_2019","minima_value_2019","minima_norm_all_2019","integral_2019","integral_norm_year_2019","integral_norm_all_2019","start_day_2020","end_day_2020","duration_2020","minima_day_2020","minima_value_2020","minima_norm_all_2020","integral_2020","integral_norm_year_2020","integral_norm_all_2020","start_day_2021","end_day_2021","duration_2021","minima_day_2021","minima_value_2021","minima_norm_all_2021","integral_2021","integral_norm_year_2021","integral_norm_all_2021","start_day_2022","end_day_2022","duration_2022","minima_day_2022","minima_value_2022","minima_norm_all_2022","integral_2022","integral_norm_year_2022","integral_norm_all_2022","start_day_2023","end_day_2023","duration_2023","minima_day_2023","minima_value_2023","minima_norm_all_2023","integral_2023","integral_norm_year_2023","integral_norm_all_2023","start_day_2024","end_day_2024","duration_2024","minima_day_2024","minima_value_2024","minima_norm_all_2024","integral_2024","integral_norm_year_2024","integral_norm_all_2024","start_day_2025","end_day_2025","duration_2025","minima_day_2025","minima_value_2025","minima_norm_all_2025","integral_2025","integral_norm_year_2025","integral_norm_all_2025","start_day _ 2015","end_day _ 2015","duration _ 2015","minima_day _ 2015","minima_value _ 2015","minima_norm_all _ 2015","integral _ 2015","integral_norm_year _ 2015","integral_norm_all _ 2015","start_day _ 2016","end_day _ 2016","duration _ 2016","minima_day _ 2016","minima_value _ 2016","minima_norm_all _ 2016","integral _ 2016","integral_norm_year _ 2016","integral_norm_all _ 2016","start_day _ 2017","end_day _ 2017","duration _ 2017","minima_day _ 2017","minima_value _ 2017","minima_norm_all _ 2017","integral _ 2017","integral_norm_year _ 2017","integral_norm_all _ 2017","start_day _ 2018","end_day _ 2018","duration _ 2018","minima_day _ 2018","minima_value _ 2018","minima_norm_all _ 2018","integral _ 2018","integral_norm_year _ 2018","integral_norm_all _ 2018","start_day _ 2019","end_day _ 2019","duration _ 2019","minima_day _ 2019","minima_value _ 2019","minima_norm_all _ 2019","integral _ 2019","integral_norm_year _ 2019","integral_norm_all _ 2019","start_day _ 2020","end_day _ 2020","duration _ 2020","minima_day _ 2020","minima_value _ 2020","minima_norm_all _ 2020","integral _ 2020","integral_norm_year _ 2020","integral_norm_all _ 2020","start_day _ 2021","end_day _ 2021","duration _ 2021","minima_day _ 2021","minima_value _ 2021","minima_norm_all _ 2021","integral _ 2021","integral_norm_year _ 2021","integral_norm_all _ 2021","start_day _ 2022","end_day _ 2022","duration _ 2022","minima_day _ 2022","minima_value _ 2022","minima_norm_all _ 2022","integral _ 2022","integral_norm_year _ 2022","integral_norm_all _ 2022","start_day _ 2023","end_day _ 2023","duration _ 2023","minima_day _ 2023","minima_value _ 2023","minima_norm_all _ 2023","integral _ 2023","integral_norm_year _ 2023","integral_norm_all _ 2023","start_day _ 2024","end_day _ 2024","duration _ 2024","minima_day _ 2024","minima_value _ 2024","minima_norm_all _ 2024","integral _ 2024","integral_norm_year _ 2024","integral_norm_all _ 2024","start_day _ 2025","end_day _ 2025","duration _ 2025","minima_day _ 2025","minima_value _ 2025","minima_norm_all _ 2025","integral _ 2025","integral_norm_year _ 2025","integral_norm_all _ 2025"
"A975201001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,279,90,231,-20,0.155945419103314,-94176000,4708800,734315.789473684,206,276,70,235,-40,0.311890838206628,-155520000,3888000,1212631.57894737,107,337,230,221,-26,0.202729044834308,-371611342.652649,14292743.9481788,2897554.32867562,92,323,231,249,-90,0.701754385964912,-985824000,10953600,7686736.84210526,134,281,147,211,-120,0.935672514619883,-829440000,6912000,6467368.42105263,146,328,182,307,-80,0.623781676413255,-700272000,8753400,5460210.52631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A782101001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,324,182,262,-100,0.25,-868320000,8683200,2170800,181,315,134,245,-80,0.2,-532224000,6652800,1330560,136,365,229,193,-50,0.125,-479505069.493772,9590101.38987543,1198762.67373443,100,337,237,157,-80,0.2,-823593121.898198,10294914.0237275,2058982.8047455,86,294,208,177,-90,0.225,-996192000,11068800,2490480,134,336,202,162,-100,0.25,-1011355200,10113552,2528388,125,195,70,175,-110,0.275,-350784000,3188945.45454545,876960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A735201001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,324,175,260,-100,0.588235294117647,-846288000,8462880,4978164.70588235,77,330,253,181,-170,1,-2085791234.50187,12269360.2029522,12269360.2029522,74,365,291,136,-90,0.529411764705882,-736136728.704702,8179296.9856078,4330216.05120413,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,346,260,177,-150,0.882352941176471,-1393200000,9288000,8195294.11764706,122,266,144,188,-200,1.17647058823529,-962064000,4810320,5659200,153,341,188,175,-140,0.823529411764706,-1450656000,10361828.5714286,8533270.58823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A800621001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,324,219,266,-50,0.571428571428571,-513401182.449585,10268023.6489917,5867442.08513811,92,243,151,210,-30,0.342857142857143,-254880000,8496000,2912914.28571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,254,91,190,-10,0.114285714285714,-39312000,3931200,449280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A983201001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,324,245,208,-420,1.06060606060606,-6190128000,14738400,15631636.3636364,167,328,161,279,-310,0.782828282828283,-2521761636.68948,8134714.95706285,6368084.94113506,95,331,236,235,-450,1.13636363636364,-2624519881.33545,5832266.40296766,6627575.4579178,131,309,178,156,-80,0.202020202020202,-810095388.584664,10126192.3573083,2045695.42571885,92,346,254,235,-95,0.23989898989899,-1292198483.73523,13602089.3024761,3263127.48417987,134,330,196,281,-50,0.126262626262626,-586891412.623648,11737828.252473,1482049.02177689,146,348,202,189,-252,0.636363636363636,-1633820752.48293,6483415.68445605,4125809.98101749,62,110,48,102,-70,0.176767676767677,-143190229.66127,2045574.70944671,361591.489043611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A973121001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,324,245,208,-330,0.993975903614458,-4642272000,14067490.9090909,13982746.9879518,172,328,156,231,-240,0.72289156626506,-1793196075.25972,7471650.31358218,5401192.99777025,123,331,208,173,-320,0.963855421686747,-3181013102.16355,9940665.94426108,9581364.76555285,108,337,229,200,-430,1.29518072289157,-5180474765.99928,12047615.734882,15603839.6566243,92,346,254,249,-270,0.813253012048193,-4172688000,15454400,12568337.3493976,134,330,196,183,-300,0.903614457831325,-3253824000,10846080,9800674.69879518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A523011001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,324,193,209,-100,0.982800982800983,-995644179.813089,9956441.79813089,9785200.78440382,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,314,223,192,-110,1.08108108108108,-1338711769.01013,12170106.9910012,13156872.422704,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,295,132,234,-80,0.786240786240786,-667440000,8343000,6559606.87960688,122,273,151,203,-80,0.786240786240786,-522720000,6534000,5137297.2972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A643112002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,366,298,179,-80,1.10344827586207,-726499142.146545,9081239.27683181,10020677.822711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A788101002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,245,81,188,-30,0.191693290734824,-137808000,4593600,880562.300319489,153,243,90,209,-140,0.894568690095847,-580608000,4147200,3709955.2715655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A350010001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,348,199,170,-120,0.428571428571429,-504964800,4208040,1803445.71428571,121,317,196,247,-198,0.707142857142857,-2034770743.9062,10276619.9187182,7267038.37109357,121,335,214,244,-80,0.285714285714286,-900568355.958418,11257104.4494802,3216315.55699435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,273,152,215,-75,0.267857142857143,-645197431.27706,8602632.41702746,2304276.54027521,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,306,161,284,-310,1.10714285714286,-786959752.021732,2538579.84523139,2810570.54293476,161,305,144,198,-60,0.214285714285714,-481626374.353837,8027106.23923062,1720094.19412085
"A907105050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,337,282,62,-108,1,-1853323374.39982,17160401.6148132,17160401.6148132,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,345,285,233,-95,0.87962962962963,-1383592716.3733,14564133.856561,12811043.6701231,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,365,274,210,-116,1.07407407407407,-1535930706.893,13240781.9559742,14221580.6193796,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,335,244,196,-99,0.916666666666667,-1093103517.98984,11041449.676665,10121328.8702763,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,335,202,192,-82,0.759259259259259,-1141283212.76141,13918087.960505,10567437.1551982,138,142,4,138,-250,2.31481481481481,-43200000,172800,4e+05,77,305,228,184,-90,0.833333333333333,-1189091100.96003,13212123.3440003,11010102.7866669
"A909106050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,334,327,197,-80,0.868149755832881,-918413656.053386,11480170.7006673,9966507.39070413,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,327,178,318,-113,1.22626153011394,-423698430.347023,3749543.63138959,4597921.11065679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,322,175,287,-70,0.759631036353771,-592836689.741967,8469095.56774239,6433387.84310328,145,335,190,193,-50,0.542593597395551,-496470758.218721,9929415.16437443,5387637.09407185,116,332,216,180,-89,0.96581660336408,-944667449.050744,10614241.0005702,10251410.1904584,138,142,4,138,-370,4.01519262072707,-95904000,259200,1040737.92729246,130,305,175,184,-35,0.379815518176885,-350463155.680224,10013233.019435,3803181.2879026
"A926000101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,345,259,212,-163,1.00741656365884,-1888813633.10519,11587813.7000319,11673755.4580049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,306,219,201,-51,0.315203955500618,-502055010.689647,9844215.89587543,3102935.789182,138,247,109,150,-53,0.327564894932015,-364564800,6878581.13207547,2253181.70580964,NA,NA,NA,NA,NA,NA,NA,NA,NA
