"","CdStationHydro","CdStationHydroAncienRef","LbStationHydro","TypStationHydro","DtMiseServiceStationHydro","DtFermetureStationHydro","ProjCoordStationHydro","CoordXStationHydro","CoordYStationHydro","NomIntervenant","LbAffichageStationHydro"
"62","A125020001","A1252010","La Doller à Reiningue","STD","1967-11-22 00:00:00+01",NA,"26",1016998,6746841,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"63","A125020101","A1252050","Le ruisseau le Dollerbaechlein à Pfastatt","STD","1977-09-20 00:00:00+02","1987-11-12 12:00:00+01","26",1022247,6748530,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"64","A125020201","A1256410","La Doller à Burnhaupt-le-Haut","STD","1971-09-28 00:00:00+01","1988-02-13 12:00:00+01","26",1018611,6747119,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"65","A125053101","A1255310","Le ruisseau le Steinbaechel à Mulhouse [Dornach Mer Rouge]","STD","1967-03-01 00:00:00+01","1977-09-01 12:00:00+02","26",1022190,6747297,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"66","A125053201","A1255320","Le ruisseau le Steinbaechel à Morschwiller-le-Bas","STD","1977-08-01 00:00:00+02","1985-11-01 12:00:00+01","26",1021147,6746446,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"67","A130000101","A1300300","L'Ill à Sausheim","STD","2014-01-01 00:00:00+01",NA,"26",1025952,6750794,"Conseil Général du Haut-Rhin","Vigicrues/HydroPortail/Hydro 2"
"68","A132030201","A1313030","Le ruisseau le Dollerbaechlein à Reiningue","STD","1977-06-01 00:00:00+02","1980-03-01 12:00:00+01","26",1018647,6747235,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"69","A133003001","A1310310","L'Ill à Ensisheim","STD","1957-01-16 00:00:00+01",NA,"26",1024938,6760781,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"70","A133043101","A1160552","Le ruisseau Quatelbach à Mulhouse","STD","1998-04-30 00:00:00+02","2001-10-31 17:50:00+01","26",1026153,6749233,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"71","A133043201","A1304320","Le ruisseau Quatelbach à Sausheim","STD","1981-05-27 00:00:00+02","2001-10-31 23:30:00+01","26",1027512,6752426,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"72","A133043301",NA,"Le ruisseau Quatelbach à Illzach","STD","2007-01-01 00:00:00+01",NA,"26",1026196,6750038,"Conseil Général du Haut-Rhin","HydroPortail"
"73","A140020001","A1402030","La Thur à Kruth [point IV]","STD","1964-05-19 00:00:00+01","1999-01-01 08:30:00+01","26",995254,6767776,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"74","A140020002","A1402010","La Thur à Kruth [point IV] - 1","STD","1957-05-01 00:00:00+01","1961-03-01 12:00:00+01","26",995262,6767766,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"75","A140202001","A1402020","La Thur à Wildenstein","STD","1979-10-16 00:00:00+01",NA,"26",995398,6771431,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
