Unnamed: 0 (2),codehydro,nom,courdo,mnemo,comment,codesitehydro3,Site,Name_station,Geometry,File_location,Commentaire,start_day_2015,end_day_2015,duration_2015,minima_day_2015,minima_value_2015,minima_norm_all_2015,integral_2015,integral_norm_year_2015,integral_norm_all_2015,start_day_2016,end_day_2016,duration_2016,minima_day_2016,minima_value_2016,minima_norm_all_2016,integral_2016,integral_norm_year_2016,integral_norm_all_2016,start_day_2017,end_day_2017,duration_2017,minima_day_2017,minima_value_2017,minima_norm_all_2017,integral_2017,integral_norm_year_2017,integral_norm_all_2017,start_day_2018,end_day_2018,duration_2018,minima_day_2018,minima_value_2018,minima_norm_all_2018,integral_2018,integral_norm_year_2018,integral_norm_all_2018,start_day_2019,end_day_2019,duration_2019,minima_day_2019,minima_value_2019,minima_norm_all_2019,integral_2019,integral_norm_year_2019,integral_norm_all_2019,start_day_2020,end_day_2020,duration_2020,minima_day_2020,minima_value_2020,minima_norm_all_2020,integral_2020,integral_norm_year_2020,integral_norm_all_2020,start_day_2021,end_day_2021,duration_2021,minima_day_2021,minima_value_2021,minima_norm_all_2021,integral_2021,integral_norm_year_2021,integral_norm_all_2021,start_day_2022,end_day_2022,duration_2022,minima_day_2022,minima_value_2022,minima_norm_all_2022,integral_2022,integral_norm_year_2022,integral_norm_all_2022,start_day_2023,end_day_2023,duration_2023,minima_day_2023,minima_value_2023,minima_norm_all_2023,integral_2023,integral_norm_year_2023,integral_norm_all_2023,start_day_2024,end_day_2024,duration_2024,minima_day_2024,minima_value_2024,minima_norm_all_2024,integral_2024,integral_norm_year_2024,integral_norm_all_2024,start_day_2025,end_day_2025,duration_2025,minima_day_2025,minima_value_2025,minima_norm_all_2025,integral_2025,integral_norm_year_2025,integral_norm_all_2025,start_day _ 2015,end_day _ 2015,duration _ 2015,minima_day _ 2015,minima_value _ 2015,minima_norm_all _ 2015,integral _ 2015,integral_norm_year _ 2015,integral_norm_all _ 2015,start_day _ 2016,end_day _ 2016,duration _ 2016,minima_day _ 2016,minima_value _ 2016,minima_norm_all _ 2016,integral _ 2016,integral_norm_year _ 2016,integral_norm_all _ 2016,start_day _ 2017,end_day _ 2017,duration _ 2017,minima_day _ 2017,minima_value _ 2017,minima_norm_all _ 2017,integral _ 2017,integral_norm_year _ 2017,integral_norm_all _ 2017,start_day _ 2018,end_day _ 2018,duration _ 2018,minima_day _ 2018,minima_value _ 2018,minima_norm_all _ 2018,integral _ 2018,integral_norm_year _ 2018,integral_norm_all _ 2018,start_day _ 2019,end_day _ 2019,duration _ 2019,minima_day _ 2019,minima_value _ 2019,minima_norm_all _ 2019,integral _ 2019,integral_norm_year _ 2019,integral_norm_all _ 2019,start_day _ 2020,end_day _ 2020,duration _ 2020,minima_day _ 2020,minima_value _ 2020,minima_norm_all _ 2020,integral _ 2020,integral_norm_year _ 2020,integral_norm_all _ 2020,start_day _ 2021,end_day _ 2021,duration _ 2021,minima_day _ 2021,minima_value _ 2021,minima_norm_all _ 2021,integral _ 2021,integral_norm_year _ 2021,integral_norm_all _ 2021,start_day _ 2022,end_day _ 2022,duration _ 2022,minima_day _ 2022,minima_value _ 2022,minima_norm_all _ 2022,integral _ 2022,integral_norm_year _ 2022,integral_norm_all _ 2022,start_day _ 2023,end_day _ 2023,duration _ 2023,minima_day _ 2023,minima_value _ 2023,minima_norm_all _ 2023,integral _ 2023,integral_norm_year _ 2023,integral_norm_all _ 2023,start_day _ 2024,end_day _ 2024,duration _ 2024,minima_day _ 2024,minima_value _ 2024,minima_norm_all _ 2024,integral _ 2024,integral_norm_year _ 2024,integral_norm_all _ 2024,start_day _ 2025,end_day _ 2025,duration _ 2025,minima_day _ 2025,minima_value _ 2025,minima_norm_all _ 2025,integral _ 2025,integral_norm_year _ 2025,integral_norm_all _ 2025,Unnamed: 0 (1),nosta,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,synchronisation,region,Unnamed: 0,Surface_bv..km..,Altitude..m.,en_service,Start.Year,End.Year,X..of.data.points,X..of.positive.points,average.of.data.points,X..of.singular.years,condition,over_15points,over_2years,negative_average,no_postive_points,Surface_bv..km...1,Altitude..m..1,Start.Year.1,End.Year.1,X..of.data.points.1,X..of.positive.points.1,average.of.data.points.1,X..of.singular.years.1
K230081001,K2300810,LANGEAC,ALLIER,K2300810,,K2300810,K2300810,L'Allier à Langeac,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [3.490548058917991, 45.11686324604452]}",Correction_data/K230081001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,258,118,182,-20,0.350109,-1.08558e+08,5.4279e+06,1.90036e+06,140,307,167,187,-50,0.875274,-3.08425e+08,6.16851e+06,5.39913e+06,,,,,,,,,,131,269,138,177,-55,0.962801,-3.37039e+08,6.12798e+06,5.90003e+06,99,246,147,185,-45,0.787746,-2.71231e+08,6.02736e+06,4.74803e+06,,,,,,,,,,,,,,,,,,,14,207,193,152,-60,1.05033,-5.22351e+08,8.70584e+06,9.14399e+06,173,244,71,200,-27,0.472648,-6.45774e+07,2.39176e+06,1.13046e+06,153,243,90,186,-54,0.945295,-2.71323e+08,5.02449e+06,4.74963e+06,120,365,245,147,-30,0.525164,-3.63215e+08,1.21072e+07,6.35824e+06,300,165,738572,6.44651e+06,,1804,S,430450,22.1,7.2,280,460,590,1997-11-14 00:00:00,0,,,,,48682,2015-12-17 14:19:00,?,,Loire,9,1781,495,True,2014,2025,72,0,-0.0215139,11,True,True,True,True,True,,,,,,,,
K549090001,K5490900,VIERZON,LE CHER,K5490900,MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.,K5490900,K5490900,Le Cher à Vierzon,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.06565919376165, 47.216566612253175]}",Correction_data/K549090001.csv,Barrage de Rochebut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31,11,27,-135,0.338388,-5.2902e+07,391867,132603,122,293,171,155,-810,2.03033,-1.148e+09,1.41728e+06,2.87755e+06,139,364,225,214,-57,0.142875,-7.34314e+08,1.28827e+07,1.84062e+06,193,339,146,262,-65,0.162928,-5.35431e+08,8.2374e+06,1.3421e+06,144,363,219,170,-111,0.27823,-1.03606e+09,9.33387e+06,2.59697e+06,205,274,69,240,-77,0.193007,-2.45034e+08,3.18226e+06,614197,195,343,148,322,-82,0.20554,-4.96678e+08,6.05704e+06,1.24496e+06,205,317,112,257,-32,0.0802106,-2.30127e+08,7.19146e+06,576831,,,,,,,,,,106,209,103,192,-43,0.107783,-2.01277e+08,4.68087e+06,504518,,,,,,,,,,310,178,577570,2.24648e+06,,4550,S,430450,28.1,3.05,204,316,390,2003-01-15 00:00:00,0,,,VIERZON,18279,9655,2025-05-02 09:55:00,?,1,Loire,12,4550,96,True,2006,2026,341,0,-0.0700147,21,True,True,True,True,True,,,,,,,,
K633252001,K6332520,BRINON-SUR-SAULDRE,LA GRANDE SAULDRE,K6332520,MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.,K6332520,K6332520,La Sauldre à Brinon-sur-Sauldre,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.258762682035278, 47.56409702310174]}",Correction_data/K633252001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,182,26,181,-31,0.260778,-2.46274e+07,794432,207171,275,335,60,300,-32,0.26919,-7.49966e+07,2.34365e+06,630887,3,44,41,26,-19,0.159832,-3.85058e+07,2.02662e+06,323918,,,,,,,,,,226,347,121,268,-52,0.437434,-2.7833e+08,5.35249e+06,2.34136e+06,225,340,115,281,-56,0.471083,-4.15385e+08,7.41759e+06,3.4943e+06,105,168,63,119,-29,0.243954,-1.20099e+08,4.14135e+06,1.0103e+06,,,,,,,,,,208,313,105,257,-24,0.201893,-1.09032e+08,4.54301e+06,917201,215,354,139,318,-35,0.294427,-2.23429e+08,6.38369e+06,1.87953e+06,108,365,257,122,-5,0.042061,-5.55082e+07,1.11016e+07,466946,321,192,594160,2.28496e+06,,594,S,430450,4.32,0.55,43,64.9,111,1998-07-22 00:00:00,0,,,BRINON-SUR-SAULDRE,,,2025-05-02 10:01:00,?,1,Loire,4,606,128,True,2007,2025,257,0,-0.0242374,18,True,True,True,True,True,,,,,,,,
K091001011,K0910050,VILLEREST (PONT DE VILLEREST,Loire,K0910050," A partir du 13-08-2024,un intervalle de publication a été mise en place sur  la courbe de tarage de Villerest Pont.
Seuls les débits de Villerest Pont supérieur à 100 m3/s sont visualisables dans Hydroportail et Vigicrue.

Cette date coincide avec la création de la station de Villerest Pont dans le référentiel Hydroportail ainsi que sur la base barème avec un tout premier Jaugeage le 13 aout 2024.",K0910010,K0910010,La Loire à Villerest - Pont de Villerest,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [4.041950367623174, 46.00155002766155]}",Correction_data/K091001011.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,307,159,218,-175,0.648148,-1.24168e+09,7.09532e+06,4.59882e+06,103,161,58,161,-270,1,-5.87345e+08,2.17535e+06,2.17535e+06,,,,,,,,,,165,353,188,277,-120,0.444444,-1.06696e+09,8.89134e+06,3.95171e+06,176,328,152,233,-210,0.777778,-1.46173e+09,6.9606e+06,5.4138e+06,101,350,249,273,-108,0.4,-1.01149e+09,9.36561e+06,3.74625e+06,218,363,145,236,-60,0.222222,-4.28306e+08,7.13844e+06,1.58632e+06,167,319,152,250,-150,0.555556,-1.03843e+09,6.92288e+06,3.84604e+06,172,339,167,270,-300,1.11111,-1.77741e+09,5.92471e+06,6.58301e+06,198,249,51,228,-110,0.407407,-3.60695e+08,3.27904e+06,1.33591e+06,,,,,,,,,,327,211,780973,6.54455e+06,,6598,S,430450,,,,,,?,0,,,,,26751,2025-05-02 15:33:00,?,,Loire,22,6585,275,True,2011,2026,223,4,-0.0850897,16,False,True,True,True,False,,,,,,,,
K565301001,K5653010,ORMEDIOT,AURON,K5653010,"ORMEDIOT           L'Auron                 MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.
==========================
mise en service : 19/12/1966 11:40


01/09/1971 : installation de la station

14/10/1977 : nettoyage section amont ( pierres )

04/11/1980 : nettoyage 

10/08/1982 : tornade -> branches cassées et arbres couchés remontant le
             niveau

03/11/1982 : nettoyage en aval

05/09/1983 : arbre dans le lit en amont et en aval

17/10/1983 : nouvel emplacement , nouvelle échelle

09/01/1984 : nettoyage du lit en amont du pont

02/02/1988 : début de curage

11/04/1990 : mise en service saisie sur site

du 30/09/1997 au 07/10/1997 travaux de construction du seuil
                                                         
07/10/1997 : mise en service du seuil construit en aval du pont

09/12/1998 : remplacement de la batterie du panneau solaire et connectique

22/11/1999 : remplacement du bidim de la prise d'eau

28/08/2000 : démontage et nettoyage de la sonde USI, collage du fond de la boite de sonde

",K5653010,K5653010,L'Auron à Bourges - L'Ormediot,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.4480593014138567, 47.0369647026248]}",Correction_data/K565301001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,205,53,164,-18,0.36,-4.19956e+07,2.33309e+06,839912,261,325,64,296,-29,0.58,-8.0258e+07,2.76752e+06,1.60516e+06,119,310,191,281,-50,1,-4.49336e+08,8.98672e+06,8.98672e+06,,,,,,,,,,,,,,,,,,,41,251,210,174,-100,2,-4.99905e+08,4.99905e+06,9.9981e+06,74,201,127,173,-23,0.46,-1.46029e+08,6.34908e+06,2.92058e+06,249,345,96,305,-47,0.94,-1.95024e+08,4.14945e+06,3.90048e+06,,,,,,,,,,334,234,608.476,2226.35,,585,S,430450,3.63,0.198,29.8,42.7,51.3,2002-07-18 00:00:00,0,,,BOURGES,18033,,2025-05-02 10:18:00,?,1,Loire,16,585,130,True,1985,2026,129,1,-0.0218527,20,False,True,True,True,False,,,,,,,,
M107302001,M1073020,CONIE-MOLITARD [PONT DE BLEUET],LA CONIE,M1073020,"Cette station est située sur la commune de Conie-Molitard (28), lieu-dit""Pont de bleuet"" au pont de la D1117 remplace celle de ""Valainville"" à Conie-Molitard (M1073010).
Equipement: Centrale ALCYR avec capteur Ultra-Son, alimentation batterie 12v Télétransmission: 02 37 96 13 99 code BLEUET
24/12/1997 : Nivellement / au repère NGF situé sur le pont en aval R.D.Altitude du NGF: 115,822m - Contrôle: Seuil bétonné, il se retrouve régulièrement noyé pendant la période d'avril à novembre par l'influence de la végétation aquatique du lit en aval. Les mesures de débit sont effectuées à l'aplomb aval du pont.
10/02/1998 au 20/02/1998 : Durée des travaux de construction du seuil.L'altitude du point bas du seuil: 112,20m (à vérifier)Soit un DEBIT NUL à la cote de 0.17m à l'échelle
29/06/1999 : Faucardage de la végétation aquatique par le syndicat de la Conie, non confirmé par celui-ci.
25/09/2000 : Faucardage de la végétation aquatique par le syndicat de la Conie.
04/10/2001 au 06/10/2001 : Faucardage de la végétation aquatique par le syndicat de la Conie. Confirmé par M.Vandromme(Président)
25/06/2003 : Faucardage de la végétation aquatique par le syndicat de la Conie. Confirmé par M.Vandromme(Président) tél.02 37 96 92 18
25/07/2005 : Faucardage de la végétation aquatique par le syndicat de la Conie. Confirmé par M.Vandromme(Président)
27/01/2010 : Changement code hydro pour l'intégration dans le réseau Cristal - Ancien: M1073001  Nouveau: M1073020

Mise à jour Débit caractéristiques le 24/04/2025
",M1073020,M1073020,La Conie à Conie-Molitard,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.4521486691222942, 48.121073819120824]}",Correction_data/M107302001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,274,209,131,-170,1.01873,-1.24027e+09,7.29572e+06,7.43234e+06,61,365,304,167,-165,0.988764,-1.55693e+09,9.43593e+06,9.32991e+06,69,219,150,162,-150,0.898876,-1.053e+09,7.02e+06,6.31011e+06,67,314,247,178,-160,0.958801,-1.4161e+09,8.8506e+06,8.48597e+06,52,267,215,140,-95,0.569288,-7.3332e+08,7.71916e+06,4.39443e+06,46,232,186,126,-150,0.898876,-1.35799e+09,9.05328e+06,8.13778e+06,43,263,220,174,-130,0.779026,-1.10878e+09,8.52905e+06,6.64435e+06,97,192,95,124,-43,0.257678,-2.35202e+08,5.46982e+06,1.40945e+06,108,327,219,137,-17,0.101873,-2.02326e+08,1.19015e+07,1.21244e+06,104,251,147,191,-134,0.802996,-1.00439e+09,7.49543e+06,6.0188e+06,,,,,,,,,,344,259,584.84,6781.21,,500,S,430450,1.78,0.074,1.93,3.3,4.2,2015-12-23 11:41:00,0,,,CONIE-MOLITARD,28106,11203,2025-04-24 10:43:00,1996-08-01 14:05:00,1,Loire,21,1440,112,True,1999,2026,355,0,-0.0620423,28,True,True,True,True,True,,,,,,,,
K441409001,K4414090,MEUNG-SUR-LOIRE,Mauves,K4414090,"Cette station est située sur la commune de MEUNG SUR LOIRE(45) à 500m en aval du bourg, au niveau de l'ancienne station d'épuration. 
Type de contrôle: seuil naturel Cette station est soumise annuellement à l'influence de la végétation aquatique mais aussi au remous de la Loire lorsque celle-ci dépasse 1500m3/s
Equipement: Centrale Paratronic CPL GSM avec capteur Ultra-Son et interface Alcomus, alimentation batterie 12V 28/07/2009: Modernisation CRISTAL Téléphone: 06 08 32 76 47
Jaugeages ponctuels mensuels de septembre 1998 à août 2006

Mise à jour Débit caractéristiques le 24/04/2025


",K4414090,K4414090,La Mauve de Détourbe à Meung-sur-Loire,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.6946132202091617, 47.82022283944859]}",Correction_data/K441409001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,297,153,187,-25,0.0909091,-1.49861e+08,5.99443e+06,544948,40,259,219,149,-430,1.56364,-2.81693e+09,6.551e+06,1.02434e+07,,,,,,,,,,18,203,185,124,-205,0.745455,-1.8408e+09,8.97951e+06,6.69382e+06,130,187,57,166,-45,0.163636,-1.39968e+08,3.1104e+06,508975,61,218,157,133,-119,0.432727,-7.82047e+08,6.57182e+06,2.84381e+06,46,250,204,156,-75,0.272727,-6.3612e+08,8.4816e+06,2.31316e+06,54,191,137,124,-60,0.218182,-3.86134e+08,6.43556e+06,1.40412e+06,169,181,12,181,-20,0.0727273,-8.91317e+06,445658,32411.5,89,106,17,97,-110,0.4,-7.84521e+07,713201,285280,,,,,,,,,,345,262,602.314,6747.46,,274,S,430450,1.05,0.422,3.73,5.35,6.42,2015-12-23 11:38:00,0,,,MEUNG SUR LOIRE,45203,8317,2025-04-24 10:31:00,2006-08-22 16:45:00,1,Loire,15,274,90,True,2008,2025,214,0,-0.0712757,17,True,True,True,True,True,,,,,,,,
K485300001,K4853000,NAZELLES-NÉGRON,La Cisse,K4853000,"Cette station est située sur la commune de NAZELLES-NEGRON (37) au lieu-dit ""Perreux"".
Besoin pour l'hydrologie générale de la région, cette station a remplacé celle de VERNOU S/ Brenne (K4893010) gérée par le SBLB et arrêtée le 01/01/1997 pour ces difficultés de gestion. Il n'y a aucune données disponibles dans HYDRO sur la station de Vernou.
Equipement: CPL avec capteur US immergé-Télétransmission: 02 47 57 62 67 
Contrôle: Radier de pont bétonné droit et en très bon état (restauré en 1996)-Seuil régulièrement noyé par l'influence de la végétation aquatique en aval-Les mesures de débit sont effectuées sur le radier du pont sauf celles de crues qui sont, elles, effectuées en amont (1km-1,5km) en cumulant la Cisse au Pont de la D431 et la Ramberge à ""La Mazère"".
27/01/2010 changement code hydro

Mise à jour débits caractéristiques le 23/04/2025.
",K4853000,K4853000,La Cisse à Nazelles-Négron,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [0.9659648077569343, 47.43485253410901]}",Correction_data/K485300001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,305,184,217,-30,0.285714,-3.30912e+08,1.10304e+07,3.15154e+06,247,320,73,269,-33,0.314286,-1.36382e+08,4.1328e+06,1.29888e+06,117,170,53,145,-15,0.142857,-4.9032e+07,3.2688e+06,466971,,,,,,,,,,67,218,151,164,-105,1,-5.57582e+08,5.31031e+06,5.31031e+06,296,299,3,299,-100,0.952381,-1.08e+07,108000,102857,100,289,189,181,-50,0.47619,-5.41596e+08,1.08319e+07,5.15805e+06,,,,,,,,,,,,,,,,,,,189,271,82,268,-60,0.571429,-2.92223e+08,4.87038e+06,2.78307e+06,,,,,,,,,,347,267,546.8,6705.78,,790,S,430450,2.32,0.417,15.5,21.6,25.6,2006-08-28 00:00:00,0,,,NAZELLES-NEGRON,37163,,2025-04-23 09:41:00,?,1,Loire,3,790,53,True,2003,2024,287,0,-0.0546341,21,True,True,True,True,True,,,,,,,,
K659302001,K6593020,MEUSNES [GUÉ AU LOUP],Fouzon,K6593020,"Cette station est située sur la commune de MEUSNES (41), lieu-dit""Gué au loup""remplace la station Meusnes ""gué de Meusnes""-K6593010
Contrôle: Radier naturel, ancien gué. Bon contrôle dans l'ensemble mais influencée par la végétation aquatique en été et les hauteurs peuvent aussi être influencées par remous à delà de 300m3/s sur le Cher
Equipement: 15/03/2005 : Passage d'un capteur USi à un capteur bulle à bulle (Nimbus OTT) Télétransmission: 06 79 71 67 55

Mise à jour Débit caractéristiques le 24/04/2025",K6593020,K6593020,Le Fouzon à Meusnes - Le Gué au Loup,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.4846260649727132, 47.26032663966735]}",Correction_data/K659302001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,244,161,124,-145,0.549503,-3.85567e+08,2.65908e+06,1.46117e+06,153,160,7,154,-273,1.03458,-1.10854e+08,406058,420099,152,347,195,173,-46,0.174325,-4.0454e+08,8.79435e+06,1.53308e+06,199,354,155,269,-45,0.170535,-4.16283e+08,9.25073e+06,1.57758e+06,121,253,132,206,-63,0.238749,-4.41183e+08,7.0029e+06,1.67194e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,299,110,220,-16,0.0606348,-7.61606e+07,4.76004e+06,288624,,,,,,,,,,352,273,585.42,6685.55,,,S,430450,4.67,0.36,46.3,79.6,102,2015-12-23 11:41:00,0,215,,MEUSNES,41139,,2025-04-24 11:23:00,?,1,Loire,17,1002,66,True,2004,2026,280,1,-0.0460679,22,False,True,True,True,False,,,,,,,,
K622091003,K6220930,SELLES-SUR-CHER - PONT D956A,Le Cher,K6220930,"Cette station est située sur la commune de Selles sur Cher (41) au pont de Selles sur Cher sur la D956A
Contrôle: Seuil Naturel  Equipement: CPL PLQ 2000 avec capteur radar déporté par radio Téléphone: 02 54 96 13 56
A l'installation le 22/08/2013, la hauteur à cette station était de -4cm par rapport à celle de la station centre ville(vieux pont). La cote du ""0"" de l'échelle est 71,820 m NGF(nivellement maintenance DHMD). 

Mise à jour débits caractéristiques le 23/04/2025.
",K6220910,K6220910,Le Cher à Selles-sur-Cher - Pont D 956A,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.5331331247942803, 47.27318683725391]}",Correction_data/K622091003.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,128,6,125,-260,0.632373,-4.53703e+07,174501,110350,,,,,,,,,,146,365,219,207,-141,0.342941,-2.10049e+09,1.48971e+07,5.10881e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,353,287,167,-402,0.977745,-5.52943e+09,1.37548e+07,1.34487e+07,,,,,,,,,,,,,,,,,,,410,365,590.993,6687.41,,9264,S,430450,58.2,5.54,246,361,437,2015-12-23 11:40:00,0,,,SELLES/CHER,41242,7182,2025-04-23 09:48:00,2013-08-22 16:00:00,1,Loire,11,9252,75,True,2015,2025,84,0,-0.161298,9,True,True,True,True,True,,,,,,,,
K648251001,K6482510,PRUNIERS-EN-SOLOGNE,Sauldre,K6482510,"Référence hauteur: Echelle limni sur pile amont rive gauche
Début des mesures de débits en 2013

Mise à jour débits caractéristiques le 23/04/2025.
",K6482510,K6482510,La Sauldre à Pruniers-en-Sologne,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.6715476666455982, 47.320917288665974]}",Correction_data/K648251001.csv,Végétations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31,14,27,-71,0.252714,-5.1473e+07,724972,183210,,,,,,,,,,,,,,,,,,,91,268,177,206,-125,0.444919,-6.25816e+08,5.00653e+06,2.2275e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,266,207,167,-103,0.366613,-8.85504e+08,8.59712e+06,3.15182e+06,,,,,,,,,,,,,,,,,,,411,366,549.736,2258.14,,2099,S,430450,13.1,1.33,94,155,196,2013-10-11 17:26:00,0,,,PRUNIERS-EN-SOLOGNE,41185,,2025-04-23 09:58:00,2013-08-26 14:36:00,1,Loire,80,,,True,,,,,,,False,True,True,True,False,2099,,2014,2025,104,1,-0.0784904,10
K722261011,K7222620,BUZANÇAIS - PONT VOIE FERRÉE,Indre,K7222620,################,K7222610,K7222610,L'Indre à Buzançais - Pont voie ferrée,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [1.4152640847957079, 46.89880525151008]}",Correction_data/K722261011.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,250,129,180,-120,0.575816,-7.33104e+08,6.1092e+06,3.51777e+06,160,297,137,192,-210,1.00768,-1.27349e+09,6.06422e+06,6.11078e+06,74,365,291,140,-185,0.887716,-2.37492e+09,1.28374e+07,1.1396e+07,111,293,182,150,-140,0.671785,-9.45216e+08,6.75154e+06,4.53559e+06,57,265,208,92,-155,0.743762,-1.60766e+09,1.0372e+07,7.71428e+06,75,259,184,168,-205,0.983685,-1.73534e+09,8.46509e+06,8.32699e+06,,,,,,,,,,56,291,235,117,-143,0.68618,-9.97352e+08,6.97449e+06,4.78576e+06,33,313,280,151,-206,0.988484,-2.78565e+09,1.35226e+07,1.33669e+07,,,,,,,,,,,,,,,,,,,414,370,579.351,6645.53,,1244,S,430450,8.57,1.15,49.1,77.8,96.9,2013-10-11 17:23:00,0,250,,BUZANCAIS,36031,10558,2025-04-18 07:45:00,2013-10-03 17:38:00,1,Loire,7,1243,107,True,2014,2026,106,0,-0.0801415,13,True,True,True,True,True,,,,,,,,
