"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",1.0977,0.3058,0.2685,0.0999,0.1026,0.1131,0.2153,0.201,0.1371,0.1221,0.1728,2,1.0977
"mcclain",0.0715,0.7419,1.0776,2.3217,2.6999,2.973,3.9028,3.9938,4.6285,5.9129,6.291,2,0.0715
"silhouette",0.1996,0.2041,0.1788,0.2228,0.2576,0.2892,0.3269,0.3708,0.3844,0.3994,0.4288,12,0.4288
"dunn",0.6452,0.3708,0.3708,0.4026,0.4026,0.4482,0.4527,0.4527,0.4527,0.577,0.577,2,0.6452
