"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",0.8858,-0.01,-0.0324,0.0426,-0.0615,0.1361,0.2038,0.2352,0.3939,0.0291,0.0434,1,NA
"mcclain",0.5331,1.3674,2.3188,3.0712,3.2705,3.3265,4.2385,4.6927,5.6216,7.9029,8.0974,2,0.5331
"silhouette",0.1859,0.1644,0.1652,0.1849,0.2033,0.2567,0.2635,0.2724,0.28,0.2585,0.332,12,0.332
"dunn",0.3935,0.3935,0.3935,0.4198,0.4198,0.4311,0.4789,0.4937,0.4937,0.416,0.416,9,0.4937
