"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",-0.0774,-0.0532,-12.8998,0.0836,0.0063,0.0601,0.0888,0.1713,0.1249,0.0421,0.1495,1,NA
"mcclain",0.7592,1.8772,2.2867,3.1432,4.4855,4.9584,5.1978,5.772,7.0243,8.1495,8.7245,2,0.7592
"silhouette",0.0835,0.1205,0.1273,0.1095,0.117,0.1626,0.1951,0.2493,0.2706,0.3009,0.3443,12,0.3443
"dunn",0.4586,0.3657,0.3689,0.301,0.3229,0.3378,0.3607,0.3633,0.3859,0.3929,0.4017,2,0.4586
