"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",-1.6764,45.4945,0.7292,-0.3137,5.3472,1.9195,0.2995,22.0505,0.1281,0.2651,-3.1777,1,NA
"mcclain",0.0751,0.1526,0.2587,0.3695,0.6046,0.7819,0.9859,1.7124,2.134,4.5487,5.3646,2,0.0751
"silhouette",0.1614,0.1699,0.0812,0.0952,0.1784,0.1833,0.2067,0.2507,0.2593,0.3307,0.365,12,0.365
"dunn",0.5202,0.4849,0.4773,0.4723,0.487,0.4638,0.43,0.4328,0.4318,0.41,0.4075,2,0.5202
