"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",1.4249,-0.0384,1.0472,0.3138,0.2845,0.0031,0.0783,0.3335,0.0509,0.0937,0.0422,2,1.4249
"mcclain",0.5574,1.1927,1.3633,2.2972,3.1673,4.7869,4.9611,5.4674,7.3421,7.8135,8.8009,2,0.5574
"silhouette",0.2094,0.1436,0.1735,0.1481,0.157,0.1694,0.2215,0.2397,0.2343,0.2807,0.3169,12,0.3169
"dunn",0.3786,0.371,0.371,0.3869,0.3869,0.4496,0.4906,0.5818,0.5818,0.5928,0.6031,12,0.6031
