noct,ladate
10059,"01/25/90 00:00:00"
10059,"03/03/89 00:00:00"
10059,"11/22/72 00:00:00"
12264,"02/26/97 00:00:00"
12264,"02/12/79 00:00:00"
12264,"02/05/80 00:00:00"
10059,"01/24/62 00:00:00"
10059,"09/15/71 00:00:00"
10059,"10/01/59 00:00:00"
10059,"10/01/76 00:00:00"
10059,"08/06/75 00:00:00"
10059,"08/19/76 00:00:00"
10060,"02/21/02 12:20:00"
10060,"11/13/96 00:00:00"
10060,"12/31/90 00:00:00"
10060,"10/12/93 00:00:00"
10060,"01/29/02 12:00:00"
10060,"02/14/96 00:00:00"
10060,"02/14/96 01:00:00"
10060,"11/03/97 00:00:00"
10060,"08/21/96 00:00:00"
10060,"10/08/97 00:00:00"
10060,"08/23/95 00:00:00"
10060,"09/16/96 00:00:00"
10062,"08/29/01 08:00:00"
10062,"09/16/96 00:00:00"
10062,"08/20/96 00:00:00"
10062,"08/23/95 00:00:00"
10062,"07/08/99 08:50:00"
10063,"09/10/03 10:45:00"
10064,"03/27/01 11:00:00"
10064,"09/10/03 11:05:00"
10064,"08/27/03 11:40:00"
10064,"09/26/03 11:35:00"
10065,"08/27/03 11:05:00"
7988,"04/07/94 10:50:00"
12334,"02/26/97 00:00:00"
12334,"01/27/95 11:00:00"
12334,"01/25/86 00:00:00"
12438,"11/04/98 09:00:00"
12438,"07/02/97 09:15:00"
12438,"08/08/97 10:15:00"
8521,"10/04/06 13:15:00"
8521,"10/30/98 00:00:00"
8521,"03/10/99 18:20:00"
8521,"02/21/99 15:35:00"
8524,"12/21/93 00:00:00"
8524,"11/12/96 19:15:00"
8524,"01/25/95 13:00:00"
8524,"04/04/86 00:00:00"
8524,"04/07/94 10:50:00"
8683,"01/25/90 00:00:00"
8683,"03/03/89 00:00:00"
8683,"01/24/62 00:00:00"
8683,"11/22/72 00:00:00"
8683,"11/30/92 00:00:00"
8683,"10/14/93 00:00:00"
8683,"11/23/87 00:00:00"
8683,"04/06/83 00:00:00"
8683,"01/21/98 00:00:00"
13056,"03/21/01 11:35:00"
13056,"02/09/00 11:10:00"
13056,"12/15/99 14:30:00"
13056,"01/27/99 09:15:00"
13056,"09/10/03 10:30:00"
13056,"08/27/03 10:00:00"
16477,"01/03/91 00:00:00"
13058,"03/21/01 11:35:00"
13058,"02/09/00 11:10:00"
12662,"11/07/01 08:15:00"
12662,"08/22/01 07:30:00"
12765,"01/01/94 00:00:00"
12765,"11/22/92 00:00:00"
12765,"12/30/90 00:00:00"
12765,"01/31/07 10:55:00"
12767,"12/23/93 00:00:00"
12767,"01/05/91 01:00:00"
12767,"04/15/83 00:00:00"
12767,"01/05/91 00:00:00"
12767,"02/11/80 00:00:00"
12767,"02/21/90 00:00:00"
12767,"09/26/73 00:00:00"
12767,"06/25/76 00:00:00"
12767,"09/20/74 00:00:00"
13051,"02/20/99 23:00:00"
13051,"01/01/94 00:00:00"
13444,"05/27/83 00:00:00"
9719,"12/23/93 09:00:00"
9719,"12/29/99 09:00:00"
9719,"02/07/01 12:30:00"
9719,"03/20/02 13:45:00"
