numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
2122,"C2-5 - 22 - 95083",7.86,0.0573,0.036,,0.0545,0.058,,,,,,
2123,"C2-5 - 23 - 95084",8,0.0571,0.038,,0.0541,0.062,,,,,,
2124,"C2-3 - 24 - 51003",0.59,0.2064,0.046,1.37,0.2488,0.021,,0.2605,0.005,,,
2125,"C2-1 - 25 - 130659",1.92,0.063,0.013,6.58,0.0578,0.023,,0.054,0.048,,,
2126,"C31-2 - 26 -  12888",1.25,0.5046,0.012,,0.515,0.001,,,,,,
2127,"C31-1- 27 - 97161",1.41,0.251,0.015,,0.2581,0.005,,,,,,
2128,"C31-1- 28 - 88562",0.58,0.2422,0.019,,0.2595,0.008999999999999999,,,,,,
2129,"C31-1- 29 - 103988",0.87,0.2552,0.012,,0.2621,0.006,,,,,,
2130,"C31-1- 30 - 135060",0.62,0.252,0.01,,0.2649,0.002,,,,,,
2131,"C31-2- 31 - 107830",0.28,0.4624,0.024,0.72,0.5023,0.013,,0.519,0.001,,,
2132,"C31-4- 32 - 22780",18.33,0.135,0.025,,0.135,0.025,,,,,,
2133,"C31-2 - 33 - 199134",0.48,0.4942,0.013,,0.5256999999999999,0.002,,,,,,
2134,"C31-2 - 34 - 199135",0.44,0.4896,0.014,,0.526,0.002,,,,,,
2142,"NEYRFLUX",,0.2261,0.015,,,,,,,,,
2145,"C2-1 - 45 - 8915",1.96,0.0639,0.015,6.84,0.0593,0.024,,0.0555,0.05,,,
2146,"Moulinet C2  H212681",,0.1029,0.015,,,,,,,,,
2147,"C2-1 -47 -171661",4.29,0.0623,0.005,,0.0539,0.041,,,,,,
2148,"C31-1 - 48 - 19570",0.79,0.2538,0.01,,0.2601,0.005,,,,,,
2149,"C31-1- 49 -19571",0.74,0.2514,0.011,,0.2568,0.007,,,,,,
2150,"C31-1 - 50 - 19572",0.6899999999999999,0.2462,0.015,,0.2578,0.007,,,,,,
2151,"C31-1 - 51 - 19573",0.58,0.2443,0.015,,0.2582,0.007,,,,,,
2152,"C31-2-135093",0.31,0.4835,0.014,,0.5289,0,,,,,,
2153,"C2-2 - 53 - 203412",19.22,0.1035,0.013,,0.1035,0.013,,,,,,
2222,"128240",1.87,0.0635,0.016,7.5,0.0571,0.028,,0.0539,0.052,,,
2562,"256263",2.22,0.0588,0.033,7.6,0.057,0.037,,0.0545,0.056,,,
4300,"Le PUY C31 100kg 199567",1.09,0.2517,0.013,,0.2618,0.002,,,,,,
4301,"Le PUY C31 100kg 186488",1.25,0.2556,0.01,,0.2596,0.005,,,,,,
4302,"Le PUY C31 100kg 186489",0.71,0.2513,0.01,,0.2597,0.004,,,,,,
4304,"Le PUY C31 100kg 13755",0.65,0.2528,0.011,,0.262,0.005,,,,,,
4305,"Le PUY C31 100kg 116778",1.21,0.2552,0.012,,0.261,0.005,,,,,,
4825,"micro-moulinet ex 25 lozere",6.47,0.0557,0.033,,0.054,0.044,,,,,,
4826,"micro-moulinet ex 26 lozere",1.05,0.0916,0.032,,0.103,0.02,,,,,,
4827,"micro-moulinet ex 27 lozere",1.32,0.2265,0.042,,0.2545,0.005,,,,,,
4828,"ARKANSAS Perche20mm ex28lozere",5.29,0.1246,0.037,,0.1297,0.01,,,,,,
4829,"ARKANSAS Perche 20mm ex29Lozer",1.71,0.237,0.031,,0.251,0.007,,,,,,
4833,"ott c31 saumon 50 kg ex 33 loz",0.84,0.2338,0.017,,0.2516,0.002,,,,,,
4834,"ott c31 saumon100kg ex 34 loze",0.77,0.2338,0.017,,0.2534,0.002,,,,,,
5000,"DDAF36-C2-10150-helice50mm-N°1",2.95,0.06279999999999999,0.014,11.11,0.055,0.037,,0.0532,0.057,,,
5001,"DDAF36-C2-10150-helice50mm-N°3",0.67,0.2295,0.022,,0.2562,0.004,,,,,,
5002,"DDAF36-C2-10150-helice30mm-N°5",5.83,0.0578,0.03,,0.0542,0.051,,,,,,
5003,"ONEMA36-C2--helice50mm-N°1",3.13,0.0592,0.023,7.59,0.056,0.033,,0.0531,0.055,,,
5004,"DDT37-C2-hélice1-126010",5.89,0.0605,0.02,,0.0532,0.063,,,,,,
5005,"DDT37-C2-hélice3-123204",0.37,0.2426,0.014,,0.2562,0.008999999999999999,,,,,,
5006,"DDT37-C2-hélice1-120918",1.82,0.0608,0.02,6.94,0.0575,0.026,,0.0539,0.051,,,
5007,"DDT37-C2-hélice3-121017",0.82,0.2457,0.014,,0.2554,0.006,,,,,,
5008,"DDAF36-2013 et >:50mm-N°1",2.2,0.06419999999999999,0.013,8.18,0.056,0.031,,0.0538,0.049,,,
5025,"CAE",3,0.0584,0.0271,8.5,0.0561,0.034,,0.0541,0.051,,,
5500,"C31-81956",0.6,0.2533,0.012,,0.26,0.008,,,,,,
6901,"OTT-C31 - 6914",,0.13,0.022,,,,,,,,,
6902,"OTT-C31 - 6911",1.1,0.251,0.014,,0.261,0.003,,,,,,
6903,"OTT-C31 - 6912",0.61,0.4981,0.016,,0.521,0.002,,,,,,
6904,"OTT-C31 - 6913",0.3,0.9467,0.028,,1.04,,,,,,,
6905,"NEYRFLUX - 6901",,0.2261,0.015,,,,,,,,,
6906,"OTT-C1 - 6921",6.19,0.0574,0.035,,0.0553,0.048,,,,,,
6907,"OTT-C1 - 6922",1.2,0.0885,0.036,,0.1035,0.018,,,,,,
6908,"OTT-C1 - 6923",1.3,0.2327,0.038,,0.258,0.005,,,,,,
6909,"OTT-C1 - 6924",0.44,0.4327,0.058,1.37,0.4873,0.034,,0.51,0.003,,,
6910,"BEAUVERT - 6934",,0.0935,0.006,,,,,,,,,
6911,"BEAUVERT - 6936",,0.2273,0.003,,,,,,,,,
6912,"OTT-C2 - 6941",1.82,0.0629,0.015,8.5,0.0563,0.027,,0.0543,0.044,,,
6913,"OTT-C2 - 6942-n° 55466",7.22,0.1048,0.015,,0.103,0.028,,,,,,
6914,"OTT-C2 - 6943",0.77,0.2438,0.016,,0.2581,0.005,,,,,,
6915,"C31-4-55441",18.66,0.1325,0.027,,,,,,,,,
6916,"C1-2-10659",19.22,0.103,0.02,,,,,,,,,
6917,"C31-hélice A-nouvelle(A-21211)",3.18,0.1325,0.019,,0.1303,0.026,,,,,,
6918,"C2-hélice n°1-nouvelle(17316)",2.12,0.0643,0.017,7,0.0563,0.034,,0.0543,0.048,,,
6953,"C31-h1-20607 (LyonRégion)",0.91,0.2549,0.011,,0.2604,0.006,,,,,,
6954,"C31-F1145 (Lyon R)",,0.2483,0.012,,,,,,,,,
6972,"C31-PLA25",0.62,0.2251,0.018,,0.2478,0.004,,,,,,
6973,"C31-PLA100 DUBY ",0.54,0.2251,0.018,,0.2508,0.004,,,,,,
6974,"C31-PLA$20",0.61,0.2251,0.018,,0.2485,0.004,,,,,,
7362,"vélocimètre",,0.025,0,,,,,,,,,
7776,"ott 14409",1.4,0.2632,0.003,,0.2629,0.0041,,,,,,
8000,"________________C31 100kg13755",0.65,0.2528,0.011,,0.262,0.005,,,,,,
8001,"C 31 100kgs 116778",1.21,0.2552,0.012,,0.261,0.005,,,,,,
9999,"C2 -H2 66625 et 65345",2.93,0.1071,0.008,,0.103,0.02,,,,,,
