nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
181,"K7522620","MONTS (DÉBITS) [HS]","INDRE",520.706,6689.13,,,"S","430450",,,,,,"K7522620",,"05/07/02 00:00:00","10",,,4426,"04/02/25 17:57:00",,,,"K752262010","K7522620",1
182,"K2240820","PRADES [PONT]","Allier",746.836,6436.863,,1345,"S","430450",20,3.6,310,540,690,"K2240820","Coordonnées en Lambert 93","12/21/15 10:30:00","00",,,53700,"03/14/25 12:44:00",,,,"K224082001","K2240820",
183,"K4350000","ORLEANS","LOIRE",,,,,"S","430450",,,,,,"ECLUSE",,"10/16/02 00:00:00","00",,,,,,,,,,
184,"K0700020","FEURS AMONT","Loire",,,,4978,"S","430450",,,,,,"FEURS AMON","ne fonctionne qu'à partir de 500 m3/s minimum car dans le remous plan d'eau","11/26/02 00:00:00","00",,,,"12/11/19 17:28:00",,,,"K070001020","K0700010",
185,"K0243010","SAINT-PAULIEN [LAROCHELAMBERT]","BORNE",762.427,6447.149,,149,"S","430450",1.14,0.1,17,28,35,"K0243010","Coordonnées en lambert 93","12/21/15 09:31:00","00",,,75600,"12/21/15 09:32:00",,,,"K024301001","K0243010",
189,"K1063020","CHARLIEU","Sornin",788850,6561807,,457,"S","430450",6.41,0.388,90,150,190,"K1063020","reprise de l'ancienne station SEMA R A

Mise à jour débits caractéristiques le 02/05/2025",,,,,26482,"05/02/25 15:10:00",,,,"K106301002","K1063010",1
190,"K6402520","SALBRIS","Sauldre",577054,2269391,,1200,"S","430450",8.960000000000001,1.3,64.40000000000001,95.40000000000001,116,"K6402520","En remplacement de la station du SEMA (K6402510)
MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","04/24/06 13:29:00","00",,,9800,"05/02/25 09:59:00","04/27/05 09:19:00",,,"K640252001","K6402520",1
191,"K5552300","SAVIGNY-EN-SEPTAINE","L'YEVRE",616900,2227000,,531,"S","430450",3.26,0,23.5,35.2,43,"K5552300","MISE A JOUR DEBITS CARACTERISTIQUE LE 02/05/2025.","07/22/98 00:00:00","00",,,,"05/02/25 10:15:00",,,,"K555230001","K5552300",1
192,"K6332520","BRINON-SUR-SAULDRE","LA GRANDE SAULDRE",594160,2284960,,594,"S","430450",4.32,0.55,43,64.90000000000001,111,"K6332520","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","07/22/98 00:00:00","00","BRINON-SUR-SAULDRE",,,"05/02/25 10:01:00",,,,"K633252001","K6332520",1
194,"K5574100","ASNIERES","LE MOULON",606400,2235920,,138,"S","430450",1.01,0.066,15.6,21.9,26,"K5574100","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","07/22/98 00:00:00","00",,,,"05/02/25 10:07:00",,,,"K557410001","K5574100",1
195,"K5623010","PONDY","L'AURON",624080,2200470,,199,"S","430450",1.03,0.046,15.9,21.4,25.1,"K5623010","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","07/22/98 00:00:00","00",,,,"05/02/25 10:05:00",,,,"K562301001","K5623010",1
196,"K5220900","MONTLUCON","LE CHER",620416,2151429,,1808,"S","430450",15.9,1.2,130,200,250,"K5220900",,"07/22/98 00:00:00","00","MONTLUCON","03185",19913,"12/18/15 09:46:00",,,,"K522090003","K5220900",1
198,"K5183020","CHAMBON SUR VOUEIZE","TARDES",607659,2131845,,854,"S","430450",8.960000000000001,0.16,100,150,180,"K5183020",,"01/04/16 16:17:00","00","CHAMBON SUR VOUEIZE","23045",32490,"01/04/16 16:17:00",,,,"K518302001","K5183020",1
199,"K5200900","THEILLET-ARGENTY","LE CHER",,,,,"V","430450",,,,,,"K5200900",,"02/17/05 00:00:00","00",,,,"03/02/06 10:04:00",,,,,,
211,"K0910050","VILLEREST (PONT DE VILLEREST","Loire",780973,6544550,,6598,"S","430450",,,,,,"K0910050"," A partir du 13-08-2024,un intervalle de publication a été mise en place sur  la courbe de tarage de Villerest Pont.
Seuls les débits de Villerest Pont supérieur à 100 m3/s sont visualisables dans Hydroportail et Vigicrue.

Cette date coincide avec la création de la station de Villerest Pont dans le référentiel Hydroportail ainsi que sur la base barème avec un tout premier Jaugeage le 13 aout 2024.",,"00",,,26751,"05/02/25 15:33:00",,,,"K091001011","K0910010",
213,"K5433020","BREBEURRE","MARMANDE",621.928,2191.913,,206,"S","430450",1.15,0.082,12,17.5,21.2,"K5433020","BREBEURRE        LA MARMANDE
============================
mise en service : 13/03/1992 15:50

13/03/1992 : Installation de la station

04/10/1994 : Barrage aval retiré

06/11/1994 : Modification du lit par crue

23/09/1999 : nettoyage sonde USI

27/05/1999 : mise en place d'un panneau solaire, changement de la centrale

15/02/2000 : nettoyage sonde USI (pompe)

11/09/2000 : nettoyage sonde USI (pompe)

11/10/2000 : démontage et nettoyage de la sonde USI

26/01/2010 Changement de code hydro K5433011 devient K5433020

Mise à jour Débits caractéristiques le 17/04/2025
","01/04/16 16:25:00","10","SAINT-PIERRE-LES-ETIEUX","18231",17056,"04/17/25 09:50:00",,,,"K543302001","K5433020",1
219,"H3203310","ST-HILAIRE","PUISEAUX",627.234,2324.836,,94,"S","430450",0.457,0.002,4.53,7.68,9.77,"H3203310","ST HILAIRE          Le Puiseaux               MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.
===============================
mise en service : 19/08/1972 16:30

GENERALITES

courbes de tarage instables du fait de l'absence de seuil naturel ou construit
pousse d'herbes aquatiques en été => CORTH
à-sec certains étés.
Jaugeages sans difficultés à l'aval du pont


HISTORIQUE

18/08/1972 : Installation de la station.

10/02/1976 : Rives amont nettoyées.

16/11/1976 : Recalibrage amont.

07/02/1977 : Travaux de curage : station H.S. . Nouvelle échelle.

24/06/1987 : Nouvelle échelle.

17/07/1991 : 0.18 => limite talonnage

07/07/1992 : 0.16- => limite exacte de l'écoulement

24/10/1995 => 20/11/1995 : curage rivière et nettoyage des rives, C.T. modifiée.

04/09/ et 05/09/1996 : démontage de la station limni et mise en place d'une saisie/site

16/03/1998 au 20/03/1998 travaux de construction seuil

20/03/1998 mise en service du seuil

17/08/1998 mise en service du panneau solaire

depuis Avril 1999 influence générale du lit aval rendant le seuil inefficace (sauf pour les très faibles débits)

A la suite des vents violents de fin Décembre 1999, un arbre est tombé dans la section aval du seuil augmentant l'influence sur les hauteurs.


27/02/2007 A.M. nivellement du zéro de l'échelle ( D. RONCERAY & Vincent LELUAN )
                   zéro échelle : 95.63 m



","02/27/06 00:00:00","10","ST-HILAIRE-SUR-PUISEAUX","45283",9563,"05/02/25 10:14:00",,,,"H320331001","H3203310",1
220,"H3322010","PANNES","BEZONDE",625.308,2333.786,,339,"S","430450",1.45,0.046,19.5,32.8,41.5,"H3322010","PANNES           La Bezonde                           MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.
===========================
mise en service : 28/10/1980 16:25

GENERALITES

contrôle=radier du pont, plus creux en R.G. qu'en R.D. ,parfois rendu inefficace par infuences aval
nombreux encombrements à l'amont des piles ou sur radier => correction des hauteurs 
le contrôle en basses eaux se fait sur le bord amont du radier puis, ensuite, en aval.
herbes abondantes en été, modifiant parfois le contrôle.
Jaugeages parfois difficiles en basses eaux (herbes) => Jaugeages sous le pont.
L'importance du bief amont rend parfois délicate la détermination d'une influence d'encombrement,
laquelle se confond -du fait de l'inertie- avec la variation naturelle du plan d'eau 
Pont en limite de mise en charge à la cote de 2450 mm.



HISTORIQUE

28/10/1980 : installation de la station

18/08/1981 : retrait d'un arbre passe rive gauche

09/11/1982 : curage en amont et en aval

27/01/1984 : retrait d'un arbre

28/01/1985 : retrait de deux arbres en travers en amont du pont

25/03/1986 : retrait d'un arbre passe rive gauche

21/08/1986 : changement d'échelle

17/05/1988 : nettoyage des herbes

21/03/1989 : curage des rives

17/05/1989 : nettoyage des herbes

12/06/1990 : mise en service saisie/site puis téléphone

28/10/1991 : vidange après retrait de branches

25/08/1995 : changement d'échelle ( calage +/- 0.5 cm )

1997  et 1998 : influence éventuelle du chantier de l'autoroute A 77 sur les crues ?

04/06/1997 : travaux pour passage en souterrain d'une ligne H.T.

depuis fin du chantier et mise en service de l'autoroute A 77 possible modification de la C.T. en crue.

20/01/2000 : mise en place d'un panneau solaire, changement de centrale.

02/08/2001 : fin des travaux du seuil et escalier par REVIL S.A.



23/07/2007 : Détarage important suite à influence avale non expliquée (travaux sur canal ?)","02/19/02 00:00:00","00","PANNES","45247",,"05/02/25 10:12:00",,,,"H332201001","H3322010",1
230,"K4383110","GOBSON [HS]","DHUY",570.614,2316.722,,216,"S","430450",0.671,0.003,8.9,12,15,"K4383110","GOBSON            Le Dhuy
=========================
mise en service : 09/09/1966 00:00 par le Service Hydrologique Centralisaleur du bassin de la Loire
calcul en local des QMJ par le S.H.C. de 09/1966 à 12/1976 
(ces débits journaliers ont été entrés dans HYDRO par le SEMA en 2002 mais il n'y a pas de hauteurs disponibles)

curage du bief fin 1971
absence de données du 15/10/1971 au 19/05/1974 et du 01/01/1977 au 31/12/1978

calcul en local des QMJ par le SRAE du 01/01/1979 au 31/12/1984 à partir de hauteurs journalières 
(ces débits journaliers ont été entrés dans HYDRO par le SEMA en 2002 , il existe des hauteurs journalières disponibles en local sur papier)

04/01/1985 : reprise de la station par le SEMA.
à partir de cette date les hauteurs instantanées sont disponibles dans HYDRO et le calcul des débits se fait sur HYDRO à partir des hauteurs et des courbes de tarage.

04/09/1986 : Nouvelle échelle nouvelle courbe.

30/03/1992 => 10/04/1992 : Nouveau seuil (consolidation et brêche d'étiage calibrée 'en V').

07/01/1998 : mise en place d'une centrale saisie/site avec sonde Pression

06/08/1998 : consolidation de l'échelle

09/11/1999 : mise en place d'une sonde U.S.I. en remplacement de la sonde Pression

28/03/2000 : nettoyage contacts fils et pile

29/03/2000 : nettoyage sonde USI par pompe

18/07/2000 : nettoyage sonde USI (démontage)

29/08/2000 : nettoyage sonde USI par pompe

     09/2000 : construction d'une vanne en R.G. du seuil

du 18/09 au 16/10/2002 : retrait de la pelle de la petite vanne en R.G. du seuil (vandalisme) baisse du niveau de 40 cm environ, débits journaliers reconstitués pour cette période.

11/04/2007 : nivellement du zéro d'échelle (D. RONCERAY) zéro échelle = 91.68 m +  prise d'un repère (sommet du regard  en RG du déversoir : 93.86 m)","10/22/02 00:00:00","00","SAINT-CYR-EN-VAL","45272",9168,"04/02/25 15:45:00",,,,"K438311001","K4383110",
231,"K4443010","LAILLY-EN-VAL","ARDOUX",599.28,6739.41,,155,"S","430450",0.518,0.022,4,6.68,8.460000000000001,"K4443010","Cette station est située sur la commune de Lailly en Val (45),  à 3km en aval du bourg au lieu-dit""la rue Hallée""
Type de contrôle: Radier bétonné du pont
Equipement: Centrale CPL avec capteur bulle à bulle OTT, modem RTC, alimentation batterie 12V et panneau solaire
Téléphone: 02 38 46 71 22
07/04/1992 : Curage aval.  09/03/1994 : Changement d'échelle. 07/03/2007 : nivellement
12/12/2013: Remplacement de l'échelle

Mise à jour Débit caractéristiques le 24/04/2025","12/23/15 11:39:00","00","LAILLY-EN-VAL","45179",7870,"04/24/25 10:34:00","01/16/67 15:00:00",,,"K444301001","K4443010",1
233,"K5543010","CROSSES [HS]","AIRAIN",618.497,2223.426,,300,"S","430450",1.62,0.001,14,22,28,"K5543010","CROSSES           L'Airain
==========================
mise en service : 14/11/1985 16:00

 -Influence d'herbes systématique en été.
 -Seuil béton depuis le 26/11/1997 mais parfois inluence d'herbes en aval et en amont
 -Souvent période d'à sec en été.




16/01/1986 : Création de la station

19/09/1986 : Travaux de colmatage

26/02/1990 : Retrait de branches

12 et 13/09/1996 : démontage de la station limni et mise en place d'une saisie/site.

15/04/1997 : léger vandalisme (gaines des fils de sonde descellées)

du 16/11/1997 au 26/11/1997 travaux de construction du seuil aval pont (Entrepr. PETRISSANS)

26/11/1997 : mise en service du seuil

30/09/1998 : détérioration du tube

10/05/1999 : remise en place d'un bouchon de visite, (celui qui était en place ayant été volé)

16/06/2000 : reprise de la connectique d'alimentation et du blister piles

02/08/2000 : remplacement du modem défectueux (surtension orage ?) et parafoudre

28/08/2000 : consolidation de la petite plate-forme devant la cabine


","08/31/00 00:00:00","00","CROSSES","18081",,"04/02/25 17:33:00",,,,"K554301001","K5543010",
234,"K5653010","ORMEDIOT","AURON",608.476,2226.352,,585,"S","430450",3.63,0.198,29.8,42.7,51.3,"K5653010","ORMEDIOT           L'Auron                 MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.
==========================
mise en service : 19/12/1966 11:40


01/09/1971 : installation de la station

14/10/1977 : nettoyage section amont ( pierres )

04/11/1980 : nettoyage 

10/08/1982 : tornade -> branches cassées et arbres couchés remontant le
             niveau

03/11/1982 : nettoyage en aval

05/09/1983 : arbre dans le lit en amont et en aval

17/10/1983 : nouvel emplacement , nouvelle échelle

09/01/1984 : nettoyage du lit en amont du pont

02/02/1988 : début de curage

11/04/1990 : mise en service saisie sur site

du 30/09/1997 au 07/10/1997 travaux de construction du seuil
                                                         
07/10/1997 : mise en service du seuil construit en aval du pont

09/12/1998 : remplacement de la batterie du panneau solaire et connectique

22/11/1999 : remplacement du bidim de la prise d'eau

28/08/2000 : démontage et nettoyage de la sonde USI, collage du fond de la boite de sonde

","07/18/02 00:00:00","00","BOURGES","18033",,"05/02/25 10:18:00",,,,"K565301001","K5653010",1
235,"K6334010","AUBIGNY-SUR-NERE","NERE",607.479,2276.888,,79,"S","430450",0.628,0.091,6.74,10.8,13.4,"K6334010","AUBIGNY SUR NERE         LA NERE
================================
mise en service : 19/11/1969 15:30

18/11/1969 : Création de la station.

06/12/1972 : Consolidation échelle

20/05/1975 : Station vandalisée-Echelle enlevée  Nouveau calage

Mise à jour débits caractéristiques le 23/04/2025.


23/05/1975 : Nouvelle échelle

06/12/1977 : Lit aval nettoyé

30/08/1978 : Brèche rive droite dans seuil, crépine presque au-dessus de l'eau.

07/11/1978 : Seuil colmaté.

21/05/1979 : Lit amont nettoyé et recalibré.

     07/1983 : construction et mise en service du seuil

16/01/1990 : Pierres sur seuil.

01/08/1990 : Barrage 3 m aval cote 0,40- -> 0,39+ ?

06/01/1998 : mise en place d'une centrale saisie/site avec sonde Pression

14/09/1998 : pose blister 12v

19/08/1999 : mise en place d'une sonde U.S.I. à coté de l'échelle, remplacement de l'échelle > 1 m

14/09/1999 : dispositif vandalisé 

13/10/1999 : re-fixation plus solide

08/11/1999 : à nouveau léger vandalisme (bouchon et crépine)

24/11/1999 : consolidation du dispositif de mesure

16/08/2000 : remise en place bouchon (qui avait été retiré)

10/10/2000 : non-fonctionnement de la centrale du 11/09 au 10/10/2000 (pb d'alimentation : pile oxydée)","10/13/00 00:00:00","00","AUBIGNY-SUR-NERE","18015",,"04/23/25 09:55:00",,,,"K633401001","K6334010",1
242,"K6373020","MENETREOL-SUR-SAULDRE [HS]","Petite Sauldre",597.62,2271.89,,318,"S","430450",3.18,0.57,40,57,68,"K6373020","MENETREOL            La Petite Sauldre
======================================
mise en service : 12/10/1970 17:40


15/09/1970 : installation de la station

27/04/1976 : nettoyage du lit par bulldozer

09/11/1976 : extraction de pierres en aval du pont

15/03/1978 : fond du lit fortement décapé sous le pont

??/??/???? : arrêt de la station

********************************************************************************************************************************************
une échelle a été mise en place au gué de l'église
des jaugeages ponctuels ont été réalisés assez régulièrement à la demande de la DDAF du Cher cf. DBASE EAU et J.T. 
********************************************************************************************************************************************

11/06/1996 : Mise en place d'une station saisie sur site au gué amont.

21/11/1996 : mise en place d'une échelle de 2 m en R.D. pres de la sonde U.S.I. mise en service liaison téléphonique

14/05/1998 : installation du panneau solaire

été 1999 : construction d'un nouveau pont à une seule pile centrale en remplacement du précédent travaux terminés le 08/09/1999

28/12/1999 : A la suite des vents violents, l'arbre supportant la sonde s'est cassé à 1.5 m du sol faisant tomber la cabine ; la centrale et le modem ont baigné dans l'eau (H.S. ) Les appareils ont été changés le 30/12/1999

30/12/1999 : Les laisses de crue à 1.07 + 0.75  indiquent que la crue du 28/12/1999 était environ de 1.82 m.

22/05/2000 : Arbre tombé le 28/12/1999 en travers de la riviére retiré entre le 20/04/2000 et ce jour.

16/08/2000 : démantèlement d'un petit barrage de pierre sur le gué en R.D.
","08/31/00 00:00:00","00","MENETREOL","18147",,"04/02/25 17:44:00",,,,"K637302001","K6373020",
244,"K4013010","GROSSOUVRE [TRÉZY]","Aubois",645.41,2210.7,,140,"S","430450",0.762,0.079,11.8,19.1,23.9,"K4013010","TREZY (l'Aubois)
================
mise en service : 01/09/1996 00:00

08/08/1996 et 09/08/1996 : installation de la station en amont du pont
mise en place d'une saisie sur site et sonde U.S.I. ALCYR

13/08/1996 : branchement de la sonde U.S. rectifié

26/09/1996 : Changé centrale

29/10/1996 : changement de la sonde

16/02/1999 : changement de la centrale

17/03/1999 : mise en place du panneau solaire

10/05/1999 : pose d'une goulotte de protection des fils d'alimentation

hiver 1999/2000 : 2 voitures ont défoncé le parapet amont du pont (passage du fil de sonde intact)

28/08/2000 : le parapet amont du pont a été refait; gaine de passage du fil de sonde renforcée

29/08/2001 : changement echelle, décalage probable + 5 mm.

27/01/2010 changement code hydro

 Mise à jour Débits caractéristiques le 16/04/2025","08/30/01 00:00:00","10","GROSSOUVRE","18106",,"04/16/25 16:31:00",,,,"K401301001","K4013010",1
247,"K4073110","SAINT-BOUIZE [LA GRANGE]","Vauvise",642.37,2252.48,,392,"S","430450",2.97,0.221,15,21.2,25.3,"K4073110","La Vauvise à Saint-Bouize [La Grange] 
======================
pour les reconstitutions : corrélation possible avec station K4094010 le Nohain à Saint-Martin-sur-Nohain (Diren Bourgogne)
***************************

mise en service : 03/12/1997 00:00

08/1997 aménagement d'un seuil rustique et remontée du fond de rivière
        sous le pont (Entrepr. BRUNET 18140 La Chapelle Montlinard)

03/12/1997 mise en place de la station sonde USI

25/06/1998 mise en service du modem

28/04/1999 mise en place du panneau solaire

08/11/1999 travaux de consolidation berge amont R.D. et berge aval R.G.(comblement du creusement au niveau du seuil) construction d'un escalier de descente en rivière 


27/01/2010 changement code hydro

Mise à jour Débits caractéristiques le 17/04/2025","03/30/01 00:00:00","10","SAINT-BOUIZE","18200",,"04/17/25 10:35:00",,,,"K407311001","K4073110",1
248,"X9999999","CHAILLES","Cosson",,,,,"S","104450",,,,,,"X9999999",,"03/30/99 00:00:00",,,,,,,,,,,
250,"K4873110","VILLEDOMER [HS]","LA BRENNE",491.79,2286.36,,263,"S","430450",1.24,0.28,26,42,52,"K4873110","Mise en service le 12/11/1968

Cette station est située sur la commune de VILLEDOMER (37) au lieu-dit ""Le Bas Villaumay"".
Carte IGN série bleue: 1921 Est

Objectif:
Connaissance générale de l'hydrologie de la région

Equipement:
Centrale CR2M avec capteur Ultra-Son, alimentation solaire
Télétransmission: 02 47 55 02 26 code VILLEDOMER

Type de contrôle:
Radier de pont en brique en mauvais état.
Les mesures de débit sont effectuées 30m en amont du pont sauf celles de crues qui sont, elles, effectuées 2,3km en amont au Pont de la D246 à Chateau-Renault.

Courbe de tarage en vigueur:
Bonne en basses et moyennes eaux, reste à confirmer en htes eaux
 
Evénements marquants:

30/10/1975 : Constaté recalibrage de la Brenne sur 25m en amont de la station. Egalement suppression ilot à 50m aval de la station.

01/03/1977 : Echelle détériorée (Changement)

09/05/1983 : Remplacement de l'échelle

23/11/1984 : Série de photos de la crue du jour (1,82m)

08/06/1988 : Pollution de la Brenne par l'usine Protex, située 1km en amont de la station, mise en place d'un boudin absorbant sous le pont, surélévation du plan d'eau de 3,5cm.

04/11/1996 : Démontage de la colonne pour modernisation, consolidation de la pile RD par une protection d'enrochement sur 20m de long. Série de photos des travaux finis

08/11/1996 : Mise en place d'une centrale CR2M alimentée en solaire avec une sonde Ultra-Son.

26/02/1997 : Envasement de la sonde, repérage du maxi de la crue du 26/02 par les laissés de crue (1,77m)

14/12/2000 : La lecture de l'échelle est très difficile en crue (rupture de pente au niveau de l'échelle associé aux turbulences du tube de la sonde USi). Il faut envisager un déplacement quelques mètres en amont.

24/01/2001 : Confirmation de la difficulté de lecture de l'échelle en crue et de la nécessité de son déplacement.

14/03/2001 : Changement de courbe de tarage (crue)

22/03/2001 : Photo de l'aménagement d'un accès à l'échelle dans un enrochement. Installation provisoire du sonde pression en 3ème voie quelques mètres en amont pour voir la différence d'enregistrement des crues.

09/10/2001 : Mise en place de l'échelle en amont du pont afin de mieux lire les cotes en hautes eaux, sera installé sur cette même section un nouveau système de mesure des hauteurs ""le nilomètre"".
Nivellement entre les 2 échelles: le zéro de l'échelle amont est 37mm plus bas que celui de l'échelle au pont.
Photos

12/11/2001 : Mise en service du Nilomêtre par la société SEROSI.
Les hauteurs traités sont toujours celles de la sonde U.S.(CRM2) tant que la courbe de tarage, correspondant à la section de l'échelle amont, n'a pas était établie de façon satisfaisante.

21/04/2004 : Photos

23/02/2005 : Changement de courbe de tarage, la section de l'échelle amont a été adoptée pour acquisition des données. Remplacement de la centrale SEROSI et du nilomètre situé sur l'échelle amont par une  CR2M avec un  capteur USi.

23/08/2005 : Photos

05/09/2005 : Changement de courbe de tarage (petite crue où intervention sur le contrôle)

08/11/2005 : Photos
","08/28/06 00:00:00","00","VILLEDOMER","37276",,"04/18/25 14:14:00",,,,"K487312002","K4873120",
251,"K7217510","VINEUIL [PONT DE PIERRE]","LA TREGONCE",596.181,6648.254,,19.5,"S","430450",0.147,0.013,0.525,0.846,1.06,"K7217510","################","08/28/06 00:00:00","00","VINEUIL","36247",15196,"04/18/25 07:43:00","01/15/92 14:18:00",,,"K721751001","K7217510",1
252,"K7414010","VILLELOIN-COULANGÉ [COULANGÉ] [HS]","LA TOURMENTE",516.8630000000001,2237.922,,109,"S","430450",0.632,0.12,19.6,28,33.5,"K7414010","Cette station est située sur la commune de VILLELOIN-COULANGE (37) au lieu-dit ""Le Four à Chaux"" où ""Coulangé"".
Equipement: Centrale CR2M avec capteur Ultra-Son, alimentation piles 9V Télétransmission: 02 47 92 67 01 code COULANGE
Contrôle: Seuil en béton sur le radier pavé du pont à 2 arches. Seuil en V sur une arche et droit sur l'autre. La partie droite commence à couler lorsque le débit est > à 0,355m3/s
L'étiage est généralement soutenu par les lachés de la retenue de Nouans-Les-Fontaines sur le ruisseau de la Jubardière au lieu-dit ""Neuillé"".
20/12/1982 : Photos de la crue (1,95m) par M. GHIO( SEMA Orléans) Cote à l'échelle de Montrésor sur l'Indrois: 2,80m
22/04/1987 : Nettoyage des rives en aval de la station. Modification en basses et moyennes eaux
31/05/1989 : Suite aux travaux de curage de 1987 en aval, changement d'emplacement de l'échelle. Un décalage se produisait entre la cote de l'échelle et celle enregistrée sur le limni.
Fixée avant contre l'appui du pont en RD et sur le radier, l'échelle est maintenant sur la colonne(aval immédiat du radier).
L'échelle a été calée à la même hauteur qu'à son ancien emplacement. Il y avait, ce jour, 2cm d'écart de niveau d'eau entre celui situé sur le radier et celui situé à la colonne.
08/08/1992 : Suite à une tornade, les peupliers cassés à l'aval ont obstrués le lit de la rivière.
13/06/1996 : Changement d'emplacement de la station, elle est située maintenant à l'amont immédiat du pont. Construction d'un seuil de contrôle en béton sur le radier.
20/06/1996 : Correspondance d'échelle entre l'ancien et le nouvel emplacement. Ancien Ht: 0,015m Nouvel Ht: 0,202m
01/10/1996 : A la cote de 0,26m, l'eau passe sous les deux arches du pont.
28/12/1999 : Modification de la courbe de tarage en basses eaux. Les causes de ce détarage sont inconnues, le seuil et l'échelle semble en bon état.
23/03/2000 : Visite à la retenue de Nouans, débit de sortie: 0,018 m3/s. La retenue est pleine mais l'eau ne passe pas par le déversoir. Les apports en amont semblent être de l'ordre du débit de sortie.
01/08/2000 : Début du soutien d'étiage par la retenue de Nouans-Les-Fontaines.
05/09/2000 : Visite à la retenue de NOUANS, débit de sortie mesuré: 0,140 m3/s. La retenue semble être vidée des 2/3.
05/10/2000 : Visite à la retenue de NOUANS, débit de sortie mesuré: 1 l/s. La retenue est vidée et la vanne fermée.
03/08/2001 : Début du soutien d'étiage par la retenue de Nouans-Les-Fontaines.
02/08/2002 au 29/09/2002 : Soutien de l'étiage par la retenue de Nouans les Fontaines
04/01/2016 Mise hors service de la station
Débits caractéristiques mis à jour le 16/04/2025","01/04/17 15:36:00","00","VILLELOIN-COULANGE","37277",,"04/16/25 17:45:00","02/21/96 00:00:00",,,"K741401001","K7414010",1
253,"K7514010","SAINT-BRANCHS","L'ECHANDON",535.026,6685.295,,127,"S","430450",0.611,0.057,10.6,19.1,24.7,"K7514010","################","09/20/06 00:00:00","00","ST BRANCHS","37211",,"04/18/25 07:51:00","12/21/67 15:00:00",120,,"K751401001","K7514010",1
259,"M1073020","CONIE-MOLITARD [PONT DE BLEUET]","LA CONIE",584.84,6781.21,,500,"S","430450",1.78,0.074,1.93,3.3,4.2,"M1073020","Cette station est située sur la commune de Conie-Molitard (28), lieu-dit""Pont de bleuet"" au pont de la D1117 remplace celle de ""Valainville"" à Conie-Molitard (M1073010).
Equipement: Centrale ALCYR avec capteur Ultra-Son, alimentation batterie 12v Télétransmission: 02 37 96 13 99 code BLEUET
24/12/1997 : Nivellement / au repère NGF situé sur le pont en aval R.D.Altitude du NGF: 115,822m - Contrôle: Seuil bétonné, il se retrouve régulièrement noyé pendant la période d'avril à novembre par l'influence de la végétation aquatique du lit en aval. Les mesures de débit sont effectuées à l'aplomb aval du pont.
10/02/1998 au 20/02/1998 : Durée des travaux de construction du seuil.L'altitude du point bas du seuil: 112,20m (à vérifier)Soit un DEBIT NUL à la cote de 0.17m à l'échelle
29/06/1999 : Faucardage de la végétation aquatique par le syndicat de la Conie, non confirmé par celui-ci.
25/09/2000 : Faucardage de la végétation aquatique par le syndicat de la Conie.
04/10/2001 au 06/10/2001 : Faucardage de la végétation aquatique par le syndicat de la Conie. Confirmé par M.Vandromme(Président)
25/06/2003 : Faucardage de la végétation aquatique par le syndicat de la Conie. Confirmé par M.Vandromme(Président) tél.02 37 96 92 18
25/07/2005 : Faucardage de la végétation aquatique par le syndicat de la Conie. Confirmé par M.Vandromme(Président)
27/01/2010 : Changement code hydro pour l'intégration dans le réseau Cristal - Ancien: M1073001  Nouveau: M1073020

Mise à jour Débit caractéristiques le 24/04/2025
","12/23/15 11:41:00","00","CONIE-MOLITARD","28106",11203,"04/24/25 10:43:00","08/01/96 14:05:00",,,"M107302001","M1073020",1
262,"K4414090","MEUNG-SUR-LOIRE","Mauves",602.314,6747.459,,274,"S","430450",1.05,0.422,3.73,5.35,6.42,"K4414090","Cette station est située sur la commune de MEUNG SUR LOIRE(45) à 500m en aval du bourg, au niveau de l'ancienne station d'épuration. 
Type de contrôle: seuil naturel Cette station est soumise annuellement à l'influence de la végétation aquatique mais aussi au remous de la Loire lorsque celle-ci dépasse 1500m3/s
Equipement: Centrale Paratronic CPL GSM avec capteur Ultra-Son et interface Alcomus, alimentation batterie 12V 28/07/2009: Modernisation CRISTAL Téléphone: 06 08 32 76 47
Jaugeages ponctuels mensuels de septembre 1998 à août 2006

Mise à jour Débit caractéristiques le 24/04/2025


","12/23/15 11:38:00","00","MEUNG SUR LOIRE","45203",8317,"04/24/25 10:31:00","08/22/06 16:45:00",,,"K441409001","K4414090",1
265,"K4830000","CONAN (VILLEBERFOL)","Cisse",,,,,"V","430450",,,,,,"K4830000"," ","09/13/02 00:00:00","10",,,,"04/18/08 10:56:00",,,,,,
