,start_day_1986,start_day_1987,start_day_1988,start_day_1989,start_day_1990,start_day_1991,start_day_1992,start_day_1993,start_day_1994,start_day_1995,start_day_1996,start_day_1997,start_day_1998,start_day_1999,start_day_2000,start_day_2001,start_day_2002,start_day_2003,start_day_2004,start_day_2005,start_day_2006,start_day_2007,start_day_2008,start_day_2009,start_day_2010,start_day_2011,start_day_2012,start_day_2013,start_day_2014,start_day_2015,start_day_2016,start_day_2017,start_day_2018,start_day_2019,start_day_2020,start_day_2021,start_day_2022,start_day_2023,start_day_2024,start_day_2025,end_day_1986,end_day_1987,end_day_1988,end_day_1989,end_day_1990,end_day_1991,end_day_1992,end_day_1993,end_day_1994,end_day_1995,end_day_1996,end_day_1997,end_day_1998,end_day_1999,end_day_2000,end_day_2001,end_day_2002,end_day_2003,end_day_2004,end_day_2005,end_day_2006,end_day_2007,end_day_2008,end_day_2009,end_day_2010,end_day_2011,end_day_2012,end_day_2013,end_day_2014,end_day_2015,end_day_2016,end_day_2017,end_day_2018,end_day_2019,end_day_2020,end_day_2021,end_day_2022,end_day_2023,end_day_2024,end_day_2025
A053074001 OBENHEIM-ALTWEIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,153,91,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,275,274,274,NA,NA,NA,NA,NA,NA,NA
A041030101 BALTZENHEIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K134181001 RIGNY/ARROUX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,110,116,155,NA,140,135,NA,NA,NA,82,228,197,25,102,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,333,352,366,NA,309,335,NA,NA,NA,289,323,331,275,365,279,NA
K177301001 VERNEUIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,154,169,140,127,207,80,165,115,151,200,46,1,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,274,299,294,334,274,294,267,260,277,314,361,345,NA,365
K649251001 SELLES ST ANDRE [HS],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,103,NA,NA,59,55,49,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,208,NA,NA,344,216,193,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K650091001 CHÂTILLON-SUR-CHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,81,110,99,NA,NA,NA,NA,NA,NA,135,NA,NA,91,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,191,318,289,NA,NA,NA,NA,NA,NA,297,NA,NA,230,199,NA,NA
K671091001 TOURS [PONT SAINT SAUVEUR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,100,214,116,121,81,80,NA,105,91,235,145,152,80,106,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,349,245,316,343,352,360,NA,176,281,332,298,292,289,258,NA,277,NA,NA,NA
K091001010 VILLEREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,172,221,155,173,103,166,165,176,101,218,167,158,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,332,336,316,307,161,327,254,328,350,363,319,339,249,NA
K209081001 SAINT HAON ( NOUVEAU MONDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,166,158,82,NA,267,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,293,313,313,NA,355,NA,NA,320,NA,NA
K055001010 BAS EN BASSET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,102,159,129,NA,NA,NA,77,47,81,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,218,301,250,NA,NA,NA,203,201,254,291,NA
K230081001 LANGEAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,140,140,NA,131,99,NA,NA,14,173,153,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,258,307,NA,269,246,NA,NA,207,244,243,365
K549090001 VIERZON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,131,166,32,87,80,153,172,NA,20,122,139,193,144,205,195,205,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,346,328,198,171,351,335,291,NA,31,293,364,339,363,274,343,317,NA,209,NA
K633252001 BRINON-SUR-SAULDRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,152,132,29,28,97,206,152,156,275,3,NA,226,225,105,NA,208,215,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,284,207,311,349,263,279,317,182,335,44,NA,347,340,168,NA,313,354,365
K091001011 VILLEREST (PONT DE VILLEREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,172,221,98,148,103,NA,165,176,101,218,167,172,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,332,336,316,307,161,NA,353,328,350,363,319,339,249,NA
