"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"505",2025-02-13T09:42:00.000Z,2025-02-13T11:15:00.000Z,"Mesure par ADCP",-0.075,538,2025-07-03T09:41:10.000Z
"496",2023-12-05T09:30:00.000Z,2023-12-05T10:35:00.000Z,"Jaugeage par mesure de vitesse en surface",-0.215,382,2025-05-13T11:26:39.000Z
"495",2023-11-15T10:23:00.000Z,2023-11-15T10:41:00.000Z,"Mesure par ADCP",-0.47500000000000003,338.478,2025-05-13T11:26:39.000Z
"487",2023-01-19T10:45:00.000Z,2023-01-19T11:15:00.000Z,"Mesure par ADCP",-0.255,417,2023-04-17T13:37:45.000Z
"486",2022-11-24T13:30:00.000Z,2022-11-24T14:15:00.000Z,"Saumon par intégration",-1.1420000000000001,140,2023-04-17T13:37:45.000Z
"485",2022-10-06T10:15:00.000Z,2022-10-06T11:20:00.000Z,"Mesure par ADCP",-1.351,100.71600000000001,2023-04-17T13:37:45.000Z
"484",2022-08-16T10:39:00.000Z,2022-08-16T11:01:00.000Z,"Mesure par ADCP",-1.61,49,2023-04-17T13:37:45.000Z
"483",2022-07-13T09:21:00.000Z,2022-07-13T09:41:00.000Z,"Mesure par ADCP",-1.397,96.56,2023-04-17T13:37:46.000Z
"491",2023-06-28T08:25:00.000Z,2023-06-28T08:55:00.000Z,"Mesure par ADCP",-0.8250000000000001,160.93,2023-11-17T14:18:37.000Z
"482",2022-06-29T14:33:00.000Z,2022-06-29T14:55:00.000Z,"Mesure par ADCP",-1.33,98.366,2023-04-17T13:37:46.000Z
"444",2019-09-04T09:45:00.000Z,2019-09-04T10:25:00.000Z,"Mesure par ADCP",-1.473,55.800000000000004,2023-01-16T07:14:49.000Z
"480",2022-03-22T12:55:00.000Z,2022-03-22T13:13:00.000Z,"Mesure par ADCP",-0.725,268.422,2023-01-16T07:14:43.000Z
"479",2022-01-31T11:46:00.000Z,2022-01-31T11:53:00.000Z,"Mesure par ADCP",-0.65,293,2023-01-16T07:14:43.000Z
"478",2021-12-15T12:31:00.000Z,2021-12-15T12:57:00.000Z,"Mesure par ADCP",0.535,735.4,2023-01-16T07:14:43.000Z
"477",2021-11-05T11:52:00.000Z,2021-11-05T12:12:00.000Z,"Mesure par ADCP",-0.805,245,2023-01-16T07:14:43.000Z
"476",2021-09-08T11:12:00.000Z,2021-09-08T11:39:00.000Z,"Mesure par ADCP",-1.425,82.2,2023-01-16T07:14:44.000Z
"475",2021-07-29T12:50:00.000Z,2021-07-29T13:15:00.000Z,"Mesure par ADCP",-0.595,325,2023-01-16T07:14:44.000Z
"474",2021-06-17T09:10:00.000Z,2021-06-17T09:45:00.000Z,"Mesure par ADCP",-1.045,152,2023-01-16T07:14:44.000Z
"473",2021-05-11T09:20:00.000Z,2021-05-11T09:40:00.000Z,"Mesure par ADCP",-0.93,183,2023-01-16T07:14:44.000Z
"472",2021-04-08T13:06:00.000Z,2021-04-08T13:27:00.000Z,"Mesure par ADCP",-1.0230000000000001,164.3,2023-01-16T07:14:44.000Z
"471",2021-02-25T10:30:00.000Z,2021-02-25T13:06:00.000Z,"Saumon par intégration",-0.165,476,2023-01-16T07:14:44.000Z
"470",2021-02-06T14:19:00.000Z,2021-02-06T15:13:00.000Z,"Mesure par ADCP",2.09,1670,2023-01-16T07:14:45.000Z
"469",2021-01-25T10:14:00.000Z,2021-01-25T11:13:00.000Z,"Mesure par ADCP",0.805,892,2023-01-16T07:14:45.000Z
"468",2021-01-25T10:00:00.000Z,2021-01-25T11:00:00.000Z,"Jaugeage par mesure de vitesse en surface",0.805,883,2023-01-16T07:14:45.000Z
"467",2021-01-25T09:49:00.000Z,2021-01-25T11:07:00.000Z,"Saumon par intégration",0.805,880,2023-01-16T07:14:45.000Z
"466",2021-01-06T12:08:00.000Z,2021-01-06T13:00:00.000Z,"Mesure par ADCP",-0.10300000000000001,452,2023-01-16T07:14:45.000Z
"465",2020-12-15T09:14:00.000Z,2020-12-15T09:37:00.000Z,"Mesure par ADCP",-0.9400000000000001,185,2023-01-16T07:14:46.000Z
