"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"269",2024-08-06T11:22:00.000Z,2024-08-06T11:38:00.000Z,"Mesure par ADCP",0.242,2,2024-08-07T09:27:25.000Z
"258",2023-10-10T07:43:00.000Z,2023-10-10T07:57:00.000Z,"Mesure par ADCP",0.16,0.786,2023-10-10T12:23:09.000Z
"255",2023-08-22T12:06:00.000Z,2023-08-22T12:20:00.000Z,"Mesure par ADCP",0.14,0.617,2023-08-23T13:59:09.000Z
"268.2",2024-07-24T11:46:00.000Z,2024-07-24T12:07:00.000Z,"Mesure par ADCP",0.262,2.5500000000000003,2024-07-24T14:05:02.000Z
"268.1",2024-07-24T11:07:00.000Z,2024-07-24T11:25:00.000Z,"Mesure par ADCP",0.262,2.68,2024-07-24T14:05:02.000Z
"277",2025-04-23T08:16:00.000Z,2025-04-23T08:27:00.000Z,"Mesure par ADCP",0.322,4.88,2025-05-13T13:47:15.000Z
"276",2025-03-19T09:24:00.000Z,2025-03-19T09:36:00.000Z,"Mesure par ADCP",0.28,4.29,2025-05-13T13:47:15.000Z
"254",2023-08-08T11:20:00.000Z,2023-08-08T11:44:00.000Z,"Mesure par ADCP",0.166,0.92,2023-08-09T12:37:39.000Z
"262",2023-12-06T08:56:00.000Z,2023-12-06T09:20:00.000Z,"Mesure par ADCP",0.388,6.95,2023-12-06T15:14:55.000Z
"250",2023-06-13T11:27:00.000Z,2023-06-13T11:52:00.000Z,"Mesure par ADCP",0.20800000000000002,1.62,2023-08-09T12:37:48.000Z
"249",2023-06-01T07:25:00.000Z,2023-06-01T08:10:00.000Z,"Mesure par ADCP",0.219,1.92,2023-08-09T12:37:49.000Z
"260",2023-10-30T10:20:00.000Z,2023-10-30T10:27:00.000Z,"Mesure par ADCP",0.625,17.2,2023-10-30T16:02:42.000Z
"266",2024-05-14T08:08:00.000Z,2024-05-14T08:19:00.000Z,"Mesure par ADCP",0.375,6.92,2024-05-17T14:09:06.000Z
"280",2025-06-24T12:43:00.000Z,2025-06-24T13:05:00.000Z,"Mesure par ADCP",0.19,1.31,2025-06-24T14:45:28.000Z
"274",2025-01-16T09:20:00.000Z,2025-01-16T09:34:00.000Z,"Mesure par ADCP",0.48,11.9,2025-02-20T15:27:40.000Z
"275",2025-02-20T11:08:00.000Z,2025-02-20T11:19:00.000Z,"Mesure par ADCP",0.321,5.87,2025-02-20T15:44:13.000Z
"273.2",2024-12-03T10:02:00.000Z,2024-12-03T10:21:00.000Z,"Mesure par ADCP",0.303,3.75,2024-12-03T15:01:34.000Z
"273.1",2024-12-03T09:32:00.000Z,2024-12-03T09:44:00.000Z,"Mesure par ADCP",0.305,4,2024-12-03T15:01:34.000Z
"279",2025-06-04T12:38:00.000Z,2025-06-04T12:52:00.000Z,"Mesure par ADCP",0.192,1.84009,2025-06-06T06:57:00.000Z
"278.2",2025-05-13T10:20:00.000Z,2025-05-13T10:36:00.000Z,"Mesure par ADCP",0.243,2.66,2025-05-13T13:47:14.000Z
"278.1",2025-05-13T09:49:00.000Z,2025-05-13T10:07:00.000Z,"Mesure par ADCP",0.243,2.82,2025-05-13T13:47:14.000Z
"272",2024-10-22T12:24:00.000Z,2024-10-22T12:35:00.000Z,"Mesure par ADCP",0.328,4.78,2024-10-22T14:24:27.000Z
"253",2023-07-25T12:00:00.000Z,2023-07-25T12:41:00.000Z,"Mesure par ADCP",0.153,0.686,2023-08-09T12:37:44.000Z
"252",2023-07-11T11:24:00.000Z,2023-07-11T11:55:00.000Z,"Mesure par ADCP",0.17500000000000002,0.9390000000000001,2023-08-09T12:37:45.000Z
"251",2023-06-27T10:17:00.000Z,2023-06-27T10:42:00.000Z,"Mesure par ADCP",0.201,1.37,2023-08-09T12:37:46.000Z
"279-2",2025-06-04T12:39:00.000Z,2025-06-04T12:53:00.000Z,"Autres",0.192,1.75,2025-06-06T06:56:59.000Z
