"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"14",2022-01-04T09:25:00.000Z,2022-01-04T10:25:00.000Z,"Mesure par ADCP",0.262,0.496,2022-04-14T09:19:44.000Z
"23",2022-11-30T13:35:00.000Z,2022-11-30T14:30:00.000Z,"Perche point par point",0.197,0.161,2022-12-08T14:51:35.000Z
"25",2023-02-07T10:00:00.000Z,2023-02-07T11:00:00.000Z,"Perche point par point",0.222,0.251,2023-03-17T07:56:03.000Z
"24",2022-12-13T09:20:00.000Z,2022-12-13T10:30:00.000Z,"Perche point par point",0.278,0.443,2022-12-16T08:47:54.000Z
"19",2022-06-28T08:25:00.000Z,2022-06-28T09:45:00.000Z,"Perche point par point",0.152,0.116,2022-06-30T09:28:07.000Z
"22",2022-10-19T09:40:00.000Z,2022-10-19T10:15:00.000Z,"Perche point par point",0.147,0.035,2022-11-21T14:05:45.000Z
"26",2023-04-04T08:15:00.000Z,2023-04-04T09:10:00.000Z,"Perche point par point",0.23500000000000001,0.307,2023-04-17T08:35:40.000Z
"33",2024-02-27T09:10:00.000Z,2024-02-27T09:45:00.000Z,"Mesure par ADCP",0.335,0.788,2024-02-28T08:31:42.000Z
"15",2022-03-09T14:20:00.000Z,2022-03-09T15:00:00.000Z,"Mesure par ADCP",0.228,0.337,2022-03-10T16:09:58.000Z
"16",2022-03-09T15:00:00.000Z,2022-03-09T15:30:00.000Z,"Mesure par ADCP",0.228,0.343,2022-03-10T16:10:08.000Z
"17",2022-04-28T08:10:00.000Z,2022-04-28T08:40:00.000Z,"Mesure par ADCP",0.40700000000000003,1.58,2022-06-13T08:43:06.000Z
"18",2022-04-28T08:40:00.000Z,2022-04-28T09:40:00.000Z,"Perche point par point",0.406,1.45,2022-06-13T08:43:16.000Z
"50",2025-03-24T08:35:00.000Z,2025-03-24T09:20:00.000Z,"Mesure par ADCP",0.665,9.76,2025-03-26T07:45:54.000Z
"20",2022-07-21T08:20:00.000Z,2022-07-21T09:05:00.000Z,"Perche point par point",0.10300000000000001,0.023,2022-07-22T07:31:35.000Z
"37",2024-03-27T08:40:00.000Z,2024-03-27T09:10:00.000Z,"Mesure par ADCP",0.715,7.53,2024-03-28T13:38:19.000Z
"27",2023-05-25T09:05:00.000Z,2023-05-25T10:10:00.000Z,"Perche point par point",0.252,0.402,2023-08-24T08:46:05.000Z
"29",2023-08-22T12:30:00.000Z,2023-08-22T13:15:00.000Z,"Perche point par point",0.213,0.017,2023-12-21T14:54:59.000Z
"39",2024-04-23T09:00:00.000Z,2024-04-23T09:45:00.000Z,"Perche point par point",0.24,0.554,2024-04-25T08:09:44.000Z
"38",2024-04-23T08:15:00.000Z,2024-04-23T09:00:00.000Z,"Mesure par ADCP",0.24,0.551,2024-04-25T08:09:44.000Z
"44",2024-10-07T08:30:00.000Z,2024-10-07T09:25:00.000Z,"Perche point par point",0.138,0.089,2024-10-10T06:57:53.000Z
"42",2024-08-20T07:45:00.000Z,2024-08-20T08:30:00.000Z,"Perche point par point",0.088,0.067,2024-10-10T06:57:53.000Z
"21",2022-08-11T08:55:00.000Z,2022-08-11T09:45:00.000Z,"Perche point par point",0.097,0.013000000000000001,2022-08-12T09:50:22.000Z
"31",2023-11-14T09:15:00.000Z,2023-11-14T10:20:00.000Z,"Perche point par point",0.377,0.989,2023-12-21T14:55:11.000Z
"28",2023-07-25T08:00:00.000Z,2023-07-25T08:45:00.000Z,"Perche point par point",0.193,0.095,2023-07-27T12:44:30.000Z
"32",2024-01-09T09:55:00.000Z,2024-01-09T10:45:00.000Z,"Perche point par point",0.242,0.28600000000000003,2024-01-11T09:38:09.000Z
"34",2024-03-05T12:50:00.000Z,2024-03-05T13:20:00.000Z,"Mesure par ADCP",0.5750000000000001,3.62,2024-03-07T08:44:04.000Z
"40",2024-06-25T08:20:00.000Z,2024-06-25T09:30:00.000Z,"Perche point par point",0.145,0.22,2024-06-26T08:41:45.000Z
