"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"113",2022-02-23T09:44:00.000Z,2022-02-23T09:52:00.000Z,"Mesure par ADCP",0.9590000000000001,0.40800000000000003,2023-07-03T12:47:16.000Z
"111",2022-02-03T11:05:00.000Z,2022-02-03T11:13:00.000Z,"Mesure par ADCP",0.91,0.354,2023-07-03T12:47:17.000Z
"107",2022-01-05T08:35:00.000Z,2022-01-05T08:50:00.000Z,"Mesure par ADCP",1.595,2.374,2023-02-22T10:21:02.000Z
"106",2021-12-10T13:05:00.000Z,2021-12-10T13:25:00.000Z,"Mesure par ADCP",1.47,1.6400000000000001,2023-02-22T10:21:02.000Z
"105",2021-12-01T08:00:00.000Z,,"Perche point par point",0.8,0.125,2023-02-22T10:21:02.000Z
"109",2021-10-15T14:30:00.000Z,2021-10-15T15:00:00.000Z,"Autres",0.765,0.061,2023-02-22T10:21:02.000Z
"108",2021-09-27T11:45:00.000Z,2021-09-27T12:06:00.000Z,"Perche point par point",0.793,0.1,2023-02-22T10:21:02.000Z
"107",2021-08-19T14:15:00.000Z,2021-08-19T14:45:00.000Z,"Mesure par ADCP",0.77,0.084,2023-02-22T10:21:02.000Z
"106",2021-08-19T13:28:00.000Z,2021-08-19T14:03:00.000Z,"Perche point par point",0.77,0.079,2023-02-22T10:21:03.000Z
"105",2021-07-28T12:15:00.000Z,2021-07-28T12:45:00.000Z,"Autres",0.845,0.169,2023-02-22T10:21:03.000Z
"104",2021-07-08T12:45:00.000Z,2021-07-08T13:00:00.000Z,"Perche point par point",0.77,0.066,2023-02-22T10:21:03.000Z
"103",2021-06-17T06:45:00.000Z,2021-06-17T07:10:00.000Z,"Perche point par point",0.8,0.109,2023-02-22T10:21:03.000Z
"84",2020-03-06T09:00:00.000Z,2020-03-06T09:14:00.000Z,"Mesure par ADCP",2.69,11.200000000000001,2023-02-22T10:44:44.000Z
"83",2020-02-18T14:45:00.000Z,2020-02-18T15:10:00.000Z,"Mesure par ADCP",1.5050000000000001,2.07,2023-02-22T10:44:45.000Z
"144",2023-12-14T08:15:00.000Z,2023-12-14T08:25:00.000Z,"Mesure par ADCP",2.015,3.1,2024-07-16T06:46:12.000Z
"82",2020-02-18T14:40:00.000Z,2020-02-18T15:00:00.000Z,"Mesure par ADCP",1.5050000000000001,2.05,2023-02-22T10:44:45.000Z
"81",2020-01-13T12:15:00.000Z,2020-01-13T12:45:00.000Z,"Mesure par ADCP",1.069,0.522,2023-02-22T10:44:45.000Z
"80",2019-12-05T08:40:00.000Z,2019-12-05T09:10:00.000Z,"Mesure par ADCP",1.123,0.47200000000000003,2023-02-22T10:44:45.000Z
"79",2019-12-02T12:12:00.000Z,2019-12-02T12:40:00.000Z,"Mesure par ADCP",1.27,0.789,2023-02-22T10:44:45.000Z
"78",2019-10-24T13:45:00.000Z,2019-10-24T14:21:00.000Z,"Perche point par point",0.77,0.013000000000000001,2023-02-22T10:44:46.000Z
"77",2019-08-20T07:06:00.000Z,2019-08-20T07:23:00.000Z,"Perche point par point",0.6950000000000001,0.006,2023-02-22T10:44:46.000Z
"76",2019-07-26T08:55:00.000Z,2019-07-26T09:10:00.000Z,"Jaugeage par mesure de vitesse en surface",0.6900000000000001,0,2023-02-22T10:44:46.000Z
"75",2019-06-26T05:25:00.000Z,2019-06-26T05:42:00.000Z,"Perche point par point",0.711,0.027,2023-02-22T10:44:46.000Z
"74",2019-05-14T12:12:00.000Z,2019-05-14T12:35:00.000Z,"Perche point par point",0.755,0.122,2023-02-22T10:44:46.000Z
"143",2023-12-14T08:10:00.000Z,2023-12-14T08:15:00.000Z,"Mesure par ADCP",2.015,2.96,2024-07-16T06:46:13.000Z
"142",2023-11-06T14:50:00.000Z,2023-11-06T14:56:00.000Z,"Mesure par ADCP",1.579,1,2024-07-16T06:46:13.000Z
"72",2019-02-26T13:55:00.000Z,2019-02-26T14:00:00.000Z,"Autres",0.795,0.187,2023-02-22T10:44:47.000Z
"71",2019-02-26T13:50:00.000Z,2019-02-26T13:55:00.000Z,"Mesure par ADCP",0.795,0.231,2023-02-22T10:44:47.000Z
"69",2019-01-29T14:00:00.000Z,2019-01-29T14:20:00.000Z,"Mesure par ADCP",0.87,0.34400000000000003,2023-02-22T10:44:47.000Z
"68",2018-12-12T11:06:00.000Z,2018-12-12T11:20:00.000Z,"Mesure par ADCP",0.795,0.18,2023-02-22T10:44:47.000Z
"67",2018-11-07T11:35:00.000Z,2018-11-07T11:55:00.000Z,"Perche point par point",0.715,0.015,2023-02-22T10:44:47.000Z
"123",2022-12-08T14:20:00.000Z,2022-12-08T14:55:00.000Z,"Perche point par point",0.84,0.138,2023-07-03T12:47:15.000Z
"108",2022-01-18T13:15:00.000Z,2022-01-18T13:30:00.000Z,"Mesure par ADCP",1.026,0.5750000000000001,2023-07-03T12:47:17.000Z
"122",2022-11-07T08:20:00.000Z,2022-11-07T08:50:00.000Z,"Perche point par point",0.745,0.043000000000000003,2023-07-03T12:47:15.000Z
"18",2015-06-04T07:00:00.000Z,2015-06-04T07:30:00.000Z,"Perche point par point",0.79,0.109,2022-05-20T13:49:40.000Z
"17",2015-05-04T07:45:00.000Z,2015-05-04T08:05:00.000Z,"Mesure par ADCP",2.575,10.200000000000001,2022-05-20T13:49:41.000Z
"16",2015-04-16T06:40:00.000Z,2015-04-16T07:10:00.000Z,"Perche point par point",0.836,0.227,2022-05-20T13:49:42.000Z
"15",2015-03-30T12:25:00.000Z,2015-03-30T12:43:00.000Z,"Mesure par ADCP",0.915,0.465,2022-05-20T13:49:42.000Z
"14",2015-02-23T13:15:00.000Z,2015-02-23T14:00:00.000Z,"Mesure par ADCP",1.105,1.17,2022-05-20T13:49:43.000Z
"13",2015-01-13T11:18:00.000Z,2015-01-13T11:33:00.000Z,"Mesure par ADCP",1.11,1.1300000000000001,2022-05-20T13:49:44.000Z
"12",2014-12-04T14:00:00.000Z,2014-12-04T14:15:00.000Z,"Mesure par ADCP",0.835,0.232,2022-05-20T13:49:44.000Z
"11",2014-11-19T13:30:00.000Z,2014-11-19T14:00:00.000Z,"Mesure par ADCP",1.068,0.932,2022-05-20T13:49:45.000Z
"10",2014-10-31T08:05:00.000Z,2014-10-31T08:37:00.000Z,"Perche point par point",0.775,0.1,2022-05-20T13:49:45.000Z
"9",2014-09-29T13:30:00.000Z,2014-09-29T13:55:00.000Z,"Perche point par point",0.758,0.056,2022-05-20T13:49:46.000Z
"8",2014-08-07T06:50:00.000Z,2014-08-07T07:10:00.000Z,"Mesure par ADCP",0.794,0.181,2022-05-20T13:49:47.000Z
"7",2014-07-18T08:35:00.000Z,2014-07-18T08:55:00.000Z,"Mesure par ADCP",0.84,0.261,2022-05-20T13:49:47.000Z
"6",2014-06-19T09:00:00.000Z,2014-06-19T09:30:00.000Z,"Perche point par point",0.8,0.14300000000000002,2022-05-20T13:49:48.000Z
"5",2014-05-06T11:45:00.000Z,2014-05-06T12:10:00.000Z,"Mesure par ADCP",1.02,0.765,2022-05-20T13:49:49.000Z
"4",2014-04-11T07:45:00.000Z,2014-04-11T07:56:00.000Z,"Mesure par ADCP",0.86,0.292,2022-05-20T13:49:49.000Z
"3",2014-03-06T08:15:00.000Z,2014-03-06T08:30:00.000Z,"Mesure par ADCP",1.25,1.7,2022-05-20T13:49:50.000Z
"2",2014-02-13T15:45:00.000Z,2014-02-13T16:10:00.000Z,"Mesure par ADCP",1.98,6.82,2022-05-20T13:49:50.000Z
"1",2014-02-06T08:25:00.000Z,2014-02-06T08:45:00.000Z,"Mesure par ADCP",1.07,0.9480000000000001,2022-05-20T13:49:51.000Z
"131",2023-04-18T09:34:00.000Z,2023-04-18T10:00:00.000Z,"Perche par intégration",0.855,0.23,2024-01-05T12:34:26.000Z
"129",2023-04-13T08:34:00.000Z,2023-04-13T09:43:00.000Z,"Dilution par intégration",0.93,0.368,2024-01-05T12:34:26.000Z
"64",2018-08-23T08:54:00.000Z,2018-08-23T09:20:00.000Z,"Perche point par point",0.725,0.022,2023-02-22T10:44:48.000Z
"60",2018-06-15T11:45:00.000Z,2018-06-15T12:00:00.000Z,"Mesure par ADCP",0.885,0.41400000000000003,2023-02-22T10:44:49.000Z
"59",2018-04-18T10:32:00.000Z,2018-04-18T11:00:00.000Z,"Mesure par ADCP",1.01,0.759,2023-02-22T10:44:49.000Z
"128",2023-03-06T14:06:00.000Z,2023-03-06T14:30:00.000Z,"Mesure par ADCP",0.789,0.116,2024-01-05T12:34:26.000Z
"55",2017-11-13T10:05:00.000Z,2017-11-13T10:20:00.000Z,"Perche point par point",0.77,0.088,2023-02-22T10:44:50.000Z
"53",2017-10-16T12:00:00.000Z,2017-10-16T12:20:00.000Z,"Perche point par point",0.7010000000000001,0.017,2023-02-22T10:44:50.000Z
"48",2017-06-27T13:10:00.000Z,2017-06-27T13:20:00.000Z,"Perche point par point",0.6900000000000001,0.013000000000000001,2023-02-22T10:44:51.000Z
"47",2017-06-06T15:10:00.000Z,2017-06-06T15:30:00.000Z,"Mesure par ADCP",0.735,0.08,2023-02-22T10:44:51.000Z
"44",2017-03-06T10:00:00.000Z,2017-03-06T10:40:00.000Z,"Mesure par ADCP",1.682,4.0600000000000005,2023-02-22T10:44:52.000Z
"124",2022-12-08T15:00:00.000Z,2022-12-08T15:30:00.000Z,"Perche point par point",0.837,0.14100000000000001,2024-01-05T12:34:27.000Z
"126",2023-01-18T14:40:00.000Z,2023-01-18T15:10:00.000Z,"Mesure par ADCP",2.132,3.7,2024-01-05T12:34:27.000Z
"115",2022-06-01T07:35:00.000Z,2022-06-01T08:20:00.000Z,"Perche point par point",0.743,0.043000000000000003,2023-07-03T12:47:16.000Z
"139",2023-09-19T13:13:00.000Z,2023-09-19T13:30:00.000Z,"Perche point par point",0.6990000000000001,0.004,2024-01-05T12:34:24.000Z
"138",2023-07-20T13:22:00.000Z,2023-07-20T13:41:00.000Z,"Perche point par point",0.705,0.021,2024-01-05T12:34:24.000Z
"167",2025-05-26T09:40:00.000Z,2025-05-26T10:00:00.000Z,"Perche point par point",0.775,0.108,2025-06-11T07:41:11.000Z
"170",2025-06-10T15:15:00.000Z,2025-06-10T15:40:00.000Z,"Perche point par point",0.745,0.053,2025-06-11T07:41:11.000Z
"168",2025-05-26T10:10:00.000Z,2025-05-26T10:20:00.000Z,"Autres",0.555,0.001,2025-06-11T07:41:11.000Z
"159",2024-11-15T12:40:00.000Z,2024-11-15T13:05:00.000Z,"Perche point par point",0.801,0.135,2025-04-25T05:37:16.000Z
"158",2024-09-20T09:40:00.000Z,2024-09-20T09:52:00.000Z,"Perche point par point",0.749,0.052000000000000005,2025-04-25T05:37:16.000Z
"161",2025-01-14T15:36:00.000Z,2025-01-14T15:48:00.000Z,"Mesure par ADCP",1.332,1.24,2025-04-28T07:58:33.000Z
"160",2025-01-14T15:17:00.000Z,2025-01-14T15:25:00.000Z,"Mesure par ADCP",1.332,1.4000000000000001,2025-04-28T07:58:33.000Z
"157",2024-09-20T08:35:00.000Z,2024-09-20T08:45:00.000Z,"Perche point par point",0.75,0.065,2025-04-25T05:37:17.000Z
"156",2024-08-22T13:25:00.000Z,2024-08-22T13:44:00.000Z,"Autres",0.76,0.07,2025-04-25T05:37:17.000Z
"70",2019-02-26T13:40:00.000Z,2019-02-26T13:50:00.000Z,"Mesure par ADCP",0.795,0.231,2023-02-22T10:44:47.000Z
"162",2025-03-11T13:46:00.000Z,2025-03-11T13:52:00.000Z,"Mesure par ADCP",1.03,0.6970000000000001,2025-04-28T07:58:33.000Z
"119",2022-08-25T07:35:00.000Z,,"Autres",0.7000000000000001,0.002,2023-07-03T12:47:15.000Z
"110",2022-02-03T10:44:00.000Z,2022-02-03T10:54:00.000Z,"Mesure par ADCP",0.91,0.331,2023-07-03T12:47:17.000Z
"118",2022-07-12T12:46:00.000Z,2022-07-12T13:10:00.000Z,"Perche point par point",0.73,0.015,2023-07-03T12:47:16.000Z
"109",2022-01-18T13:35:00.000Z,2022-01-18T14:15:00.000Z,"Mesure par ADCP",1.026,0.5750000000000001,2023-07-03T12:47:17.000Z
"137",2023-06-14T14:28:00.000Z,2023-06-14T14:45:00.000Z,"Perche point par point",0.748,0.062,2024-01-05T12:34:25.000Z
"134",2023-04-20T09:56:00.000Z,2023-04-20T10:30:00.000Z,"Perche point par point",0.8300000000000001,0.184,2024-01-05T12:34:25.000Z
"130",2023-04-13T10:04:00.000Z,,"Dilution par intégration",0.93,0.292,2024-01-05T12:34:26.000Z
"66",2018-09-27T08:30:00.000Z,2018-09-27T09:00:00.000Z,"Perche point par point",0.715,0.009000000000000001,2023-02-22T10:44:48.000Z
"63",2018-08-06T11:20:00.000Z,2018-08-06T12:00:00.000Z,"Perche point par point",0.73,0.034,2023-02-22T10:44:48.000Z
"62",2018-07-18T12:40:00.000Z,2018-07-18T12:55:00.000Z,"Mesure par ADCP",0.755,0.101,2023-02-22T10:44:48.000Z
"58",2018-02-27T14:40:00.000Z,2018-02-27T14:50:00.000Z,"Mesure par ADCP",1.05,0.793,2023-02-22T10:44:49.000Z
"57",2018-02-27T14:26:00.000Z,2018-02-27T14:40:00.000Z,"Mesure par ADCP",1.05,0.797,2023-02-22T10:44:49.000Z
"127",2023-02-21T14:05:00.000Z,2023-02-21T14:35:00.000Z,"Perche point par point",0.81,0.147,2024-01-05T12:34:26.000Z
"125",2023-01-18T10:00:00.000Z,2023-01-18T10:25:00.000Z,"Mesure par ADCP",2.146,3.7600000000000002,2024-01-05T12:34:27.000Z
"55",2017-12-14T13:08:00.000Z,2017-12-14T13:30:00.000Z,"Mesure par ADCP",0.8300000000000001,0.249,2023-02-22T10:44:50.000Z
"54",2017-11-13T10:25:00.000Z,2017-11-13T10:35:00.000Z,"Mesure par ADCP",0.77,0.082,2023-02-22T10:44:50.000Z
"50",2017-08-12T09:25:00.000Z,2017-08-12T10:00:00.000Z,"Perche point par point",0.717,0.05,2023-02-22T10:44:51.000Z
"49",2017-07-19T07:11:00.000Z,2017-07-19T07:44:00.000Z,"Perche point par point",0.6880000000000001,0.015,2023-02-22T10:44:51.000Z
"112",2022-02-23T08:15:00.000Z,2022-02-23T09:29:00.000Z,"Perche point par point",0.96,0.384,2023-07-03T12:47:17.000Z
"135",2023-06-02T14:20:00.000Z,2023-06-02T14:35:00.000Z,"Perche point par point",0.738,0.046,2024-01-05T12:34:25.000Z
"133",2023-04-20T09:30:00.000Z,2023-04-20T10:02:00.000Z,"Dilution par intégration",0.8300000000000001,0.20077,2024-01-05T12:34:25.000Z
"132",2023-04-20T08:30:00.000Z,2023-04-20T09:20:00.000Z,"Dilution par intégration",0.8300000000000001,0.156,2024-01-05T12:34:26.000Z
"154",2024-08-06T08:45:00.000Z,2024-08-06T09:20:00.000Z,"Perche point par point",0.763,0.067,2024-09-24T14:09:17.000Z
"152",2024-07-15T08:43:00.000Z,2024-07-15T09:36:00.000Z,"Mesure par ADCP",0.8,0.123,2024-07-16T06:46:11.000Z
"151",2024-06-06T12:30:00.000Z,2024-06-06T12:55:00.000Z,"Perche point par point",0.893,0.28700000000000003,2024-07-16T06:46:11.000Z
"150",2024-04-10T15:04:00.000Z,2024-04-10T15:13:00.000Z,"Mesure par ADCP",1.256,0.974,2024-07-16T06:46:11.000Z
