"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"109",2024-10-24T09:48:00.000Z,2024-10-24T10:00:00.000Z,"Mesure par ADCP",0.51,1.5,2024-10-28T14:21:24.000Z
"108",2024-08-27T09:37:00.000Z,2024-08-27T11:08:00.000Z,"Perche point par point",0.178,0.194,2024-10-28T14:05:06.000Z
"107",2024-06-20T10:00:00.000Z,2024-06-20T10:32:00.000Z,"Mesure par ADCP",1.974,9.34,2024-10-28T14:05:06.000Z
"74",2020-11-24T11:15:00.000Z,2020-11-24T11:44:00.000Z,"Perche point par point",0.15,0.133,2022-05-19T09:11:26.000Z
"73",2020-10-12T10:15:00.000Z,2020-10-12T10:34:00.000Z,"Perche point par point",0.129,0.098,2022-05-19T09:11:27.000Z
"72",2020-09-03T12:40:00.000Z,2020-09-03T13:00:00.000Z,"Perche point par point",0.09,0.062,2022-05-19T09:11:27.000Z
"71",2020-07-29T09:18:00.000Z,2020-07-29T09:45:00.000Z,"Perche point par point",0.075,0.057,2022-05-19T09:11:28.000Z
"70",2020-07-01T10:00:00.000Z,2020-07-01T10:25:00.000Z,"Perche point par point",0.14,0.126,2022-05-19T09:11:28.000Z
"69",2020-05-20T13:21:00.000Z,2020-05-20T13:29:00.000Z,"Mesure par ADCP",0.23,0.397,2022-05-19T09:11:29.000Z
"68",2020-05-20T12:14:00.000Z,2020-05-20T13:03:00.000Z,"Perche point par point",0.233,0.41200000000000003,2022-05-19T09:11:30.000Z
"67",2020-02-19T15:05:00.000Z,,"Perche point par point",0.281,0.532,2022-05-19T09:11:30.000Z
"66",2020-01-15T12:55:00.000Z,2020-01-15T13:25:00.000Z,"Perche point par point",0.297,0.651,2022-05-19T09:11:31.000Z
"65",2019-12-10T11:26:00.000Z,2019-12-10T11:35:00.000Z,"Mesure par ADCP",0.323,0.84,2022-05-19T09:11:32.000Z
"64",2019-12-10T09:50:00.000Z,2019-12-10T10:40:00.000Z,"Mesure par ADCP",0.325,0.862,2022-05-19T09:11:32.000Z
"63",2019-11-06T13:00:00.000Z,2019-11-06T13:30:00.000Z,"Perche point par point",0.245,0.373,2022-05-19T09:11:33.000Z
"62",2019-09-26T14:55:00.000Z,2019-09-26T15:20:00.000Z,"Perche point par point",0.09,0.055,2022-05-19T09:11:33.000Z
"61",2019-09-26T14:15:00.000Z,2019-09-26T14:40:00.000Z,"Perche point par point",0.09,0.05,2022-05-19T09:11:34.000Z
"60",2019-08-27T09:55:00.000Z,2019-08-27T10:10:00.000Z,"Perche point par point",0.055,0.034,2022-05-19T09:11:35.000Z
"59",2019-07-30T08:50:00.000Z,2019-07-30T09:10:00.000Z,"Perche point par point",0.054,0.033,2022-05-19T09:11:35.000Z
"58",2019-06-26T10:50:00.000Z,2019-06-26T11:00:00.000Z,"Mesure par ADCP",0.105,0.074,2022-05-19T09:11:36.000Z
"57",2019-06-26T09:56:00.000Z,2019-06-26T10:30:00.000Z,"Perche point par point",0.105,0.052000000000000005,2022-05-19T09:11:37.000Z
"56",2019-05-22T12:40:00.000Z,2019-05-22T13:00:00.000Z,"Perche point par point",0.158,0.14,2022-05-19T09:11:37.000Z
"55",2019-05-22T10:13:00.000Z,2019-05-22T10:38:00.000Z,"Perche point par point",0.151,0.116,2022-05-19T09:11:38.000Z
"54",2019-04-11T10:00:00.000Z,2019-04-11T10:30:00.000Z,"Perche point par point",0.24,0.379,2022-05-19T09:11:38.000Z
"53",2019-03-06T11:05:00.000Z,,"Perche point par point",0.197,0.22,2022-05-19T09:11:39.000Z
"52",2019-01-24T10:01:00.000Z,2019-01-24T10:23:00.000Z,"Perche point par point",0.248,0.394,2022-05-19T09:11:40.000Z
"51",2018-12-19T11:00:00.000Z,2018-12-19T11:30:00.000Z,"Perche point par point",0.182,0.196,2022-05-19T09:11:40.000Z
"50",2018-11-14T13:15:00.000Z,2018-11-14T13:35:00.000Z,"Perche point par point",0.195,0.229,2022-05-19T09:11:41.000Z
"49",2018-10-04T10:15:00.000Z,2018-10-04T10:35:00.000Z,"Perche point par point",0.112,0.076,2022-05-19T09:11:42.000Z
"48",2018-08-14T11:15:00.000Z,2018-08-16T11:50:00.000Z,"Perche point par point",0.12,0.08,2022-05-19T09:11:42.000Z
"47",2018-07-18T12:50:00.000Z,2018-07-18T13:30:00.000Z,"Perche point par point",0.14,0.116,2022-05-19T09:11:43.000Z
"46",2018-06-14T12:55:00.000Z,2018-06-14T13:20:00.000Z,"Perche point par point",0.21,0.278,2022-05-19T09:11:44.000Z
"45",2018-04-26T11:59:00.000Z,2018-04-26T12:19:00.000Z,"Perche point par point",0.245,0.384,2022-05-19T09:11:44.000Z
"44",2018-03-13T11:03:00.000Z,2018-03-13T11:13:00.000Z,"Mesure par ADCP",0.6,2.79,2022-05-19T09:11:45.000Z
"43",2018-02-14T10:18:00.000Z,2018-02-14T10:28:00.000Z,"Mesure par ADCP",0.685,2.89,2022-05-19T09:11:45.000Z
"42",2018-02-14T09:58:00.000Z,2018-02-14T10:07:00.000Z,"Mesure par ADCP",0.685,2.98,2022-05-19T09:11:46.000Z
"41",2018-01-07T11:20:00.000Z,2018-01-07T11:35:00.000Z,"Mesure par ADCP",2.04,14.6,2022-05-19T09:11:47.000Z
"40",2017-11-28T10:45:00.000Z,2017-11-28T11:00:00.000Z,"Perche point par point",0.20600000000000002,0.256,2022-05-19T09:11:47.000Z
"39",2017-10-05T13:15:00.000Z,,"Perche point par point",0.155,0.14400000000000002,2022-05-19T09:11:48.000Z
"38",2017-09-07T13:30:00.000Z,2017-09-07T13:50:00.000Z,"Perche point par point",0.095,0.063,2022-05-19T09:11:49.000Z
"37",2017-08-08T09:05:00.000Z,2017-08-08T09:35:00.000Z,"Perche point par point",0.095,0.065,2022-05-19T09:11:49.000Z
"36",2017-07-04T14:10:00.000Z,2017-07-04T14:36:00.000Z,"Autres",0.12,0.092,2022-05-19T09:11:50.000Z
"35",2017-06-08T13:30:00.000Z,2017-06-08T13:45:00.000Z,"Autres",0.177,0.193,2022-05-19T09:11:50.000Z
"34",2017-05-11T13:10:00.000Z,2017-05-11T13:30:00.000Z,"Perche point par point",0.21,0.256,2022-05-19T09:11:51.000Z
"33",2017-04-11T12:50:00.000Z,2017-04-11T13:20:00.000Z,"Perche point par point",0.198,0.253,2022-05-19T09:11:52.000Z
"32",2017-03-07T10:35:00.000Z,2017-03-07T10:45:00.000Z,"Mesure par ADCP",1.072,4.43,2022-05-19T09:11:52.000Z
"31",2017-03-07T10:19:00.000Z,2017-03-07T10:28:00.000Z,"Mesure par ADCP",1.092,4.18,2022-05-19T09:11:53.000Z
"30",2017-01-31T13:10:00.000Z,2017-01-31T13:40:00.000Z,"Perche point par point",0.21,0.272,2022-05-19T09:11:54.000Z
"29",2016-12-15T13:35:00.000Z,2016-12-15T13:55:00.000Z,"Perche point par point",0.197,0.234,2022-05-19T09:11:54.000Z
"28",2016-11-10T13:45:00.000Z,2016-11-10T14:04:00.000Z,"Perche point par point",0.273,0.503,2022-05-19T09:11:55.000Z
"27",2016-09-28T12:50:00.000Z,2016-09-28T13:10:00.000Z,"Perche point par point",0.123,0.092,2022-05-19T09:11:55.000Z
"26",2016-08-31T14:15:00.000Z,2016-08-31T14:25:00.000Z,"Perche point par point",0.125,0.098,2022-05-19T09:11:56.000Z
"25",2016-08-25T12:30:00.000Z,2016-08-25T12:45:00.000Z,"Perche point par point",0.003,0.027,2022-05-19T09:11:57.000Z
"24",2016-07-26T12:20:00.000Z,2016-07-26T12:45:00.000Z,"Perche point par point",0.04,0.162,2022-05-19T09:11:57.000Z
"23",2016-06-01T14:48:00.000Z,2016-06-01T14:57:00.000Z,"Mesure par ADCP",2.207,16.4,2022-05-19T09:11:58.000Z
"22",2016-05-24T12:28:00.000Z,2016-05-24T12:45:00.000Z,"Perche point par point",0.094,0.36,2022-05-19T09:11:58.000Z
"21",2016-04-13T13:10:00.000Z,2016-04-13T13:18:00.000Z,"Mesure par ADCP",0.24,1.24,2022-05-19T09:11:59.000Z
