"","end_day_1986","end_day_1987","end_day_1988","end_day_1989","end_day_1990","end_day_1991","end_day_1992","end_day_1993","end_day_1994","end_day_1995","end_day_1996","end_day_1997","end_day_1998","end_day_1999","end_day_2000","end_day_2001","end_day_2002","end_day_2003","end_day_2004","end_day_2005","end_day_2006","end_day_2007","end_day_2008","end_day_2009","end_day_2010","end_day_2011","end_day_2012","end_day_2013","end_day_2014","end_day_2015","end_day_2016","end_day_2017","end_day_2018","end_day_2019","end_day_2020","end_day_2021","end_day_2022","end_day_2023","end_day_2024","end_day_2025","cluster_col_data"
"K722261011 BUZANÇAIS - PONT VOIE FERRÉE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,250,297,365,293,265,259,NA,291,313,NA,NA,1
"A770101001 CHAMBREY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,356,NA,340,311,281,NA,NA,138,331,337,344,336,356,NA,NA,NA,NA,3
"A802101001 ÉTAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,181,324,330,271,337,294,NA,244,NA,NA,NA,NA,3
"A820101001 JARNY [LABRY]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,339,296,300,324,330,318,337,294,217,244,271,NA,NA,NA,1
"A812200001 HANNONVILLE-SUZÉMONT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,311,281,300,324,NA,207,254,NA,317,NA,271,NA,NA,NA,2
"A994202001 FILSTROFF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,NA,NA,335,NA,356,341,340,311,284,308,324,328,331,337,346,351,NA,NA,NA,NA,NA,2
"A840101001 MOYEUVRE-GRANDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,252,324,366,318,337,294,306,244,NA,NA,NA,NA,1
"A807101001 BONCOURT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,340,339,281,269,231,330,318,337,294,282,365,NA,NA,NA,NA,2
"A832201001 BRIEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,305,216,NA,339,297,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A443064001 ÉPINAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,226,178,250,204,237,222,NA,281,305,324,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"A673122001 GERBÉVILLER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,335,NA,305,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A543101001 PULLIGNY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,314,278,NA,NA,316,NA,321,NA,NA,NA,NA,NA,314,324,295,307,NA,NA,NA,NA,NA,3
"A843101001 ROSSELANGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,254,283,208,311,281,269,NA,NA,219,262,294,217,208,208,NA,NA,NA,1
"A670121001 ROVILLE-AUX-CHÊNES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,340,NA,NA,365,NA,NA,NA,NA,NA,NA,NA,NA,3
"A436203001 CHENIMÉNIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,266,335,339,341,281,224,324,336,305,337,324,357,334,NA,NA,NA,NA,1
"A873201001 KOENIGSMACKER (LA CANNER)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,282,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"A758102001 MOYENVIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,237,340,311,276,NA,287,181,365,337,276,336,341,NA,NA,NA,NA,3
"A986201001 VARIZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,306,340,317,302,324,313,328,276,331,282,281,307,158,NA,NA,NA,2
"A975201001 CONDÉ-NORTHEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,NA,NA,209,NA,279,276,337,323,281,328,NA,NA,NA,NA,3
"A782101001 NOMENY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,324,315,365,337,294,336,195,NA,NA,NA,NA,1
"A735201001 ONVILLE",242,194,NA,NA,NA,NA,NA,149,259,271,180,346,242,NA,244,288,283,344,NA,NA,351,317,352,331,298,340,362,281,308,324,330,365,NA,346,266,341,NA,NA,NA,NA,3
"A657111001 LUNÉVILLE (VEZOUZE)",NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"A800621001 MORGEMOULIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,243,NA,254,NA,NA,NA,NA,NA,NA,NA,3
"A983201001 FAULQUEMONT",234,310,NA,NA,302,275,296,304,298,216,324,NA,NA,NA,335,307,307,315,306,NA,NA,264,NA,356,341,340,311,296,308,324,328,331,309,346,330,348,110,NA,NA,NA,4
"A973121001 ANCERVILLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,325,315,315,315,NA,356,327,340,311,296,308,324,328,331,337,346,330,NA,NA,NA,NA,NA,1
"A523011001 BEGNÉCOURT (HEUCHELOUP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,314,NA,295,273,NA,NA,NA,NA,NA,1
"A643112002 BLÂMONT [AMONT]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"A788101002 METZ PONT LOTHAIRE AMONT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,243,NA,NA,NA,NA,2
"A350010001 DRUSENHEIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,305,336,335,319,NA,NA,NA,334,NA,310,288,352,NA,348,317,335,NA,NA,NA,273,NA,306,305,3
"A228003001 CHASSEUR FROID ROBERTSAU_TOTAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,364,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A907105050 DIEDENDORF",NA,NA,NA,NA,NA,NA,NA,NA,NA,334,306,NA,301,305,320,318,335,335,NA,359,NA,335,NA,NA,319,344,352,288,NA,337,NA,345,NA,365,NA,335,NA,335,142,305,3
"A909106050 KESKASTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,333,346,NA,335,NA,276,365,274,NA,259,365,305,NA,302,NA,305,335,325,284,NA,334,NA,327,NA,NA,NA,322,335,332,142,305,1
"A926000101 OERMINGEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,300,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,NA,NA,NA,NA,NA,306,247,NA,1
