"","minima_day_1986","minima_day_1987","minima_day_1988","minima_day_1989","minima_day_1990","minima_day_1991","minima_day_1992","minima_day_1993","minima_day_1994","minima_day_1995","minima_day_1996","minima_day_1997","minima_day_1998","minima_day_1999","minima_day_2000","minima_day_2001","minima_day_2002","minima_day_2003","minima_day_2004","minima_day_2005","minima_day_2006","minima_day_2007","minima_day_2008","minima_day_2009","minima_day_2010","minima_day_2011","minima_day_2012","minima_day_2013","minima_day_2014","minima_day_2015","minima_day_2016","minima_day_2017","minima_day_2018","minima_day_2019","minima_day_2020","minima_day_2021","minima_day_2022","minima_day_2023","minima_day_2024","minima_day_2025","cluster_col_data"
"K722261011 BUZANÇAIS - PONT VOIE FERRÉE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,180,192,140,150,92,168,NA,117,151,NA,NA,1
"A770101001 CHAMBREY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,166,NA,158,188,203,NA,NA,131,193,215,177,188,175,NA,NA,NA,NA,3
"A802101001 ÉTAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,139,266,265,158,290,268,NA,208,NA,NA,NA,NA,3
"A820101001 JARNY [LABRY]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,179,239,181,231,243,207,163,268,168,188,151,NA,NA,NA,1
"A812200001 HANNONVILLE-SUZÉMONT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,242,239,240,267,NA,130,136,NA,169,NA,165,NA,NA,NA,2
"A994202001 FILSTROFF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,NA,187,NA,292,208,249,230,241,209,208,231,255,200,218,231,NA,NA,NA,NA,NA,2
"A840101001 MOYEUVRE-GRANDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,204,204,186,235,255,239,239,208,NA,NA,NA,NA,1
"A807101001 BONCOURT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,327,268,239,206,203,308,158,290,268,259,208,NA,NA,NA,NA,2
"A832201001 BRIEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,110,104,NA,241,163,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A443064001 ÉPINAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,184,124,135,127,163,124,NA,162,136,168,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"A673122001 GERBÉVILLER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,270,NA,154,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"A543101001 PULLIGNY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,223,220,NA,NA,211,NA,186,NA,NA,NA,NA,NA,192,198,234,174,NA,NA,NA,NA,NA,3
"A843101001 ROSSELANGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,154,193,125,179,206,204,NA,NA,159,255,184,198,188,165,NA,NA,NA,1
