"","2","3","4","5","6","7","8","9","10","11","12","13","Number_clusters","Best_val"
"frey",0.238,12.5609,2.1252,4.7084,-6.1703,-2.3202,-0.286,-0.1108,0.2697,-0.0157,0.0509,0.075,1,NA
"mcclain",0.074,0.1564,0.2517,0.3584,0.4806,0.623,0.7897,2.2381,3.723,3.9822,6.0285,6.5939,2,0.074
"silhouette",0.0705,0.069,0.0723,0.0956,0.1222,0.1438,0.1664,0.2065,0.2464,0.2725,0.3191,0.3464,13,0.3464
"dunn",0.7115,0.6602,0.6457,0.6189,0.6098,0.6007,0.5967,0.5877,0.6413,0.6343,0.6295,0.6627,2,0.7115
