"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",2.9877,0.1935,-0.0587,0.1245,0.0172,0.2954,0.0375,0.0906,0.1929,0.1988,0.0765,2,2.9877
"mcclain",0.5574,1.7957,2.2042,2.567,3.1387,3.2362,4.9611,5.2865,5.5659,6.1248,8.4058,2,0.5574
"silhouette",0.2094,0.0986,0.0933,0.128,0.1413,0.1889,0.2215,0.2645,0.3051,0.3313,0.3391,12,0.3391
"dunn",0.3786,0.3798,0.3993,0.4432,0.4496,0.4553,0.4906,0.5818,0.5928,0.5985,0.6177,12,0.6177
