"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",0.2756,-0.0425,21.9629,0.479,0.0268,0.153,0.16,-0.005,0.0264,0.2091,0.0843,1,NA
"mcclain",0.6104,1.7686,2.1197,2.5981,4.4389,5.0066,6.9254,7.9184,8.3196,8.8479,10.6342,2,0.6104
"silhouette",0.1464,0.1349,0.144,0.1341,0.126,0.1339,0.1368,0.1576,0.2027,0.2421,0.2492,12,0.2492
"dunn",0.5268,0.4539,0.5483,0.5483,0.5483,0.5676,0.5676,0.5676,0.6378,0.6816,0.6816,11,0.6816
