A052055001
A270011001
H030101001
Y203002002
J780302010
K011403001
B422431001
A634101002
M112481002
L240403001
L621000402
V445501001
H247301001
J382181001
N430062101
H513062010
H325041010
K269821001
K732261001
A631101003
U272201001
J510221001
K132181010
K544000201
B460101001
M035401010
V542401001
K223402001
H402203001
H310041010
L252301001
M121301301
M501421020
R301001001
Y136401001
U120401001
H703301001
B532201001
Y153521001
U105401001
W240501001
K487312001
H770201001
U050401001
L014061001
H032103001
U203505002
M036151010
E640754001
U256502001
A994202001
H437042010
J481301001
K118001011
U103541001
K536322001
U452521001
B720000001
Y145201001
A443064001
R616461001
A973121001
V414521001
N401061001
J401401001
B110000001
Y230002001
K514311001
H511904010
A664031001
B115001001
K277312001
K054301001
K217302001
K612311010
K555230001
P540401001
K640252001
K144001010
H751303001
K428000301
U201201001
U235661001
K275303001
H612043010
L001061001
U133401001
J750061001
K650091001
U301401001
K209081001
L100401001
R002001002
K075321001
U321401001
U061001001
M042481010
A133043201
H502301301
K619242001
U122402001
R002001001
L720061001
L410071001
H702101001
M058302010
K485300001
K276311001
L473071001
A735201001
K213401001
Y044501001
L473072001
K633252001
K046301002
H432021010
P413501001
P159251001
J709063002
M720302010
H241201001
K508301001
U242507001
U111503001
K338201003
K222601001
K473000101
Y123201002
H610041010
K721751001
K633401001
N011301010
K177301001
U254052001
H207311001
L632000201
A802101001
Y331001001
I202101001
L094061001
K207502001
U131401001
Y143541001
A840101001
R025001001
V503502201
H311041010
V201201001
K720751001
H632101101
L061402001
G210061301
R508000501
U203505001
U141581001
E635142002
S011401003
B134001002
K721751201
P163001001
R512331003
A242020001
K557410001
B403101001
M521401020
H218201001
U348531001
H403021010
H438021010
R108001001
U262401001
M033000101
K447001001
R103001001
L081301001
L621000601
K338201001
M111401010
K141401001
B435201001
K648251001
B457201001
U200201001
U002001001
P620251001
A523011001
K548092010
B413201001
M340301010
H403301001
H425042010
H416021010
H010001001
L012303001
U260406001
M005061020
L580181001
L320062001
K228311002
K492000201
K722261011
U107402001
