"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",5.2273,0.6193,57.1122,0.3481,0.7947,-1.1217,0.0181,-0.5568,0.0743,0.1182,0.0246,2,5.2273
"mcclain",0.0715,0.1579,0.2522,0.3746,1.3842,1.5962,1.7804,3.631,3.7475,4.3036,5.2156,2,0.0715
"silhouette",0.1996,0.1152,0.1372,0.0984,0.1655,0.2031,0.2073,0.2957,0.3378,0.37,0.4036,12,0.4036
"dunn",0.6452,0.5819,0.5775,0.4757,0.4993,0.4746,0.4671,0.5333,0.4894,0.4871,0.4802,2,0.6452
