"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",0.2054,0.1106,0.1097,0.2261,0.3293,0.2737,0.2287,0.1976,0.2713,0.1884,0.156,1,NA
"mcclain",0.6104,1.3962,1.5005,2.294,2.3278,2.3996,3.6109,3.7546,4.2449,4.4404,5.997,2,0.6104
"silhouette",0.1464,0.1312,0.1235,0.1411,0.1853,0.2159,0.2368,0.2779,0.2978,0.32,0.3307,12,0.3307
"dunn",0.5268,0.5169,0.5169,0.5886,0.5886,0.5886,0.5886,0.5886,0.5908,0.5908,0.6342,12,0.6342
