noct,cdatedeb,cdatefin
552859,"01/01/19 00:00:00","11/23/19 16:25:00"
554215,"01/01/19 00:00:00","01/01/30 00:00:00"
554218,"01/01/19 00:00:00","11/23/19 16:25:00"
555529,"01/01/19 00:00:00","01/01/30 00:00:00"
555532,"01/01/19 00:00:00","11/23/19 16:25:00"
556860,"01/01/19 00:00:00","01/01/30 00:00:00"
556863,"01/01/19 00:00:00","11/23/19 16:25:00"
558181,"01/01/19 00:00:00","01/01/30 00:00:00"
558184,"01/01/19 00:00:00","11/23/19 16:25:00"
559514,"01/01/19 00:00:00","01/01/30 00:00:00"
559517,"01/01/19 00:00:00","11/23/19 16:25:00"
560830,"01/01/19 00:00:00","01/01/30 00:00:00"
560833,"01/01/19 00:00:00","11/23/19 16:25:00"
562175,"01/01/19 00:00:00","01/01/30 00:00:00"
562178,"01/01/19 00:00:00","11/23/19 16:25:00"
563503,"01/01/19 00:00:00","01/01/30 00:00:00"
563506,"01/01/19 00:00:00","11/23/19 16:25:00"
564839,"01/01/19 00:00:00","01/01/30 00:00:00"
564842,"01/01/19 00:00:00","11/23/19 16:25:00"
566167,"01/01/19 00:00:00","01/01/30 00:00:00"
566170,"01/01/19 00:00:00","11/23/19 16:25:00"
567512,"01/01/19 00:00:00","01/01/30 00:00:00"
567514,"01/01/19 00:00:00","11/23/19 16:25:00"
568852,"01/01/19 00:00:00","01/01/30 00:00:00"
568854,"01/01/19 00:00:00","11/23/19 16:25:00"
570193,"01/01/19 00:00:00","01/01/30 00:00:00"
570195,"01/01/19 00:00:00","11/23/19 16:25:00"
570317,"02/01/20 00:00:00","03/01/20 00:00:00"
571620,"01/01/19 00:00:00","01/01/30 00:00:00"
571622,"01/01/19 00:00:00","11/23/19 16:25:00"
572966,"01/01/19 00:00:00","01/01/30 00:00:00"
572968,"01/01/19 00:00:00","11/23/19 16:25:00"
574320,"01/01/19 00:00:00","01/01/30 00:00:00"
574322,"01/01/19 00:00:00","11/23/19 16:25:00"
575682,"01/01/19 00:00:00","01/01/30 00:00:00"
