nogest,nomgest,numsandre,boite,ensemble,rue,lieudit,ville,codepostal,nomcontact
"100000","FORMATION IFORE","100",,,,,,,
"117200","DREAL Bourgogne","117",,,,,,,
"117210","DIREN-SEMA Bourgogne","117",,"le richelieu","10 Bd CARNOT",,"21000","DIJON",
"118631","DIREN AUVERGNE-SEMACE","118",,,,,,,
"119690","DREAL Rhone-Alpes","119",,,,,,,
"430450","DREAL-CENTRE - SHPEC - DHMD","430","BP 6407",,"Av Buffon",,"Orleans","45064",
