numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
229297,185,"05/01/13 13:38:00",,"2","21","Détarage à la cote 1.48 m  persistence ou non d'une voie d'eau dans le seuil ?",,"07/09/15 10:24:00","07/09/15 10:23:00"
229298,185,"06/12/20 12:00:00",,"5","50","Modification de la  hauteur max de la crue suite au levé des laisses (envrion 1.70m) : 1.785 au lieu de 1.95m (calé avec les sauts capteur)",,"07/01/20 17:08:00","07/01/20 17:05:00"
229299,185,"08/21/18 10:05:00",,"2","24","Passage d'eau en rive droite comblé et influence de Qrev ensuite",,"01/11/21 15:45:00","01/11/21 15:44:00"
229300,317,"11/15/00 00:00:00",,"5","50","Transfert de la station de la DIREN de Bassin Loire-Bretagne à SEMA Lyon Département",,,
229301,317,"12/14/00 14:00:00",,"3","30","Installation d'un codeur-enregistreur OTT Thalimèdes avec flotteur, et d'un Modem Eurocom pour la télétransmission.",,,
229302,317,"07/18/95 05:19:00","10/15/95 12:28:00","1","10","Hauteurs douteuses.Sur le limni papier,problèmes de retournements,mauvais calages,estimations.Impossible à rectifier de façon certaine.Hauteurs supprimées sur Hydro.",,,
229303,317,"10/24/00 00:00:00","10/30/00 00:00:00","1","12","Problème de stylet (limni papier loire Bretagne).",,,
229304,317,"12/14/00 14:30:00",,"3","30","Début de la télétransmission.
",,,
229305,317,"01/07/19 17:00:00","01/09/19 10:20:00","1","12","Batterie faible pas de données disponibles sur cette période.
En l'absence de précipitations ou fontes nivales (période courte et stable), les hauteurs ont été reconstitués bonne par interpolation linéaire.","01/24/19 15:27:00","01/24/19 15:28:00","01/24/19 15:27:00"
229306,317,"05/21/22 00:00:00","05/24/22 00:00:00","1","11","Absence données 21-24 mai 2022 dysfonctionnement LNS aprés mise à jour firmware.
Séquence stable reconstitution des hauteurs sur la base des 3 jours précdents.",,"06/07/22 10:54:00","06/07/22 10:54:00"
229307,317,"08/14/23 16:00:00","08/17/23 09:30:00","1","12","Absence de données entre le 14 et 17 aout suite à une action de vendalisme coté riviére cablage panneau solaire arraché.Reconstitution sur une période stable en se basant sur l'évolution des débits sur les Cotes et Boen. ",,"09/01/23 13:34:00","09/01/23 13:34:00"
229308,317,"02/16/23 15:00:00","02/17/23 08:00:00","4","42","Problème TBR transmission données déportées vers LNS.Reconstitution Ht bonnes sur séquence stable hydrologique et en l'absence de manoeuvres micro-centrale sur la période",,"02/19/24 10:46:00","02/19/24 10:46:00"
229309,317,"04/21/23 23:00:00","04/24/23 06:00:00","4","42","Panne TBR (chgt matériel) données déportées capteur vers LNS.Reconstitution Bonne des Ht sur une séquence stable météo et période sans manoeuvre micro-centrale.",,"02/19/24 11:23:00","02/19/24 11:23:00"
229310,317,"07/26/23 12:00:00","07/27/23 09:00:00","4","42","Chgt antenne TBR.Reconstitution des ht bonne séquence météo stable",,"02/19/24 11:36:00","02/19/24 11:36:00"
229311,317,"08/14/23 17:00:00","08/17/23 09:30:00","1","12","Plantage transmission radio.Traitement des données sur la séquence via la collecte direct sur la LNS lors passage terrain maintenance.",,"02/19/24 11:45:00","02/19/24 11:45:00"
229312,318,"01/01/72 00:00:00",,"5","50","Mise en route de la station.Mais limnis depuis le 29/06/1970 à 12:00,et jaugeages depuis le 09/07/1970.",,,
229313,318,"11/15/00 00:00:00",,"5","50","Transfert de la station de la DIREN de Bassin Loire-Bretagne à SEMA Lyon Département",,,
229314,318,"01/30/01 14:00:00",,"3","30","Installation d'un codeur-enregistreur OTT Thalimèdes avec flotteur, et d'un Modem Eurocom pour la télétransmission à la place d'un Newlog de la DIREN de Bassin Loire-Bretagne.",,,
229315,318,"07/13/92 19:22:00","07/28/92 16:12:00","1","17","Cabine détériorée par un camion ,stylet sauté.",,,
229316,318,"05/29/93 20:00:00","06/09/93 08:16:00","1","11",,,,
229317,318,"06/15/01 00:00:00","06/26/01 11:30:00","1","11","Batterie de la centrale Thalimèdes descendue à 8,99V.",,,
229318,318,"01/12/02 00:00:00","01/23/02 11:35:00","1","11","Panne sur la centrale Nimbus.",,,
229319,318,"01/12/02 00:00:00","01/23/02 11:35:00","4","42","Références: Lignon du Forez à Boën et l' Aix à St Germain Laval.",,,
