noct,nopt,a,b,h0,hsup
9888,2,9.431000000000001e-16,4.9825,-838,746
9888,3,0.0007438,1.5926,399,1059
9888,4,5.824e-12,3.9102,-608,1281
9888,5,5.762e-13,4.2668,-446,1929
9888,6,0.001362,1.6997,1016,2507
9944,1,0,0,0,3
9944,2,2.411e-07,2.3358,3,200
9944,3,5.116e-05,1.3966,52,300
9944,4,8.694e-10,2.9775,-232,398
9944,5,1.543e-05,1.6509,101,503
9944,6,7.242e-17,5,-828,597
9944,7,5.998e-06,1.7833,73,699
9944,8,8.5e-17,4.9825,-808,803
9944,9,1.436e-16,4.9825,-648,852
9944,10,2.012e-16,4.9825,-549,902
9944,11,1.363e-16,5,-628,999
9944,12,0.0008132,1.3614,742,1404
9944,13,0.005069,1.1454,948,1600
9944,14,4.153e-17,4.9825,-1380,1801
9944,15,2.127e-17,4.9572,-1993,1996
9944,16,0.0001809,1.5783,689,2496
9944,17,0.02716,0.9747,1397,2854
9945,1,0,0,0,3
9945,2,1.584e-06,1.9239,2,200
9945,3,1.817e-16,5,-545,300
9945,4,9.422999999999999e-16,5,-308,400
9945,5,1.047e-16,5,-699,500
9945,6,6.557e-17,5,-816,600
9945,7,5.346e-17,5,-875,700
9945,8,0.04408,0.5407,605,800
9945,9,0.01134,0.8275,638,852
9945,10,2.012e-16,4.9825,-549,900
9945,11,1.72e-16,4.9825,-596,1000
9945,12,0.0008228000000000001,1.3598,743,1404
9945,13,0.005069,1.1454,948,1600
9945,14,4.153e-17,4.9825,-1380,1801
9945,15,2.127e-17,4.9572,-1993,2000
9945,16,0.0001809,1.5783,689,2500
9945,17,0.02716,0.9747,1397,2854
9953,1,0,0,0,0
9953,2,3.5e-05,1.6805,0,99
9953,3,7.726e-05,1.5514,12,505
9953,4,0.001735,1.1505,220,1006
9953,5,6.841e-05,1.5927,66,1754
9953,6,1.27e-18,4.9825,-4378,1995
9953,7,1.639e-08,2.5919,-593,2503
9953,8,5.912e-08,2.4618,-309,3004
9953,9,3.386e-18,4.9825,-3232,3118
9957,1,0,0,0,107
9957,2,0.0005398,0.9444,107,129
9957,3,0.0003098,1.2208,112,153
9957,4,0.008787,0.5004999999999999,142,166
9957,5,0.01149,0.5175999999999999,153,184
9957,6,0.01476,0.5006,162,196
9957,7,0.003689,0.8341,152,220
9957,8,1.568e-14,4.9825,-169,244
9957,9,1.524e-14,5,-163,269
9957,10,0.0008064,1.256,179,315
9957,11,1.615e-05,1.9102,119,415
9957,12,3.954e-13,4.3672,-252,531
9957,13,0.006302,1.068,342,2203
9961,1,0,0,0,188
9961,2,0.01578,1.0828,177,189
9961,3,0.02002,1.0587,189,1500
9962,1,0,0,0,-215
9962,2,0.009788,1.0801,-217,-141
9962,3,0.003676,1.256,-232,-57
9962,4,0.004265,1.2203,-237,39
9962,5,0.103,0.7286,-116,127
9962,6,0.009988,1.0757,-236,428
9962,7,0.00422,1.1857,-321,1949
9963,1,0,0,0,119
9963,2,7.764999999999999e-06,1.8888,118,2045
9964,1,0,0,0,129
9964,2,2.073e-07,2.4513,128,149
9964,3,6.858e-06,1.9189,149,150
9964,4,7.931000000000001e-06,1.8862,139,2000
9965,1,0,0,0,50
9965,2,2.327e-05,1.7833,24,611
9965,3,0.006968,1.0098,337,920
9966,1,0,0,0,19
9966,2,2.31e-06,2.1383,19,1000
9967,1,0,0,0,500
9967,2,0.02193,0.7286,383,557
9967,3,1.222e-06,2.2051,90,644
9967,4,0.0001408,1.5482,267,1000
9968,1,0,0,0,500
9968,2,6.284e-08,2.5816,-51,900
9969,1,0,0,0,89
9969,2,4.824e-08,2.7857,89,191
9969,3,6.92e-06,1.9942,138,377
9969,4,0.000621,1.2911,232,789
9969,5,5.757e-17,5,-1281,903
9969,6,0.07393,0.6583,646,1000
16191,1,0,0,0,0
16191,2,2.025e-06,2.0294,-42,227
16191,3,4.375e-11,3.6466,-201,395
16191,4,6.606e-05,1.6426,144,1000
9970,1,0,0,0,200
9970,2,5.773e-05,1.6672,179,1000
9971,1,0,0,0,400
9971,2,3.385e-07,2.5386,354,1200
9972,1,0,0,0,300
9972,2,1.471e-11,4.0859,132,587
9972,3,7.183e-06,2.0997,296,2000
9973,1,0,0,0,100
9973,2,5.305e-08,2.6622,48,706
