noliste,nomliste
87,"moselle-amont"
151,"moselle-madon"
152,"meurthe"
153,"mortagne-vezouze"
154,"moselle-aval"
155,"seilles+nieds"
156,"orne"
157,"meuse-amont"
158,"meuse-médiane"
159,"chiers"
160,"meuse-aval"
