numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
93,9,"06/03/04 00:00:00",,"5","50","En dessous de 50 m3/s, la station est non univoque par les manoeuvres du barrage des 4 cheminées situé en aval.
A partir du 03/06/04, les débits < à 50 m3/s seront calculés à partir de la station Chooz ""Trou du Diable""située en amont de la prise d'eau de la Centrale EDF. Pour info, ces débits ne sont pas diminués du débit évaporé par les aéroréfrigérants de la centrale.",,"06/22/04 13:05:00","06/22/04 10:06:00"
94,156,"04/21/04 00:00:00",,"5","50","Cette station ne prend pas en compte le débit évaporé par les aéroréfrigérants de la centrale.",,"06/22/04 13:04:00","06/22/04 13:04:00"
95,22,"08/23/03 00:00:00",,"5","50","Du 23/08/2003 jusqu'au 08/01/2004, les données sont considérées ESTIME sur DP. Il ya probablement un problème d'envasement du puits de la station après concertation avec Philipe et Denis : le limni est souvent plat à la côte 0,48cm mais aussi à la côte 0,28cm ? Exemple: le 08/01/2004 à 10h55, la lecture à l'échelle est de 0,38cm alors que le limni enregistre 0,48cm. (GEREEA-Abdou).",,"12/02/04 10:10:00","11/26/04 12:06:00"
96,31,"10/07/03 00:00:00","11/03/03 00:00:00","5","50","correction des Y ",,"11/26/04 17:06:00","11/26/04 17:06:00"
97,31,"02/23/04 00:00:00","05/17/04 00:00:00","5","50","date de début et de fin de limni le 22/03/2004
doute sur la lecture d'échelle 1.61 corrigé par 1.51 le 22/03/2004
doute sur la lecture d'echelle le 17/05/2004 (0.92 corrigé par 0.96)",,"11/26/04 17:12:00","11/26/04 17:12:00"
98,80,"12/22/03 00:00:00",,"5","50","2 hauteurs différentes figurent souvent sur les limnis ( h Echelle et h Limni). La différence peut atteindre parfois 10cm? Selon l'équipe CDH, la station ne présente aucune anomalie lors du passage des jaugeurs, c'est peut être un problème de lecture d'échelle de la part d l'observateur (GEREEA). Les limnis sont digitalisés sans modifications.",,"11/29/04 11:42:00","11/29/04 11:40:00"
99,26,"12/06/04 00:00:00",,"5","50","pas de courbe de tarage? Hydro ne calcule pas les débits.",,"12/06/04 10:31:00","12/06/04 10:31:00"
100,50,"10/09/04 00:00:00",,"2","24","entre le 06/10/04 et le 09/10/04, pose d'enrochements 100 m aval station occasionnant un élévation du plan d'eau de 20 cms environ ",,"04/08/05 14:39:00","01/19/05 16:05:00"
103,143,"06/11/04 00:00:00","06/15/04 00:00:00","5","50","lacune du 11 au 15 juin 2004
lacune du 17 au 19 juillet 2004",,"11/30/04 16:41:00","11/30/04 16:41:00"
104,21,"08/01/04 00:00:00",,"5","50","station constamment en décalage (hauteur) en aout 2004. Décalages corrigés en fonction des lectures à l'échelle",,"12/01/04 10:07:00","11/30/04 18:07:00"
105,21,"10/22/04 00:00:00",,"5","50","décalage de la station mais pas d'observation sur suivi réseau. Attendre pour correction?",,"05/14/07 14:54:00","12/01/04 10:07:00"
106,21,"10/18/04 00:00:00",,"5","50","petit decalage de 4cm corrigé.",,"12/01/04 10:10:00","12/01/04 10:10:00"
107,21,"07/23/04 00:00:00","07/26/04 00:00:00","5","50","lacunes",,"12/01/04 10:13:00","12/01/04 10:13:00"
108,21,"08/11/04 00:00:00","08/30/04 00:00:00","5","50","modifier hauteur minimum de la courbe de tarage (<5 cm)",,"12/01/04 10:23:00","12/01/04 10:22:00"
109,61,"02/02/04 00:00:00","09/14/04 00:00:00","5","50","dérive de l'horloge.
Digitalisé tel quel",,"12/01/04 16:27:00","12/01/04 16:27:00"
110,73,"12/18/03 00:00:00",,"5","50","Lacune du 15/11/2003 au 18/12/2003
Lacune du 21/01/2004 au 23/01/2004
Lacune du 25/02/2004 au 21/03/2004
Lacune du 28/04/2004 au 29/05/2004 (GEREEA Abdou)",,"12/03/04 11:27:00","12/02/04 12:26:00"
111,33,"10/06/04 00:00:00",,"5","50","Erreur de lecture d'echelle : 0,81cm au lieu de 0,85cm sur limni (Abdou GEREEA et J. luc DIREN). Le limni est digitalisé sans changement.",,"12/06/04 11:05:00","12/06/04 11:05:00"
112,88,"04/05/03 00:00:00",,"5","50","Lacune du 05/04/2003 au 08/05/2003
Lacune du 24/11/2003 au 30/12/2003
 (Abdou  GEREEA)",,"12/09/04 09:33:00","12/07/04 11:25:00"
113,24,"10/20/03 00:00:00","02/23/04 00:00:00","5","50","Période lacune (problème horloge)
du 07/11/2003 au 25/11/2003
du 20/12/2003 au 12/01/2004
du 30/01/2004 au 10/02/2004",,"12/08/04 16:18:00","12/08/04 16:18:00"
114,4,"12/07/01 00:00:00",,"2","24","A partir du 07/12/01, des buses de décharge ont été placées en RD du pont de la station (au droit des échelles), dérivant une partie de la Sormonne en crue. Cette nouvelle dérivation influence la relation H/Q. A partir de cette date les débits supérieurs à 2.00 m restent provisoires en attendant de nouveaux jaugeages pour modifier les courbes de tarage.",,"04/15/05 11:02:00","04/07/05 17:27:00"
115,137,"03/31/05 00:00:00",,"5","50","Renseignements pris auprès d'un octoctone, le ruisseau l'Abreuvoir serait une résurgence de la meuse et du mouzon constaté aprés introduction de fluorescine à Bazoilles.
Le ruisseau l'Abreuvoir n'est pas pris en compte par la station.",,"02/06/06 12:11:00","04/07/05 19:15:00"
116,14,"12/16/04 13:06:00",,"2","26","modification de la ct suite à jaugeage du 18/05/2005",,"05/25/05 13:54:00","05/25/05 13:54:00"
117,139,"08/16/04 00:00:00",,"2","24","Du 16/08/04 au 27/08/04 (à confirmer) des travaux de réhaussement sur le seuil situé à 3 km en aval des échelles ont été réalisés afin de garantir un tirant d'eau d'1.80 m pour les bateaux. Le niveau du plan d'eau a augmenté après contrôle sur brts de 40 cms environ.
En deça de 2.40 m environ (à confirmer) le seuil étant hors d'eau, la relation h/q n'est plus univoque. 
Création courbe de tarage D12",,"06/23/06 09:11:00","08/23/05 16:32:00"
118,130,"09/26/05 00:00:00","10/10/05 00:00:00","5","50","Du 26/09/2005 au 10/10/2005, échelle hors d'eau car chômage canal Meuse ",,"01/08/08 10:19:00","11/09/05 11:33:00"
119,91,"11/15/05 15:00:00",,"2","24","L'échelle est sous influence d'un barrage pirate en pierres mais pourrait aussi être influencé (aprés recherche sur site le 15/11/2005) par de vieux vannages toujours en service situés dans village aval à Landzécourt",,"12/23/05 10:09:00","12/01/05 14:57:00"
120,62,"10/18/05 10:31:00","11/09/05 09:57:00","4","42","niveau d'eau artificiellement remonté par une retenue lors de travaux sur un égout au pied de l'appareil",,"12/20/05 15:45:00","12/20/05 15:45:00"
121,130,"09/15/06 00:00:00","10/05/06 00:00:00","1","17","Arrêts pour travaux de chômages",,"11/09/06 15:37:00","11/09/06 15:37:00"
122,26,"09/15/06 00:00:00","10/05/06 00:00:00","1","17","Arrêts pour travaux de chômages",,"02/22/07 12:52:00","02/22/07 12:51:00"
123,21,"04/16/07 00:00:00",,"5","50","courriel envoyé le 16/04/07 à P. PERRIN : batillages importants + décalages + abs de données + modification du lit signalé par les jaugeurs : cela fait beaucoup pour continuer à valider cette station dans hydro et vigiecrues
Réponse de P. PERRIN : vu avec JLMD nous allons mettre en place un enrochement à l'amont de l'echelle pour permettre un écoulement plus uniforme au droit de l'échelle
",,"05/14/07 15:49:00","05/14/07 15:15:00"
124,130,"12/18/07 00:00:00","01/05/08 00:00:00","1","17","Capteur hors d'eau suite aux crues de décembre 2007 qui ont provoquées une rupture du pertuis du Barrage des Dames de Meuse.",,"04/02/08 12:14:00","01/08/08 10:24:00"
125,91,"09/24/07 00:00:00",,"2","20","le 24/09/2007, remplacement de l'échelle inclinée de 2 m par deux échelles verticales sur rail placées au droit des échelles de crue.
Pour info : après nivellement, l'échelle inclinée était mal positionnée et présentait dans sa partie basse un décalage de plus 7 cm par rapport à son extrémité haute. 

",,"03/04/08 09:33:00","03/04/08 09:26:00"
126,26,"06/23/07 00:00:00","09/27/07 00:00:00","1","16","Du 23/06/2007 au 27/09/2007 abs de données car station detruite par un véhicule",,"04/21/08 11:42:00","04/21/08 11:42:00"
127,9,"09/29/08 00:00:00",,"5","50","Renseignement pris, l'augmentation du débit à Chooz trou du diable en cette période de très faibles pluies est du au chômage du canal (NNE vide les biefs amont pour faciliter l'entretien du canal) ; il s'en suit une augmentation ponctuelle du débit de la Meuse enregistré à Chooz.
A partir du 26 ou 27 Octobre, nous enregistrerons le phénomène inverse : NNE   devra remplir ses biefs pour retrouver la cote de navigation (prévue le 30/10), et le débit mesuré à Chooz chutera ; il faudra être vigilant, si dans le même temps, nous subissons un étiage important ; à suivre ; je préviens Pascal qui sera C1 de semaine, et JLC  lui aussi C1 la semaine suivante",,"10/02/08 15:59:00","10/02/08 15:59:00"
128,156,"10/14/08 00:00:00",,"2","24","EDF pour une raison obscure va ""tapisser"" le fond de la Meuse juste en amont de la station ""Chooz trou du diable"" par de gros enrochements ; il est possible qu'à cette occasion, la CT soit (un peu) modifiée.
 
Aussi, il importe de prévoir au moins un jaugeage fin Octobre à Chooz pour tester ces nouvelles conditions d'écoulement ; plus tard encore, NNE réalisera un important curage de la rivière dans la traversée de Givet : cette fois, il est certain que la CT de Chooz Graviat en subira les conséquences ; pour Chooz trou du diable, on devrait rester protégé par le seuil fixe, mais on ne sait jamais ; quoi qu'il en soit, il faudra vérifier les deux CT courant 2009 avec un rythme plus soutenu qu'en 2008, surtout si des décalages apparaissent.
 
",,"10/14/08 15:14:00","10/14/08 15:14:00"
129,152,"09/28/08 00:00:00",,"2","24","Du 28/09/08 au 30/10/08 abaissement du bief car chômage sur le canal",,"03/31/09 15:16:00","03/31/09 15:15:00"
130,35,"10/14/09 00:00:00",,"5","50","De grandes quantités de remblais ont été stockées sur les atterrissements dans le lit de la Moselle. En basses eaux, l'influence est minime, mais les prochaines crues seront influencées notablement par ces dépôts.",,"10/14/09 10:17:00","10/14/09 10:16:00"
132,155,"05/06/10 00:00:00",,"5","50","CT n° D10a-tqe : en dessous de 1.00 m, les débits ne sont pas calculés car  fortement influencés en étiage où une partie de la Chiers qui transite par la micro-centrale n'est pas prise en compte par la station.
Au-delà de 1.00 m la ct tient compte du canal.",,"05/06/10 13:43:00","05/06/10 13:43:00"
133,202,"05/09/10 00:00:00",,"5","50","la station de Belmont sur Vair a été volée ce dimanche 09 mai 2010 entre 01h et 7h.
",,"05/11/10 13:59:00","05/11/10 13:58:00"
134,133,"01/01/03 00:00:00",,"2","26","CT 28b créée suite au jaugeage n° 80 : milieu de ct modifiée",,"02/03/04 14:35:00","02/03/04 12:41:00"
135,133,"04/01/10 00:00:00",,"5","50","CT n°D30 : en dessous de 0.75 m, les débits ne sont pas calculés car  une partie de la Meuse qui transite par le canal n'est pas pris en compte par la station.
Les jaugeages douteux représentent  les mesures sans le canal pour les cyclos et avec le canal pour les perches.
L'extrapolation haute a été établie avec la CT modélisation BCEOM.",,"05/06/10 11:39:00","05/06/10 11:39:00"
136,27,"03/11/16 00:00:00",,"2","26","Modification CT D31a et D32d-hbe par un léger abaissement de la courbe entre 25 et 45 cm suite au jaugeage 315 et après contrôle des jaugeages à proximté identifiés comme des cyclo qui semblent surestimer le debit à cette hauteur.
Cette constatation est recurente pour des jaugeages effectués à la limite des PI et Cyclo.
A controler lors d'une prochaine etude pour confirmer.",,"03/11/16 17:43:00","03/11/16 17:42:00"
137,134,"09/14/15 00:00:00",,"2","24","Le 14/09/2015, Gestion hydro constate la construction d'un nouveau seuil en aval des échelles modifiant la relation H/T",,"03/16/16 14:20:00","03/16/16 14:20:00"
138,134,"03/16/16 00:00:00",,"2","22","Nouvelle CT D20-hbe prenant en compte la construction du barrage en pierres effectué sans doute pour remplir la citerne du cultivateur.",,"03/16/16 14:26:00","03/16/16 14:22:00"
139,85,"03/16/16 00:00:00",,"2","26","Nouvelle CT D20d-hbe. Les jaugeages depuis plus d'un an étaient supérieurs à la courbe de plus de 10% avec une mise à jour générale ds correctifs
",,"03/16/16 16:59:00","03/16/16 16:57:00"
140,202,"03/24/16 00:00:00",,"2","26","Réactualisation de toutes les CT et mises à jour de tous les correctifs avec verification des HT sur Grapyte.
Le seuil de contrôle situé 15 m à l'aval des échelles est instable soit par l'érosion des berges suite aux crues soit par le rajout de pierres par les autocthones. ",,"03/24/16 18:24:00","03/24/16 18:24:00"
141,321,"06/21/16 00:00:00",,"2","26","Paramétrage des deux corde avec un coefficient de 0,8 compte tenu des écarts avec les jaugeages depuis le printemps 2015.",,"06/22/16 13:20:00","06/22/16 13:20:00"
142,312,"06/22/16 00:00:00",,"2","26","Création d'une station limnimétrique (A740000102) alimentée par les deux appareils de mesure de hauteur du débitmètre. Pièzo: A74000010201 et radar: A74000010202. Courbe de tarage D1a-Tqe car appliquée compte tenu des jaugeages réalisés. Cette courbe de tarage est la courbe du modèle ""carima"" transmise par le CEREMA et ajustée avec les jaugeages en partie basse. Au départ, tronquée en dessous de 340 cm et au dessus de 760 cm.",,"06/22/16 13:25:00","06/22/16 13:25:00"
143,60,"06/03/16 00:00:00",,"2","22","Crue du 3 au 12 juin en présence d'une végétation importante en lit majeur qui a une influence importante sur la ligne d'eau (cf photos crue 201603 et . Création d'une CT de travail propre à cette crue basée sur le jaugeage réalisé pour calculer les correctifs herbes à appliquer à la CT permanente",,"09/27/17 10:49:00","09/27/17 10:49:00"
