"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",5.7586,-0.0959,3.1144,15.4526,-0.0774,5.3855,0.0485,-0.1081,0.2473,-0.6321,0.0914,2,5.7586
"mcclain",0.0755,0.1639,0.2605,0.3752,0.511,0.6574,1.0386,1.2737,2.8966,4.0375,4.1442,2,0.0755
"silhouette",0.1223,0.0912,0.1231,0.1303,0.1407,0.1778,0.1882,0.2136,0.3091,0.3272,0.3857,12,0.3857
"dunn",0.6526,0.6419,0.5983,0.5917,0.5877,0.574,0.5607,0.5519,0.6455,0.6421,0.6323,2,0.6526
