"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",0.1967,3.6401,-2.6533,-2.1623,-0.1531,1.5975,0.1121,0.0601,0.0774,0.0825,-1.1136,1,NA
"mcclain",0.0787,0.1669,0.5119,0.53,0.5403,1.8538,3.05,3.8303,5.1883,7.2983,8.4298,2,0.0787
"silhouette",0.1238,0.1127,0.0804,0.0724,0.1073,0.1968,0.2136,0.2756,0.2999,0.3291,0.3638,12,0.3638
"dunn",0.6551,0.61,0.5385,0.5298,0.5012,0.5056,0.5008,0.4951,0.554,0.5501,0.5455,2,0.6551
