"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",-0.1693,-4.6025,0.0214,0.0154,-0.0025,0.0953,0.037,0.2475,0.0389,0.0402,0.0633,1,NA
"mcclain",0.8371,1.9408,2.5056,3.3044,4.2167,4.3736,5.2098,6.6076,8.1405,8.9724,9.2872,2,0.8371
"silhouette",0.0587,0.0941,0.0808,0.0833,0.0955,0.1362,0.1449,0.171,0.1825,0.2301,0.3047,12,0.3047
"dunn",0.4765,0.5598,0.5606,0.5636,0.5898,0.5916,0.5967,0.6549,0.6806,0.6992,0.7074,12,0.7074
