"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",0.1921,0.8208,0.9241,0.5099,0.4362,0.4034,0.2979,0.1887,0.1961,0.1641,0.1571,1,NA
"mcclain",0.5574,0.6451,0.662,1.3975,1.4564,2.0691,3.7928,4.0704,5.5659,5.9274,6.5464,2,0.5574
"silhouette",0.2094,0.1951,0.218,0.2134,0.2426,0.2334,0.2512,0.294,0.3051,0.3544,0.3806,12,0.3806
"dunn",0.3786,0.3786,0.3786,0.371,0.371,0.3869,0.3869,0.3869,0.5928,0.5928,0.5985,12,0.5985
