"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",-0.0666,0.2442,0.0173,0.0077,0.3897,0.2184,-0.0071,0.1531,0.1184,0.6614,0.1027,1,NA
"mcclain",0.5648,1.7661,2.5943,3.4657,3.9679,4.8878,5.8121,5.9219,6.7428,8.429,10.603,2,0.5648
"silhouette",0.1147,0.1323,0.1358,0.1734,0.1821,0.1914,0.1958,0.2791,0.2881,0.2882,0.3027,12,0.3027
"dunn",0.443,0.4541,0.4904,0.4904,0.4904,0.5843,0.5843,0.6059,0.6059,0.6059,0.3453,9,0.6059
