noct,ladate
503,"01/07/94 00:00:00"
503,"01/03/94 00:00:00"
503,"03/22/74 00:00:00"
503,"01/24/95 00:00:00"
503,"05/03/01 11:45:00"
504,"01/08/82 00:00:00"
504,"01/07/94 00:00:00"
504,"01/03/94 00:00:00"
504,"01/24/95 00:00:00"
504,"05/03/01 11:45:00"
504,"03/10/99 00:00:00"
506,"01/08/82 00:00:00"
506,"01/07/94 00:00:00"
506,"01/03/94 00:00:00"
506,"03/22/74 00:00:00"
10824,"10/18/24 09:22:00"
506,"01/24/95 00:00:00"
506,"05/03/01 11:45:00"
506,"01/26/78 00:00:00"
506,"02/25/70 00:00:00"
506,"02/11/88 00:00:00"
506,"02/10/77 00:00:00"
508,"05/03/01 11:45:00"
508,"11/30/00 15:00:00"
508,"02/21/02 10:30:00"
514,"01/24/95 00:00:00"
514,"05/03/01 11:45:00"
514,"01/26/78 00:00:00"
514,"02/25/70 00:00:00"
514,"02/11/88 00:00:00"
514,"02/10/77 00:00:00"
514,"01/08/82 00:00:00"
514,"01/07/94 00:00:00"
514,"01/03/94 00:00:00"
514,"03/22/74 00:00:00"
515,"01/08/82 00:00:00"
515,"01/07/94 00:00:00"
515,"01/03/94 00:00:00"
515,"03/22/74 00:00:00"
515,"01/24/95 00:00:00"
515,"05/03/01 11:45:00"
515,"01/26/78 00:00:00"
515,"02/25/70 00:00:00"
515,"02/11/88 00:00:00"
515,"02/10/77 00:00:00"
516,"01/03/94 00:00:00"
516,"03/22/74 00:00:00"
516,"01/24/95 00:00:00"
516,"05/03/01 11:45:00"
516,"01/26/78 00:00:00"
516,"02/25/70 00:00:00"
516,"02/10/77 00:00:00"
516,"01/08/82 00:00:00"
516,"01/07/94 00:00:00"
517,"01/08/82 00:00:00"
517,"01/07/94 00:00:00"
517,"01/03/94 00:00:00"
517,"03/22/74 00:00:00"
517,"01/24/95 00:00:00"
517,"05/03/01 11:45:00"
517,"01/26/78 00:00:00"
517,"02/25/70 00:00:00"
517,"02/11/88 00:00:00"
517,"02/10/77 00:00:00"
518,"01/08/82 00:00:00"
518,"01/07/94 00:00:00"
518,"01/03/94 00:00:00"
518,"03/22/74 00:00:00"
518,"01/24/95 00:00:00"
518,"05/03/01 11:45:00"
518,"01/26/78 00:00:00"
518,"02/25/70 00:00:00"
518,"02/11/88 00:00:00"
518,"02/10/77 00:00:00"
519,"01/08/82 00:00:00"
519,"01/07/94 00:00:00"
519,"01/03/94 00:00:00"
519,"03/22/74 00:00:00"
519,"01/24/95 00:00:00"
519,"05/03/01 11:45:00"
519,"01/26/78 00:00:00"
519,"02/25/70 00:00:00"
519,"02/11/88 00:00:00"
519,"02/10/77 00:00:00"
528,"01/08/82 00:00:00"
528,"01/07/94 00:00:00"
528,"01/03/94 00:00:00"
528,"03/22/74 00:00:00"
528,"01/24/95 00:00:00"
528,"05/03/01 11:45:00"
528,"01/26/78 00:00:00"
528,"02/25/70 00:00:00"
528,"02/11/88 00:00:00"
