noliste,nosta
2,35
2,34
1,143
1,127
1,157
1,123
1,62
1,104
1,138
1,63
1,145
1,109
1,110
1,129
1,77
1,40
1,134
1,91
1,67
1,128
1,66
1,12
1,126
1,79
1,86
1,9
1,70
1,149
1,148
1,95
1,6
1,68
1,98
1,90
1,140
1,135
1,103
1,130
1,56
1,105
1,101
1,142
1,118
1,100
1,33
1,10
1,72
1,37
1,71
1,152
1,54
1,111
1,119
1,117
1,13
1,69
1,96
1,94
1,124
1,39
1,5
1,50
1,61
1,44
1,115
1,11
1,57
1,60
1,137
1,80
1,106
1,51
1,48
1,65
1,87
1,15
1,108
1,107
1,47
1,82
1,131
1,88
1,133
1,43
1,8
1,52
1,125
1,81
2,1
2,153
2,151
2,156
2,121
2,2
2,155
2,3
2,36
2,97
2,14
2,46
2,154
2,146
2,59
2,7
2,141
2,120
2,150
2,55
2,58
2,45
2,75
2,78
2,4
2,136
2,16
2,112
2,32
2,53
2,147
2,139
2,38
2,76
2,49
2,73
2,41
2,132
2,122
2,42
