noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
1079,7,"01/01/95 00:00:00","01/01/08 12:00:00",210,1780,"1",12,"BASE COURBE DE TARAGE INITIALE SNS DE 1994 (LANE9801). Repris en 2012 par DM avec les éléments disponibles et le plus globalement possible.","C","11/15/12 08:25:00","11/15/12 08:25:00","10/05/12 12:00:00",,,,,
1095,10,"01/01/95 00:00:00","01/01/00 12:00:00",210,2100,"1",24,"CT reprise par DREAL en 10/2012 (DM )
Courbe de correction herbes sur hydro pour les étés
Modif pour H>120cm pour cohérence avec CT4","C","09/25/15 14:04:00","04/19/16 17:00:00",,,,"1",0,
1125,312,"01/01/80 00:00:00","09/26/80 00:00:00",290,500,"C17364",18,,"C",,,,,,,,
1126,312,"09/26/80 00:00:00","01/01/81 00:00:00",510,670,"C17365",12,,"C",,,,,,,,
1127,312,"01/01/81 00:00:00","01/01/82 00:00:00",460,730,"C17366",21,,"C",,,,,,,,
1128,312,"01/01/82 00:00:00","01/01/83 00:00:00",450,730,"C17367",21,,"C",,,,,,,,
1194,12,"01/01/84 00:00:00","12/31/87 00:00:00",150,4500,"C17347",15,,"C",,"01/31/22 11:21:00",,,,"C17347",0,
1195,12,"01/01/83 00:00:00","01/01/84 00:00:00",50,4500,"C17346",22,,"C",,"01/31/22 11:23:00",,,,"C17346",0,
1196,12,"01/01/82 00:00:00","01/01/83 00:00:00",100,4390,"C17345",25,,"C",,"01/31/22 11:24:00",,,,"C17345",0,
1049,318,"02/14/05 21:00:00","04/01/06 12:00:00",350,3000,"ROSS9804",16,"BASE COURBE DE TARAGE INITIALE SNS DE 1987. Repris par DREAL Alsace (DM) en 2012.","C",,"04/20/20 17:26:00",,,,"ROSS9804",0,
1050,9,"01/01/50 00:00:00","01/01/60 00:00:00",200,3000,"Forbach HS",16,,"C","04/20/20 17:30:00","04/20/20 00:00:00","04/20/20 00:00:00",,,,1,
1052,16,"04/29/14 00:00:00","04/01/18 00:00:00",510,6000,"6",16,"Extrapolation d'après étude Irstea.","C","07/30/18 15:19:00","04/30/20 11:34:00","04/29/14 00:00:00",,,"6",0,
1059,16,"01/01/00 00:00:00","01/01/01 00:00:00",12,5000,"CT_Bar_inf",100,"h/q Baratin : Qmin","C",,,,,,,,
1060,16,"01/01/00 00:00:00","01/01/01 00:00:00",12,5000,"CT_Bar_sup",100,"h/q Baratin : Qmax","C",,,,,,,,
1061,16,"01/01/00 00:00:00","01/01/01 00:00:00",12,5000,"CT_Bar",100,"h/q Baratin : Qmaxpost","C",,,,,,,,
1062,16,"01/01/00 00:00:00","01/01/01 00:00:00",510,6000,"baratin",17,"Extrapolation d'après étude Irstea. 
Ajustement en basses eaux.","C","07/30/18 15:22:00","05/19/20 18:15:00","07/01/18 00:00:00",,,,0,
1063,16,"01/01/00 00:00:00","01/01/01 00:00:00",12,5000,"CT_inf",100,"h/q Baratin : Qmin","C",,,,,,,,
