nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3,synchronisation
12,"A0047750","LAUTERBOURG (LAUTER)","LAUTER",,,993.4,,"S","115680",,,,,,"A0047750",,"02/05/99 00:00:00",,,,,,,"01/30/25 14:22:00",,,,
13,"A0045150","LEMBACH","SAUER",,,931.9400000000001,,"S","115680",,,,,,"A0045150",,"02/05/99 00:00:00",,,,,,,,,,,
14,"A3782110","LEUTENHEIM","EBERBACH",1016.135,2441.95,996.25,190,"S","115680",,,,,,"0045500","LONGUEUR cours d'eau 45,83 km

adresse: pont du chemin vers le lieu-dit : HEIDENBERG
67480-LEUTENHEIM
installation d'un appareil d'acquisition sur site le 19 juin 2006; type MONOPHENE GSM: N° 06 75 00 91 25
sonde endress+hauser ; model WATERPILOT; L=20m / série N° 5C02600108E; amplitude 0-4mA;
cabine GROLLEAU 00 313AIITM045 série10; décembre 2003

zéro de l'échelle: 115.465 NGF69 nivelé le 23/07/2002
rive gauche ; aval pont

mise en service le 11/09/2002 10h00

Gestionnaire: Guillaume PHILIPPS

SECURITE:
Accès à la station:
Se fait sans difficulté par un chemin de terre bien carrossable, il n'y a pas de problème pour se garer.

Jaugeage au moulinet:
Hormis la descente du talus aucune difficulté particulière, la section est régulière.

Jaugeage au saumon:
Le camion ferme quasiment le pont, mais il y a très peu de passage à cet endroit surtout en hiver et il n'y a pratiquement aucun danger de circulation.

Jaugeage  ADCP / STREAM PRO:
Sans aucun problème.

RECOMMANDATIONS:
Jaugeage au MOULINET: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON  : Mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP           :  Revêtir les EPI.","05/09/05 00:00:00","10",,,,,,"02/04/16 13:45:00",,"A368021001","A3680210",
15,"A060030","STRGMEINAU","RHIN TORTU",,,,,"S","115680",,,,,,"A0036500","LATITUDE de la station de jaugeages

48°33'24''
 7°45'19''",,,,,,,,"11/19/09 16:18:00",,,,
16,"A2260320","STRASBOURG MONTAGNE-VERTE","ILL",997.33,111.03,975.35,4368,"S","115680",,,,,,"A2260320",,"02/16/01 00:00:00",,,,,,,"11/23/22 11:15:00",,"A226032002","A2260320",
17,"A0033500","WASSELONNE","la Mossig",,,,,"S","000000",,,,,,"A0033500",,,,,,,,,,,,,
18,"A3501010","DRUSENHEIM","MODER",1012.22,1133.12,979.4299999999999,1552,"S","115680",,,,,,"A3501010","
adresse:passerelle de la MODER
67410- DRUSENHEIM
plan cadastrale: section 6; parcelle 304; propriétaire du terrain : la commune de DRUSENHEIM

Zéro de l'échelle: 119.406 NGF69 nivelée le 23/07/2002 ; rive droite

ALCYR: CYR2 V23 N° 011012 installée le 13/11/2002
MODEM RTC TEL: 03 88 53 43 38 
PARAFOUDRE type:

sonde paratronnic:2912-4
pleine échelle 4m L= 15m Température de réglage 14°
COURANT 4-20 
Station modernisée en 2007: CPL + LPN/8 + MODEM ETIC TEL: 03 88 53 43 38 

Jaugeages au saumon effectués sur le pont de la D 468; LAMBERT X = 1012-170 ; Y =1133-120

Responsable et gestionnaire de la station: Guillaume PHILIPPS

SECURITE:
Le véhicule se gare sans danger sur la rampe d'accés des canoës.
L'accès à la station ne pose pas de problème.

Jaugeage au moulinet:
Pas de problèmes spécifiques la section est relativement régulière.

Jaugeage au saumon:
Possible à partir du pont de la D468 situé en amont de la station.

Jaugeage avec le STREAM-PRO méthode ADCP.
Possible à partir de la passerelle.

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO sans dangers spécifiques à partir de la passerelle.

","05/06/05 00:00:00","10",,,,,,"02/04/16 13:54:00",,"A350010001","A3500100",
19,"A2230313","KOGENHEIM (ILL)","L'Ill",985960,84010,,3056,"S","115680",,,,,,"A2230310","HYDROMETRE gestionnaire:
Nouvelle station CPL paratronic avec capteur hydrologic type LPN/8 + modem RTC N° 03 88 58 98 47.
La tension pour l'alimentation éléctrique est la charge des batteries est du 220 V .
altitude du zéro de l'échelle historique en RG:158.30 NGF
SECURITE:
L'accès à la station ne pose pas de problème.
Le véhicule se gare sans danger.

Jaugeage au moulinet: IMPOSSIBLE.

Jaugeage au saumon: Possible à partir du pont de la D203.
Le risque est celui lié à la circulation routière en conséquence le chantier mobile est à mettre en eouvre le triflasch doit être activé le temps de la mesure. 

Jaugeage avec le STREAM-PRO méthode ADCP à partir du pont de la D203.
 .

Jaugeage au catamaran télécommandé: risque de glissade lors de la mise à l'eau.


RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO: revêtir les EPI.

L'habilitation éléctrique ( non éléctricien) est indispensable et doit être à jour.","03/26/08 15:42:00",,,,,,,"01/16/17 15:58:00",,,,
189,"A3502021","SCHERWILLER AUBACH DIFFLUENCE","Aubach",,,,,"V","115680",,,,,,"A2302021","Sur l'Aubach, à l'aval immédiat de l'ouvrage de dérivation sur le Giessen",,"10",,,,,,"12/04/14 08:21:00","12/04/14 08:21:00",,,
190,"A23502022","SCHERWILLER GIESSEN DIFFLUENCE","Giessen",,,,,"V","115680",,,,,,"A235002022",,,"10",,,,,,"12/04/14 08:25:00","12/04/14 08:25:00",,,
