noct,nopt,a,b,h0,hsup
2255,1,0,0,0,224
2255,2,4.668e-05,1.975,224,2000
2896,1,0,0,0,224
2896,2,4.668e-05,1.975,224,2000
3124,1,0,0,0,69
3124,2,0.0005063,1.6667,69,132
3124,3,2.352e-07,2.9527,-7.4,273
3124,4,0.003288,1.4404,134.8,670
3124,5,0.0165,1.2262,239.6,1792
3403,1,0,0,0,541
3403,2,2.073e-15,5,48.6,809
3403,3,7.800999999999999e-05,1.6448,596,1414
3403,4,1.1e-16,5,-715.6,1454
3403,5,5.227e-15,5,451.6,1487
3403,6,7.873e-14,5,885.1,1591
3419,1,0,0,0,176
3419,2,4.077e-07,2.5473,27,520
3419,3,0.0004147,1.5805,246.3,1616
3196,1,0,0,0,-40
3196,2,1.37e-07,2.7137,-155,417
3196,3,0.0001074,1.7535,3,2895
3196,4,4.685e-09,2.8747,-1352,3670
3208,1,0,0,0,280
3208,2,0.0005237,1.4772,234.2,922
3324,1,0,0,0,120
3324,2,4.546e-06,2.2199,63.7,779
3324,3,0.005373,1.2674,402.8,1560
3331,1,0,0,0,747
3331,2,1.568e-16,5,-287.4,997
3505,1,0,0,0,-60
3505,2,1.611e-08,2.9428,-229,16
3505,3,1.821e-07,2.6676,-158.1,417
3505,4,0.0001074,1.7535,2.9,2895
3505,5,4.685e-09,2.8747,-1352,3670
3529,1,0,0,0,98
3529,2,6.494e-08,2.8932,65,208
3529,3,2.972e-08,2.8773,15,265
3529,4,4.888e-05,1.6713,105,649
3533,1,0,0,0,150
3533,2,1.095e-05,1.9705,100.4,215
3533,3,1.618e-06,2.4512,116.4,362
3533,4,0.0001544,1.7173,180.4,1001
3534,1,0,0,0,145
3534,2,1.135e-05,2.1078,122.6,388
3534,3,0.0001368,1.736,178.4,999
3535,1,0,0,0,140
3535,2,2.812e-07,2.6802,67.7,388
3535,3,0.0001609,1.7123,183.2,1000
3536,1,0,0,0,140
3536,2,7.482e-07,2.5394,90.59999999999999,438
3536,3,0.0002571,1.647,199.3,998
3544,1,0,0,0,263
3544,2,0.0005475,1.4344,233,385
3544,3,0.0004397,1.4992,243.4,1001
3598,1,0,0,0,0
3600,1,0,0,0,261
3600,2,0.0004014,1.4866,238.1,460
3600,3,0.0004715,1.5014,271.4,710
3616,1,0,0,0,76
3616,2,5.169e-05,1.7486,55.7,188
3616,3,0.0001393,1.6898,100.8,736
3624,1,0,0,0,250
3624,2,0.0003737,1.4866,245.9,515
3624,3,0.0005693,1.5014,322.6,1163
3631,1,0,0,0,-5
3631,2,0.0001761,1.5811,-44.1,103
3631,3,0.0002237,1.6338,-5.2,364
3631,4,0.003954,1.1235,-55.8,1568
3641,1,0,0,0,-63
3641,2,7.637e-06,1.9727,-151.6,3
3641,3,2.007e-06,2.2584,-144.6,236
3641,4,0.0006659,1.4965,73.59999999999999,498
3641,5,0.0001075,1.7535,4.4,2895
3641,6,4.685e-09,2.8747,-1352,3670
3643,1,0,0,0,419
3643,2,0.001161,1.4717,204.7,1247
3643,3,2.974e-06,2.1393,-691.9,3319
3653,1,0,0,0,153
3653,2,3.659e-05,1.8881,130.6,337
3598,2,0.0001832,1.6036,-34.7,515
3598,3,0.1151,0.667,268,838
3598,4,0.0001542,1.5135,-458.5,1586
3598,5,6.036e-05,1.6854,-53.2,2993
3600,4,0.0005681,1.5014,322.5,1160
3631,5,7.363e-06,1.9222,-412.5,2987
3632,1,0,0,0,62
3632,2,6.28e-05,1.6926,47.2,119
3632,3,0.0001047,1.6926,65.90000000000001,301
3632,4,0.0001392,1.6898,100.6,736
3642,1,0,0,0,-2
3642,2,0.0002965,1.5179,-14.7,192
3642,3,0.0001756,1.7118,38.6,364
3642,4,0.003954,1.1235,-55.8,1568
3642,5,7.363e-06,1.9222,-412.5,2987
3646,1,0,0,0,-73
3646,2,5.565e-05,1.72,-92.2,113
3646,3,0.0003684,1.5058,-11.8,271
3646,4,0.0006669,1.4965,74,498
3646,5,0.0001075,1.7535,4.4,2895
3646,6,4.685e-09,2.8747,-1352,3670
3653,3,0.0001972,1.6849,192.5,1000
