nogest,nomgest,numsandre,boite,ensemble,rue,lieudit,ville,codepostal,nomcontact
"115680","DREAL ALSACE","115",,,,,,,
"367670","SERVICE DE LA NAVIGATION","367","ARRONDISSEMENT FONCTIONNEL E.E.","CITE ADMINISTRATIVE","14, RUE DU MARECHAL JUIN",,"STRASBOURG CEDEX","67084","MONIQUE ROBERJOT"
"115681","DIREN  ALSACE  /  S.E.M.A.","115","B.P.55",,"24  Gd. Rue",,"HORBOURG-WIHR","68180","C.D."
