noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
2523,76,"08/25/12 03:20:00","11/05/12 08:24:00",-50,3150,"11",15,,"C","12/14/12 09:17:00","12/14/12 09:17:00","10/12/12 08:30:00",,,,,
2540,3,"12/11/07 06:00:00","11/29/12 16:30:00",950,2800,"11",20,,"C","04/02/13 08:28:00","04/02/13 08:28:00","01/30/08 10:42:00",,,,,
2549,76,"11/05/12 08:24:00","12/15/12 12:00:00",-50,3150,"12",19,"CT n°10
","C","05/17/13 10:09:00","05/17/13 10:09:00","10/12/12 08:30:00",,,,,
2552,119,"10/19/09 13:30:00","04/24/13 00:00:00",80,210,"2",6,,"C","05/17/13 15:55:00","05/17/13 15:55:00","02/11/09 12:00:00",,,,,
2554,46,"12/17/11 01:00:00","12/28/12 01:30:00",80,1100,"14",15,,"C","06/03/13 09:02:00","06/03/13 09:02:00","02/27/12 14:00:00",,,,,
2557,4,"03/22/11 13:00:00","11/06/12 00:00:00",90,1400,"15",15,,"C","06/19/13 09:16:00","06/19/13 09:16:00","01/11/08 09:52:00",,,,,
2559,122,"12/07/11 15:00:00","02/02/13 00:00:00",80,1150,"5",18,,"C","06/24/13 15:34:00","06/24/13 15:34:00","05/02/12 12:00:00",,,,,
2573,78,"12/16/11 00:00:00","04/13/13 00:00:00",400,1200,"12",16,,"C","08/05/13 10:55:00","08/05/13 10:55:00","05/11/12 10:30:00",,,,,
2577,51,"12/07/11 16:00:00","11/06/12 00:00:00",130,1750,"10",17,,"C","08/05/13 11:26:00","08/05/13 11:34:00","05/02/12 12:00:00",,,,,
2672,34,"06/10/13 23:00:00","07/06/14 23:30:00",40,2600,"15",17,,"C","12/10/14 07:52:00","12/10/14 07:52:00","08/24/12 10:00:00",,,,,
2703,46,"12/28/12 01:30:00","01/04/15 06:00:00",80,1100,"15",17,,"C","07/01/15 13:20:00","07/01/15 13:20:00","06/03/13 09:30:00",,,,,
2705,3,"11/29/12 16:30:00","05/02/15 02:00:00",950,3000,"12",21,,"C","07/01/15 13:33:00","07/01/15 13:33:00","04/02/13 08:30:00",,,,,
2718,97,"04/16/12 06:00:00","05/01/15 16:00:00",130,1800,"9",18,,"C","07/17/15 14:01:00","07/17/15 14:01:00","08/24/12 08:30:00",,,,,
2724,34,"07/06/14 23:30:00","05/01/15 12:00:00",40,2600,"16",17,,"C","07/20/15 08:59:00","07/20/15 08:59:00","08/24/12 10:00:00",,,,,
2590,42,"07/01/12 08:00:00","07/03/13 20:40:00",190,750,"9",18,"Remplacement échelle suite aux travaux de réfection du mur RG.
Cote crue 2003 à 0.95 sur l'échelle","C","10/08/13 07:42:00","10/08/13 07:42:00","08/24/12 09:00:00",,,,,
2593,38,"01/22/12 08:00:00","01/30/13 18:40:00",70,600,"15",21,,"C","10/09/13 08:46:00","10/09/13 08:47:00","08/22/12 08:30:00",,,,,
2597,137,"11/01/10 00:00:00","01/01/50 00:00:00",280,1700,"1",16,,"C","05/11/12 07:58:00","11/25/13 15:49:00","04/10/12 08:00:00",,,,,
2600,135,"12/01/10 00:00:00","01/01/50 00:00:00",280,700,"1",13,,"C","11/25/13 16:07:00","11/25/13 16:07:00","04/10/12 08:00:00",,,,,
2612,70,"01/01/92 00:00:00","01/01/50 12:00:00",400,1000,"1",8,,"C","02/10/14 10:24:00","02/10/14 10:24:00",,,,,,
2625,4,"11/06/12 00:00:00","10/10/13 12:40:00",90,1400,"16",16,"Provisoire pour la partie sous les 25cm échelle","C","04/23/14 14:00:00","04/23/14 14:00:00","06/19/13 09:00:00",,,,,
2645,119,"04/24/13 00:00:00","01/01/50 00:00:00",200,270,"3",14,"Courbe prolongée vers le haut (h>27cm) afin de pouvoir tenir compte de l'influence des barrages.","C","06/13/14 15:39:00","06/13/14 15:40:00","05/17/13 00:00:00",190,280,,,
2687,71,"05/01/94 00:00:00","01/01/14 12:00:00",700,1000,"1",6,,"C","03/27/15 15:09:00","03/27/15 15:09:00",,,,,,
2696,4,"10/10/13 12:40:00","03/02/15 14:00:00",140,1400,"17",15,,"C","06/22/15 11:20:00","06/22/15 11:20:00","04/23/14 14:00:00",,,,,
2707,42,"07/03/13 20:40:00","02/23/15 12:00:00",190,800,"10",19,"Remplacement échelle suite aux travaux de réfection du mur RG.
Cote crue 2003 à 0.95 sur l'échelle","C","07/01/15 14:06:00","07/01/15 14:06:00","10/08/13 07:30:00",,,,,
2733,38,"01/30/13 18:40:00","03/30/15 08:00:00",70,650,"16",22,,"C","08/06/15 08:27:00","08/06/15 08:27:00","08/22/12 08:30:00",,,,,
2765,73,"12/06/11 10:30:00","12/16/12 10:15:00",110,3300,"4",19,,"C","03/22/16 14:03:00","03/22/16 14:03:00","03/22/12 10:00:00",,,,0,
2770,78,"04/13/13 00:00:00","01/04/15 00:00:00",400,1200,"13",16,,"C","03/23/16 09:20:00","03/23/16 09:20:00","08/05/13 10:30:00",,,"Courbe 13",0,
2631,16,"12/18/12 09:00:00","12/28/13 20:50:00",510,3500,"89",17,"PAs mal de dépôt gravier au pont et en aval","C","05/05/14 10:36:00","05/05/14 10:36:00","01/04/12 11:00:00",,,,,
2636,76,"12/15/12 12:00:00","02/16/14 05:30:00",-50,3150,"13",22,"
","C","05/26/14 10:54:00","05/26/14 10:54:00","05/17/13 10:00:00",,,,,
2640,2,"12/05/05 00:00:00","11/11/13 00:00:00",1000,5900,"25",15,,"C","06/02/14 10:46:00","06/02/14 10:46:00",,,,,,
2649,75,"12/24/10 00:00:00","01/01/14 12:00:00",100,2000,"4",12,,"C","06/23/14 10:40:00","06/23/14 10:41:00","09/22/11 15:45:00",,,,,
2654,16,"05/05/11 12:10:00","12/21/11 07:20:00",480,2500,"87",11,,"C","01/04/12 11:18:00","07/02/14 15:53:00","06/08/09 14:47:00",,,,,
2657,16,"12/28/13 20:50:00","07/01/14 07:40:00",400,3500,"90",17,"PAs mal de dépôt gravier au pont et en aval","C","07/04/14 09:15:00","07/04/14 09:15:00","01/04/12 11:00:00",,,,,
2669,16,"07/01/14 07:40:00","11/04/14 08:10:00",480,2500,"91",14,,"C","11/27/14 08:03:00","11/27/14 08:04:00","07/02/14 15:50:00",,,,,
2673,34,"04/16/12 11:45:00","06/10/13 23:00:00",40,2600,"14",17,,"C","08/02/13 14:46:00","12/10/14 07:53:00","08/24/12 10:00:00",,,,,
2681,71,"03/01/14 00:00:00","01/01/50 12:00:00",500,800,"2",4,,"C","02/26/15 09:40:00","03/26/15 08:58:00","02/25/15 12:00:00",,,,,
2683,147,"01/01/14 00:00:00","07/01/14 12:00:00",0,1750,"1",11,,"C","03/26/15 14:34:00","03/26/15 14:34:00","02/03/14 15:00:00",,,,,
