numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
438,91,"08/17/06 10:00:00","08/17/06 17:00:00","5","50","Levé topo, profil en travers du lit mineur et ligne d'eau en amont de l'ouvrage",,"07/16/07 16:35:00",
439,91,"05/30/02 00:00:00",,"5","50","Nettoyage de la sonde.",,,
440,91,"08/20/02 00:00:00",,"5","50","Installation provisoire de la sonde dans le fond du lit pour enregistrer correctement les basses eaux.",,,
441,91,"10/15/02 00:00:00",,"5","50","Nettoyage du seuil, la cote a baissé de 20mm.",,,
442,91,"11/06/02 00:00:00",,"5","50","La sonde est remise à son emplacement initial.",,,
443,91,"12/01/01 00:00:00","12/15/01 00:00:00","5","50","Aménagement d'une plate-forme sécurisée et d'un escalier en béton pour faciliter l'accès à l'échelle et à la section de mesure.",,,
444,91,"09/23/88 00:00:00","10/11/88 00:00:00","5","50","Recalibrage et nettoyage des rives en aval de la station. Le seuil naturel semble s'être déplacé d'une dizaine de mêtres en aval.Voir photo du 24/09/1989",,,
445,91,"12/18/88 00:00:00","12/27/88 00:00:00","5","50","Recalibrage et nettoyage des rives en amont de la station. Suppression de l'îlot à 10m en amont. Le seuil en aval de la station est encombré de branches.Voir photo du 24/09/1989",,,
446,91,"07/21/89 00:00:00","07/22/89 00:00:00","5","50","Aménagement par les riverains d'un seuil de grosses pierres afin d'abreuver les animaux. Le niveau d'eau est remonté de 45cm. Voir photo du 24/08/1988.",,,
447,91,"02/14/90 00:00:00","02/15/90 00:00:00","5","50","Suite à la crue(ht maxi:2,62m), le seuil de pierre a rompu, notamment en rive droite, voir photo 20/02/1990.",,,
448,91,"04/02/90 00:00:00",,"5","50","Colmatage de la brèche du seuil. Remontée du niveau de 30cm",,,
449,91,"05/06/03 00:00:00",,"2","26","Modification en basses eaux(passage de l'eau sous le seuil)",,,
450,91,"09/01/03 00:00:00",,"2","26","Modification de la courbe mis arbitrairement le 01/09/2003 suite au constat d'une modification du contrôle(moins de passsage d'eau sous le seuil) au cours de la deuxième quinzaine du mois d'août.",,,
451,91,"08/09/03 00:00:00","09/01/03 00:00:00","4","43","Compte-tenu le mauvais contrôle du niveau d'eau par le seuil (renard, dépôt en amont), une reconstitution s'imposait.",,,
452,91,"04/29/03 00:00:00",,"3","31","Passage d'une centrale CR2M avec capteur USi à une centrale OTT avec capteur bulle à bulle (Nimbus)",,,
453,91,"01/18/04 00:00:00",,"2","21",,,,
454,91,"07/10/03 00:00:00",,"3","32","liaison direct centrale impossible",,,
455,91,"08/18/03 00:00:00",,"3","32","changement centrale OOT",,,
456,91,"11/13/03 00:00:00",,"5","50","installation d'une deuxième batterie",,,
457,91,"08/03/04 14:20:00",,"5","50","buche en aval du seuil + PHOTOS",,,
458,91,"12/28/05 11:40:00",,"3","32","changement centrale, changement batterie",,,
459,91,"09/07/04 00:00:00",,"5","50","PHOTOS",,,
460,91,"05/04/06 00:00:00",,"5","50","PHOTOS érosion des rives",,,
461,91,"03/04/06 00:00:00",,"2","21",,,"06/14/07 11:40:00","06/14/07 11:40:00"
462,91,"03/02/06 11:55:00",,"5","50","Capillaire ensablé -> nettoyage et pompage",,"06/14/07 11:44:00","06/14/07 11:44:00"
463,91,"06/06/06 10:00:00",,"5","50","La lame d'eau sur le seuil dans sa partie centrale était de 70mm et la hauteur à l'échelle était de 143mm",,"06/14/07 11:47:00","06/14/07 11:47:00"
464,91,"10/12/06 10:00:00","10/12/06 16:00:00","5","50","Levé topo du profil en long après l'ouvrage existant et profil en travers du premier seuil après l'ouvrage",,"07/16/07 16:33:00","07/16/07 16:33:00"
465,91,"10/18/00 11:15:00",,"5","50","Reprise des informations.
Equipement: Centrale CR2M avec capteur Ultra-Son, alimentation solaire.
Contrôle par le seuil en poutrelles béton mis en place par le propriétaire des parcelles en 1993. Le seuil semble stabilisé.",,,
466,91,"12/04/00 00:00:00",,"5","50","Changement d'appareillage et raccordement au réseau France-Télécom.",,,
467,91,"04/03/01 12:00:00",,"5","50","Nivellement le 03/04/2001 de l'ancienne échelle par rapport à la nouvelle, la nouvelle échelle est 11 cm plus basse que l'ancienne.",,,
468,91,"01/01/79 00:00:00","01/31/79 00:00:00","5","50","Photos",,,
469,91,"11/01/80 00:00:00",,"5","50","Photos",,,
470,91,"02/01/82 00:00:00",,"5","50","Photos",,,
471,91,"05/29/01 00:00:00",,"5","50","nettoyage sonde",,,
472,91,"08/28/01 00:00:00",,"5","50","nettoyage sonde + décalage sonde",,,
473,91,"09/25/01 00:00:00",,"5","50","remise en place du tube",,,
474,91,"12/19/01 12:00:00",,"5","50","Contat que l'eau est gelée dans le tube PVC.",,,
475,91,"01/24/89 00:00:00",,"5","50","Photos",,,
