nosec,snoptsec,sabsc,scoteinf,scotesup
4,1,0,22025,22025
4,2,10,21850,
4,3,100,21833,
4,4,110,21786,
4,5,210,21756,
4,6,460,21758,
4,7,610,21753,
4,8,760,21748,22025
5,1,0,23021,23021
5,2,250,22788,
5,3,750,22765,
5,4,900,22775,
5,5,1000,22788,
5,6,1300,22778,
5,7,1450,22773,
5,8,1550,22787,
5,9,1870,23009,23021
7,1,0,26277,26500
7,2,5000,26256,
7,3,10000,26274,
7,4,14000,26277,26700
8,1,0,26640,26640
8,2,250,26384,
8,3,400,26302,
8,4,650,26260,
8,5,930,26265,
8,6,1000,26273,
8,7,1480,26270,
8,8,1630,26282,
8,9,1760,26275,
8,10,2080,26304,
8,11,2230,26339,
8,12,2350,26415,
8,13,2580,26589,
8,14,2830,26640,26640
9,1,0,17492,17492
9,2,0,17253,
9,3,200,17238,
9,4,550,17263,
9,5,1100,17247,
9,6,1400,17260,
9,7,1800,17313,
9,8,2150,17289,
9,9,2600,17292,
9,10,2900,17275,
9,11,3100,17269,
9,12,3250,17279,
9,13,3300,17492,17492
10,1,0,17605,17613
10,2,250,17583,
10,3,550,17412,
10,4,800,17308,
10,5,1000,17302,
10,6,1300,17311,
10,7,1750,17298,
10,8,2100,17282,
10,9,2400,17276,
10,10,2570,17355,
10,11,2800,17398,
10,12,3000,17432,
10,13,3200,17434,
10,14,3600,17613,17613
11,1,0,17308,17400
11,2,5000,17299,
11,3,15000,17277,
11,4,20000,17248,
11,5,25000,17247,17400
12,1,100,16219,16219
12,2,160,15985,
12,3,240,15986,
12,4,380,16006,
12,5,600,16041,
12,6,730,16034,
12,7,860,16015,
12,8,950,16014,
12,9,1050,16149,
12,10,1100,16219,16219
54,1,870,15128,15128
56,1,0,12104,12467
56,2,270,12029,
56,3,450,12021,
56,4,650,12015,
56,5,850,12010,
56,6,1100,12026,12467
57,1,430,11648,11835
57,2,640,11576,
57,3,800,11556,
57,4,1000,11558,
57,5,1200,11559,
57,6,1300,11592,
27,1,0,21830,21839
27,2,110,21720,
27,3,120,21640,
27,4,200,21618,
27,5,450,21616,
27,6,680,21724,
27,7,750,21839,21839
28,1,200,14521,14809
28,2,270,14469,
28,3,500,14459,
28,4,800,14455,
28,5,1050,14448,
28,6,1190,14458,14809
28,7,1190,14809,14809
28,8,1330,14809,14809
28,9,1330,14459,14809
28,10,1450,14441,
28,11,1650,14439,
28,12,1900,14418,
28,13,2150,14390,
28,14,2400,14401,
28,15,2620,14439,14809
28,16,2620,14809,14809
28,17,2760,14809,14809
28,18,2760,14503,14809
28,19,3150,14537,
