nosec,nosta,snom,sdatedeb,sdatefin,szero,sfond,scomment,sdatemaj,sdateenregistrement,sdatecreation,susage
4,33,"1","01/01/98 00:00:00","12/31/99 00:00:00",39700,39684,,,,,
17,42,"Section station","10/01/96 00:00:00","12/31/00 00:00:00",56895,56882,"Section après travaux dans section en 09/1996",,,,
21,43,"1 Section pont","01/01/97 00:00:00","12/31/00 00:00:00",39689,39677,,,,,
28,37,"1","01/01/95 00:00:00","12/31/00 00:00:00",19854,19847,,,,,
31,41,"Pont station","01/01/99 00:00:00","12/31/50 00:00:00",29500,29480,,,,,
34,100,"section station","07/01/99 00:00:00","12/31/05 00:00:00",38731,38707,,,,,
36,44,"station","01/01/97 00:00:00","12/31/01 00:00:00",24547,24499,,,,,
39,13,"Section échelle","01/01/01 00:00:00","12/31/50 00:00:00",22100,22050,,,,,
40,67,"Section jaugeage per","04/01/01 00:00:00","12/31/50 00:00:00",21405,21386,"ATTENTION:   0.00m  VERITABLE de l'échelle est = 213.69 mNGF
Pour avoir la cote échelle virtuelle ( section mesure ) enlever 20cm a la cote échelle station",,,,
46,115,"Section station","01/01/02 00:00:00","01/01/04 00:00:00",24549,24496,,,,,
48,49,"Pont bas moy eaux","01/01/99 00:00:00","12/31/50 00:00:00",43000,42996,,,,,
50,56,"Pont KB","01/01/02 00:00:00","12/31/50 00:00:00",29859,29816,,,,,
55,80,"Section HE","01/01/02 00:00:00","01/31/03 00:00:00",26919,26886,,,,,
57,5,"Section BE HE","01/01/02 00:00:00","12/31/03 00:00:00",20185,20173,,,,,
60,3,"HE","01/01/02 00:00:00","12/31/02 00:00:00",24570,24530,"0.00m échelle = 245.47 mNGF en réalité",,,,
61,42,"Section Pont 1999","01/01/98 00:00:00","12/31/50 00:00:00",56935,56918,"Valide en 2002 suite à nivellement",,,,
73,55,"Section pont","02/16/90 00:00:00","12/31/00 00:00:00",41066,41052,,"01/24/11 11:03:00","01/24/11 11:03:00",,
74,122,"2m amont seuil","09/01/06 00:00:00","12/31/50 00:00:00",30474,30445,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 07/07/2010 à 08:55","01/24/11 11:07:00","01/24/11 11:08:00","01/24/11 11:07:00",
75,58,"Section station","01/01/02 00:00:00","12/31/50 00:00:00",25946,25926,"Repris le tracé avec les cotes NGF réelles
Arête seuil en RG=259.51mNGF
Arête seuil RD = 259.55mNGF
Trou =259.25mNGF","01/24/11 14:01:00","01/24/11 14:05:00","08/09/02 00:00:00",
76,120,"Section HE (echelle)","08/08/02 00:00:00","12/31/50 00:00:00",29812,29769,"Recalculé avec cote altitude réelle","01/24/11 14:35:00","01/24/11 14:35:00","01/24/11 14:35:00",
77,55,"Section amont pont","02/16/90 00:00:00","12/31/00 00:00:00",41066,41047,,"01/24/11 14:36:00","01/24/11 14:38:00","12/07/99 00:00:00",
78,59,"Section échelle","01/01/02 00:00:00","12/31/50 00:00:00",27772,27770,,"01/21/11 10:25:00","01/24/11 14:41:00","08/13/02 00:00:00",
79,4,"section échelle","01/01/02 00:00:00","01/01/50 00:00:00",40177,40174,"RD= 0m
Profil réalisé en aout 2002","01/21/11 10:33:00","01/24/11 14:41:00","08/13/02 00:00:00",
80,1,"Section BE ME","01/01/02 00:00:00","01/01/50 00:00:00",28252,28229,"Section amaont station (passage à gué)","01/24/11 14:52:00","01/24/11 14:53:00","08/07/02 00:00:00",
81,34,"Section HE","01/01/02 00:00:00","01/31/03 00:00:00",28029,28016,"Sortie du pont
Altitude réelle","01/24/11 14:53:00","01/24/11 14:54:00","08/07/02 00:00:00",
82,3,"Pont coté aval","01/01/02 00:00:00","01/01/50 00:00:00",24278,24242,"section reconstitué à partir des mesures( n°205avec 2.50m à l'échelle)","01/24/11 14:54:00","01/24/11 14:59:00","01/24/11 00:00:00",
83,76,"Section station","01/01/02 00:00:00","01/01/03 00:00:00",26281,26279,"Altitude réelle et effectué coté station
Le profil en travers ne concerne que la station","01/24/11 15:00:00","01/24/11 15:07:00","08/07/02 00:00:00",
