noliste,nomliste
19,"Bassin Seudre"
25,"Bassin de la Creuse"
26,"Bassin de la Gartempe"
29,"Bassin Charente"
40,"Bassin de la Vienne"
41,"Bassin Clain"
42,"Bassin du Thouet"
46,"Bassin de la Sèvre Niortaise"
48,"Stations_actives"
49,"Stations_VCA_total"
50,"Stations_inactives"
