noct,nopt,h,q
6,1,0,1.4
6,2,10,1.46
6,3,40,1.67
6,4,110,2.2
6,5,180,2.8299999
6,6,250,3.53
6,7,300,4.0599999
6,8,350,4.5999999
6,9,400,5.1900001
6,10,450,5.8000002
6,11,500,6.4400001
6,12,600,7.8299999
6,13,700,9.3299999
6,14,800,10.8
6,15,900,12.6
6,16,1000,14.3
6,17,1100,16.200001
6,18,1200,18.299999
6,19,1300,20.299999
6,20,1400,22.5
6,21,1500,24.700001
6,22,1600,27
6,23,1700,29.4
6,24,1800,31.9
6,25,2000,37
6,26,2200,42.200001
6,27,2500,49.799999
6,28,2800,57.700001
6,29,3000,63.700001
6,30,3100,69.5
6,31,3150,73.099998
6,32,3200,77.800003
6,33,3250,83.699997
9,1,200,2
9,2,300,2.5999999
9,3,400,3.4000001
9,4,500,4.4000001
9,5,700,6.8000002
10,1,50,0.51999998
10,2,80,0.57999998
10,3,130,0.72000003
10,4,190,0.93000001
10,5,500,2.3699999
14,1,0,0.70999998
14,2,40,0.91000003
14,3,70,1.0599999
14,4,150,1.7
14,5,170,1.88
14,6,210,2.28
14,7,290,3.1600001
14,8,340,3.76
14,9,500,6
18,1,200,0.050000001
18,2,250,0.2
18,3,350,0.5
18,4,450,0.80000001
18,5,650,1.5
18,6,800,2.0999999
19,1,0,0.2
19,2,250,1.12
19,3,500,1.8
22,1,120,5.1599998
22,2,240,7.8000002
22,3,340,10
22,4,400,11.32
24,1,900,21.5
24,2,930,23
24,3,1000,27.200001
24,4,1020,28.6
24,5,1080,33.400002
24,6,1120,37
24,7,1150,40
24,8,1200,45.5
24,9,1250,51.5
24,10,1300,59
24,11,1350,67
24,12,1400,76
24,13,1450,86
24,14,1900,185
27,1,150,0.2
27,2,200,0.40000001
27,3,300,1.1
27,4,350,1.5
27,5,700,5
32,1,50,0.56999999
32,2,60,0.60000002
32,3,70,0.63999999
32,4,140,0.99000001
32,5,160,1.1
32,6,240,1.67
32,7,300,2.1500001
32,8,400,3.05
32,9,450,3.5799999
32,10,500,4.1300001
32,11,600,5.3000002
32,12,650,5.9000001
32,13,700,6.5500002
32,14,800,7.8299999
32,15,900,9.2200003
32,16,1000,10.6
32,17,1200,13.8
32,18,1300,15.6
32,19,1500,19.6
32,20,1700,23.9
32,21,1800,26.1
40,1,360,1.4
40,2,390,1.6799999
40,3,430,2
40,4,570,3.45
40,5,620,4
40,6,630,4.1100001
40,7,690,4.7649999
40,8,730,5.21
40,9,740,5.3200002
40,10,800,5.98
40,11,820,6.1999998
40,12,1200,10
3379,1,650,0.105
3379,2,700,0.18000001
3379,3,740,0.30000001
3379,4,800,0.60000002
3379,5,850,0.89999998
3379,6,900,1.3
3379,7,1000,2.3
4670,1,320,0.63999999
47,1,0,0.050000001
47,2,100,0.1
47,3,200,0.17
47,4,300,0.27000001
47,5,350,0.345
47,6,400,0.44499999
47,7,450,0.56999999
47,8,500,0.72000003
47,9,700,1.42
47,10,900,2.1800001
47,11,1100,3.02
47,12,1400,4.4000001
47,13,1600,5.4000001
49,1,100,0.43000001
49,2,160,0.55000001
49,3,200,0.68000001
49,4,220,0.79000002
49,5,240,0.94
49,6,250,1.03
49,7,300,1.63
49,8,350,2.26
49,9,400,3
49,10,450,3.99
49,11,500,5.1199999
49,12,550,6.4099998
49,13,700,11.2
49,14,850,16.700001
49,15,1000,22.700001
49,16,1200,32
49,17,1400,42.5
49,18,1600,55
49,19,1900,77.800003
49,20,2200,105
49,21,2600,147
49,22,3000,196
50,1,30,0.19
50,2,100,0.47
50,3,140,0.55000001
50,4,180,0.68000001
50,5,200,0.79000002
50,6,220,0.94
50,7,240,1.15
50,8,300,1.87
50,9,340,2.4000001
50,10,380,3.0599999
50,11,430,3.98
50,12,460,4.6300001
50,13,530,6.4000001
50,14,700,11.9
50,15,800,15.5
50,16,980,22.700001
50,17,1180,32
50,18,1380,42.5
50,19,1580,55
50,20,1880,77.800003
50,21,2180,105
50,22,2580,147
50,23,3380,245
93,1,350,1.35
93,2,400,1.5
93,3,430,1.65
93,4,680,3.4000001
93,5,880,5.1999998
93,6,1080,7.4000001
93,7,1280,10
93,8,1600,14.8
105,1,140,0.38
105,2,220,1.09
105,3,310,2.02
105,4,520,4.1500001
115,1,80,0.071000002
115,2,90,0.112
115,3,811,3.52
116,1,88,0.108
116,2,144,0.222
116,3,200,0.34999999
116,4,312,0.639
116,5,537,1.3200001
116,6,987,2.9300001
200,1,799,22
200,2,936,32.599998
200,3,1073,46
200,4,1211,62.400002
200,5,1348,81.900002
200,6,1623,131
200,7,1897,196
205,1,967,24
205,2,1111,37.400002
205,3,1254,54.599998
205,4,1397,75.900002
205,5,1541,102
248,1,40,0.54500002
248,2,60,0.60000002
248,3,70,0.63999999
248,4,140,0.99000001
248,5,160,1.1
248,6,240,1.67
248,7,300,2.1500001
248,8,400,3.05
248,9,500,4.1300001
248,10,650,5.9000001
248,11,800,7.8299999
248,12,1000,10.6
248,13,1200,13.8
248,14,1500,19.6
248,15,1800,26.1
248,16,2000,31.5
248,17,2100,33.900002
296,1,530,1.17
296,2,539,1.1900001
296,3,633,1.53
296,4,727,1.95
296,5,821,2.45
296,6,914,3.05
298,1,212,0.486
298,2,316,1.0599999
298,3,420,1.6900001
301,1,-3,0.169
301,2,350,0.40000001
312,1,-33,0.35100001
312,2,1,0.47499999
312,3,34,0.61900002
312,4,100,0.98299998
312,5,166,1.46
312,6,211,1.87
312,7,338,3.29
312,8,465,5.2199998
356,1,100,0.2
356,2,110,0.22
356,3,130,0.28
356,4,150,0.36000001
356,5,170,0.45500001
356,6,200,0.61500001
356,7,230,0.81
356,8,300,1.34
356,9,400,2.1800001
356,10,500,3.1199999
356,11,600,4.1500001
356,12,700,5.2600002
356,13,800,6.52
