noct,ladate
4449,"12/16/11 14:30:00"
4450,"12/16/11 14:30:00"
4726,"07/24/07 12:00:00"
4726,"10/24/06 13:55:00"
4726,"09/13/06 12:00:00"
4742,"01/05/18 09:25:00"
4742,"02/04/20 10:15:00"
4742,"01/29/21 13:10:00"
4742,"06/07/18 08:15:00"
4744,"02/07/84 00:00:00"
4745,"10/04/06 14:30:00"
4750,"01/17/18 09:15:00"
4750,"02/07/84 00:00:00"
4750,"10/03/06 11:00:00"
4750,"03/05/20 14:09:00"
4623,"01/17/18 09:15:00"
4623,"02/07/84 00:00:00"
4623,"10/03/06 11:00:00"
4623,"03/05/20 14:09:00"
4631,"07/24/07 12:00:00"
4631,"10/24/06 13:55:00"
4631,"09/13/06 12:00:00"
