noct,ladate
3324,"12/16/11 14:30:00"
3419,"12/16/11 14:30:00"
3505,"12/22/10 14:05:00"
3505,"01/26/95 00:00:00"
3505,"10/16/13 07:50:00"
3505,"03/09/06 10:30:00"
3505,"02/22/99 15:10:00"
3505,"02/02/13 09:05:00"
3505,"03/22/01 11:00:00"
3505,"12/11/07 12:20:00"
3505,"11/14/00 10:05:00"
3505,"01/14/19 10:50:00"
3641,"10/16/13 07:50:00"
3641,"03/09/06 10:30:00"
3641,"02/22/99 15:10:00"
3641,"02/02/13 09:05:00"
3641,"03/22/01 11:00:00"
3641,"12/11/07 12:20:00"
3641,"11/14/00 10:05:00"
3641,"01/14/19 10:50:00"
3641,"12/22/10 14:05:00"
3641,"01/26/95 00:00:00"
3643,"11/15/22 12:40:00"
3643,"11/07/22 08:30:00"
3643,"10/04/22 12:33:00"
3643,"11/24/22 08:45:00"
3643,"06/14/16 07:50:00"
3643,"04/18/16 10:20:00"
3643,"02/11/16 09:35:00"
3643,"01/23/18 13:20:00"
3646,"10/16/13 07:50:00"
3646,"03/09/06 10:30:00"
3646,"02/22/99 15:10:00"
3646,"02/02/13 09:05:00"
3646,"03/22/01 11:00:00"
3646,"12/11/07 12:20:00"
3646,"11/14/00 10:05:00"
3646,"01/14/19 10:50:00"
3646,"12/22/10 14:05:00"
3646,"01/26/95 00:00:00"
