noct,ladate
1196020,"06/06/08 10:45:00"
1196020,"11/22/13 08:10:00"
1196020,"05/29/13 07:00:00"
1196020,"11/17/10 16:30:00"
1196020,"02/18/10 15:40:00"
1196020,"01/29/09 10:15:00"
1196020,"02/21/14 08:00:00"
1196020,"04/20/12 07:40:00"
1196020,"05/03/13 12:30:00"
1196020,"08/08/13 16:48:00"
1196020,"04/18/16 08:00:00"
1196020,"05/12/81 00:00:00"
1196020,"11/02/08 10:00:00"
1196020,"04/17/05 08:30:00"
1196020,"03/17/05 09:45:00"
1196021,"08/08/13 16:48:00"
1196021,"04/17/05 08:30:00"
1196021,"11/02/08 10:00:00"
1196021,"05/03/13 12:30:00"
1196021,"06/06/08 10:45:00"
1196021,"03/17/05 09:45:00"
1196027,"08/27/08 10:30:00"
1196027,"10/06/08 08:00:00"
1196027,"04/26/09 18:30:00"
1196027,"05/16/08 12:00:00"
1196027,"06/05/08 00:00:00"
1196027,"05/20/08 13:30:00"
1196027,"06/18/08 09:00:00"
1196027,"01/28/09 10:00:00"
1196027,"02/20/09 11:00:00"
1196027,"11/07/05 16:00:00"
1196027,"01/18/08 09:00:00"
1196027,"05/12/06 07:00:00"
1196027,"01/15/09 09:10:00"
1196027,"12/07/06 15:00:00"
1196027,"11/25/08 14:20:00"
1196027,"02/13/08 10:00:00"
1196027,"12/07/07 00:00:00"
1196027,"02/14/06 00:00:00"
1196027,"01/10/07 09:30:00"
1196027,"07/04/06 00:00:00"
1196027,"01/23/07 11:30:00"
1196027,"08/24/06 15:45:00"
1196027,"07/25/08 10:00:00"
1196027,"09/11/08 10:15:00"
1196027,"06/29/05 11:30:00"
1196027,"08/06/07 10:00:00"
1196027,"10/14/08 09:00:00"
1196029,"04/26/09 18:30:00"
1196029,"05/16/08 12:00:00"
1196029,"10/06/08 08:00:00"
1196029,"07/25/08 10:00:00"
1196029,"05/26/09 13:15:00"
1196029,"02/13/08 10:00:00"
1196030,"08/28/69 00:00:00"
1196030,"12/11/70 00:00:00"
1196030,"06/09/70 00:00:00"
1196030,"09/17/71 00:00:00"
1196030,"11/08/68 00:00:00"
1196030,"06/25/68 00:00:00"
1196030,"04/08/71 00:00:00"
1196030,"01/25/71 00:00:00"
1196030,"06/18/70 00:00:00"
1196033,"05/08/74 00:00:00"
1196036,"06/09/92 12:15:00"
1196036,"04/08/92 15:00:00"
1196036,"06/11/92 11:30:00"
1196036,"06/12/92 15:30:00"
1196043,"07/04/91 11:00:00"
1196043,"04/25/90 14:45:00"
1196043,"06/15/90 00:00:00"
1196043,"04/24/91 16:00:00"
1196043,"06/06/91 00:00:00"
1196043,"04/08/92 15:00:00"
1196043,"01/07/91 15:00:00"
1196043,"01/31/90 15:30:00"
1196043,"02/28/90 00:00:00"
1196043,"06/16/90 00:00:00"
1196043,"09/26/90 10:00:00"
1196045,"04/26/09 18:30:00"
1196045,"03/17/05 20:30:00"
1196049,"05/03/13 15:49:00"
1196049,"11/22/16 19:15:00"
1196049,"05/23/12 08:30:00"
1196050,"05/03/13 15:49:00"
1196050,"05/23/12 08:30:00"
1196050,"05/02/24 09:10:00"
1196063,"05/23/12 08:30:00"
1196063,"05/03/13 15:49:00"
1196064,"08/18/05 10:00:00"
1196065,"08/18/05 10:00:00"
1196066,"06/16/10 14:00:00"
1196066,"11/30/23 11:00:00"
1196066,"01/28/21 14:15:00"
1196066,"03/09/06 00:00:00"
1196066,"01/29/21 14:45:00"
1196066,"01/13/04 00:00:00"
1196066,"05/03/13 07:31:00"
1196066,"05/17/21 12:00:00"
1196066,"05/03/04 10:00:00"
1196066,"12/17/20 09:10:00"
1196066,"01/25/21 13:43:00"
1196066,"06/12/20 08:55:00"
1196066,"11/29/19 08:30:00"
1196070,"04/26/09 21:00:00"
1196070,"03/09/06 00:00:00"
1196070,"01/13/04 00:00:00"
1196070,"05/03/13 07:31:00"
1196070,"12/17/12 13:45:00"
1196070,"06/16/10 14:00:00"
1196070,"03/04/03 09:15:00"
1196071,"04/26/09 21:00:00"
1196071,"03/09/06 00:00:00"
1196071,"01/13/04 00:00:00"
1196071,"05/03/13 07:31:00"
1196071,"12/17/12 13:45:00"
1196071,"06/16/10 14:00:00"
1196071,"03/04/03 09:15:00"
1196072,"04/26/09 21:00:00"
1196072,"03/09/06 00:00:00"
1196072,"01/13/04 00:00:00"
1196072,"05/03/13 07:31:00"
1196072,"12/17/12 13:45:00"
1196072,"06/16/10 14:00:00"
1196072,"03/04/03 09:15:00"
1196073,"04/26/09 21:00:00"
1196073,"03/09/06 00:00:00"
1196073,"01/13/04 00:00:00"
1196073,"05/03/13 07:31:00"
1196073,"12/17/12 13:45:00"
1196073,"06/16/10 14:00:00"
1196073,"03/04/03 09:15:00"
1196074,"04/26/09 21:00:00"
1196074,"03/09/06 00:00:00"
1196074,"01/13/04 00:00:00"
1196074,"05/03/13 07:31:00"
1196074,"12/17/12 13:45:00"
1196074,"06/16/10 14:00:00"
1196074,"03/04/03 09:15:00"
1196077,"01/28/21 14:15:00"
1196077,"01/29/21 14:45:00"
1196077,"05/17/21 12:00:00"
1196077,"06/12/20 08:55:00"
1196077,"11/29/19 08:30:00"
1196077,"05/10/21 09:30:00"
1196077,"03/09/06 00:00:00"
1196077,"01/13/04 00:00:00"
1196077,"05/03/13 07:31:00"
1196077,"03/04/03 09:15:00"
1196078,"03/02/15 14:59:00"
1196078,"12/14/19 09:45:00"
1196079,"02/16/06 18:00:00"
1196079,"11/15/10 11:30:00"
1196079,"12/09/07 12:00:00"
1196079,"12/14/19 09:45:00"
1196079,"03/02/15 14:59:00"
1196079,"01/23/09 15:00:00"
1196079,"03/09/06 00:00:00"
1196080,"01/14/04 00:00:00"
1196080,"12/09/07 12:00:00"
1196080,"11/15/10 11:30:00"
1196080,"02/04/03 14:00:00"
1196080,"01/18/08 11:00:00"
1196080,"02/16/06 18:00:00"
1196080,"01/27/04 13:00:00"
1196080,"03/19/05 14:00:00"
1196080,"02/24/10 10:37:00"
1196080,"05/06/09 09:20:00"
1196080,"04/25/12 08:45:00"
1196080,"04/26/05 17:00:00"
1196080,"01/24/12 12:50:00"
1196080,"11/03/11 10:20:00"
1196080,"10/18/11 11:50:00"
1196080,"01/23/09 15:00:00"
1196080,"03/09/06 00:00:00"
1196081,"01/23/09 15:00:00"
1196081,"12/14/19 09:45:00"
1196081,"03/02/15 14:59:00"
1196087,"02/16/06 18:00:00"
1196087,"12/09/07 12:00:00"
1196087,"12/14/19 09:45:00"
1196087,"03/09/06 00:00:00"
1196087,"03/02/15 14:59:00"
1196087,"01/23/09 15:00:00"
1196087,"11/15/10 11:30:00"
1196088,"01/14/04 00:00:00"
1196088,"12/09/07 12:00:00"
1196088,"11/15/10 11:30:00"
1196088,"02/04/03 14:00:00"
1196088,"01/18/08 11:00:00"
1196088,"02/16/06 18:00:00"
