noct,nopt,a,b,h0,hsup
6828,10,0.03296,0.8433,409.7,916
1589,13,0.008018000000000001,1.0689,519.4,3400
1597,1,0,0,0,-629
1597,2,0.0001578,1.8442,-726.8,99
1597,3,0.06646000000000001,1.0537,-312.7,511
1597,4,0.02866,1.2208,-143.4,2057
1597,5,0.008548999999999999,1.351,-508.9,4510
1598,1,0,0,0,-557
1598,2,0.002092,1.5195,-557,97
1598,3,0.005427,1.4014,-475,489
1598,4,0.005137,1.4229,-414.1,2009
1598,5,0.008557,1.351,-505.5,4510
1599,1,0,0,0,-530
1599,2,0.00505,1.3844,-530,119
1599,3,0.00489,1.4003,-498,505
1599,4,0.03094,1.2108,-141.6,2062
1599,5,0.0007324,1.6157,-1177.9,4510
1600,1,0,0,0,-583
1600,2,0.002205,1.4734,-632.9,120
1600,3,0.009568,1.3185,-418.7,525
1600,4,0.02918,1.2208,-129.9,1997
1600,5,0.0002455,1.7299,-1533.8,4510
1601,1,0,0,0,-518
1601,2,0.002569,1.475,-564.5,125
1601,3,0.006756,1.374,-426.6,497
1601,4,0.003285,1.4866,-397.3,2003
1601,5,0.00665,1.374,-716,4510
1602,1,0,0,0,-586
1602,2,0.002964,1.441,-619.9,106
1602,3,0.00414,1.4009,-584.6,515
1602,4,0.03091,1.2208,-80.2,2003
1602,5,0.008227,1.351,-654,4510
1603,1,0,0,0,-555
1603,2,0.003292,1.441,-574.6,111
1603,3,0.004752,1.4009,-525,507
1603,4,0.03009,1.2208,-126.4,2003
1603,5,0.008227,1.351,-654,4510
1604,1,0,0,0,-631
1604,2,0.0001572,1.8442,-729,119
1604,3,0.06682,1.0537,-308,511
1604,4,0.03031,1.2208,-114,2003
1604,5,0.008227,1.351,-654,4510
1605,1,0,0,0,-500
1605,2,0.0002469,1.7766,-750,1200
1605,3,5.996e-05,1.9705,-700,2000
1605,4,0.01298,1.3025,-500,4500
1606,1,0,0,0,-500
1606,2,0.0006747,1.6559,-650,1200
1606,3,0.0003441,1.7689,-475,2000
1606,4,0.03899,1.1801,-219,3000
1607,1,0,0,0,0
1607,2,4.901e-06,2.2567,-1007,2000
1608,1,0,0,0,-500
1608,2,0.006055,1.3148,-600,200
1608,3,5.996e-05,1.9705,-700,2000
1608,4,0.01047,1.3263,-555,4000
1609,1,0,0,0,-400
1609,2,0.03513,1.0662,-500,130
1609,3,5.996e-05,1.9705,-700,2000
1609,4,0.01992,1.256,-375,4000
1610,1,0,0,0,-340
1610,2,0.001326,1.6058,-352,1984
1610,3,0.01072,1.3256,-504,3800
1611,1,0,0,0,-890
1611,2,1.849e-05,2.0997,-899,2000
1611,3,0.02008,1.256,-349,3689
1612,1,0,0,0,-450
1612,2,7.039e-06,2.3786,-700,-250
1612,3,1.651e-05,2.1161,-893,2000
