nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3,synchronisation
1,"A1050310","ALTKIRCH","l'Ill",968.26,2303.46,826.53,233,"S","115680",2.45,0.53,43,60,72,"A1050310","    -  Mise  en  service  ( limnigraphe )  le :  20  Novembre 1962  ;
Nivellé par Faber/Schaller en novembre 2010","04/11/16 08:10:00","00",,,,,28211,"04/11/16 08:16:00",,"A105003001","A1050030",
2,"A1350310","COLMAR (LADHOF)","l'Ill",975.792,2356.886,898.61,1784,"S","115680",19.7,3.3,150,210,240,"LADHOF","Les débits sont soutenus par un apport du Canal de Colmar                                                                                            - Station  ( limnigraphe )  mise en  service  le :  10  Novembre  1958
Echelle nivellé par Faber/Schaller en 2009 ( échelle inchangée)","04/11/16 08:26:00","00",,,,,18130,"04/11/16 08:27:00",,"A161003001","A1610030",
3,"A1080330","DIDENHEIM","l'Ill",,,,656,"S","115680",6.57,0.96,100,140,170,"DIDENHEIM","Nivellé par Faber /Schaller en 2007
Cote inchangé depuis 1983
Rehausse du seuil en mai 1988","04/11/16 08:17:00","00",,,,,24278,"04/11/16 08:17:00",,"A116003002","A1160030",
4,"A1000030","OLTINGUE","l'Ill",980.77,2288.77,,38.599998,"S","115680",,0.082,6,9,11,"A1000030",,"03/30/16 09:12:00","00",,,,,40177,"03/13/19 14:26:00",,"A100003001","A1000030",
5,"RNB20000","SIGOLSHEIM","la Weiss",970,2359.67,997.64,164,"S","115680",,,,,,"SIGOLSHEIM",,"01/31/00 00:00:00","10",,,,,,"02/26/25 15:25:00",,"A213020001","A2130200",
6,"RNB24000","HURST","la Lièpvrette",971.5599999999999,2376.18,,,"S","115680",,,,,,"HURST",,"01/28/00 00:00:00","10",,,,,,"02/26/25 15:05:00",,"A234021101","A2340211",
8,"RNB19500","WINTZENHEIM","le Logelbach",920.3200000000001,2354.7,,,"S","115680",,,,,,"WINTZENHEI",,"01/31/00 00:00:00","10",,,,,,,,,,
9,"RNB18000","HERRLISHEIM-PRÈS-COLMAR","la Lauch",972.4,2347.03,,,"S","115680",,,,,,"HERRLISHEI",,"01/26/00 00:00:00","10",,,,,,,,,,
10,"RNB17000","MERXHEIM","la Lauch",969.28,2335.07,,,"S","115680",,,,,,"MERXHEIM",,"01/26/00 00:00:00","10",,,,,,,,,,
11,"RNB15000","STE CROIX-EN-PLAINE (MATTENMUHL)","la Vieille Thur",974.02,2348.8,,,"S","115680",,,,,,"MATTENMUHL",,"01/26/00 00:00:00","10",,,,,,,,,,
12,"RNB08000","FELLERING","la Thur",,,,,"S","115680",,,,,,"FELLERING",,"01/26/00 00:00:00",,,,,,,,,,,
13,"RNB07000","RUELISHEIM","l' Ill",975.9400000000001,2325.37,,,"S","115680",,,,,,"RUELISHEIM",,"01/26/00 00:00:00","10",,,,,,,,,,
14,"A1122030","FRIESEN RD17","la Largue",962.59,295.86,,,"S","115680",,,22,30,35,"FRIESEN RD","Echelle mise en place en novembre 2010 et nivellé par Faber/Schaller.
Mise en service d'un CRM puis fin juin 2011 d'une CPL équipé d'une sonde piezo.
Raccordement au réseau téléphonique en septembre 2011.
Mise sur Vigie crue en juin 2011
Doublé par un radar en 2013","04/11/16 08:19:00","10",200,,,,35059,"07/24/18 15:55:00",,"A112010002","A1120100",
15,"A1126210","VALDIEU","Rigole d'alimentation",,,,,"S","000000",,,,,,"A1126210",,,,,,,,,"02/26/25 15:36:00",,"A112062201","A1120622",
16,"A2052020","OSTHEIM","la Fecht",974.275,2363.15,99363,447,"S","115680",6.8,0.89,67,93,110,"A2052020","  -  Influence  de  ""batardeaux"" / = 100m. en aval de la station / sur les hauteurs  du plan d'eau  en période estivale                                                                                                                                                                                            - Station  mise  en service  en  Avril  1972 .
Nivellé par Faber/Schaller en 07/2002 ( échelle inchangée)

-Travaux aménagement lit rivière en octobre-novembre 2015.Suppression des batardeaux.","02/15/16 09:00:00","00",,,,,17747,"01/11/23 15:06:00",,"A214010001","A2140100",
32,"A1252010","REININGUE","la Doller",966.904,2316.541,990.27,204,"S","115680",4.25,0.38,90,140,170,"REININGUE","  --  Mise  en  service  ( limnigraphe ) :  le  22  Nov. 1967 ;                                                                          --  Soutien  des  débits  d'étiage  par  apports  de  la  retenue  de  MICHELBACH ( Bge )  à  partir  de  1982  !!
Echelle nivellé par Faber/Schaller en 02/2002 (échelle inchangée)","04/11/16 08:25:00","00",200,,,,26103,"04/11/16 08:25:00",,"A125020001","A1250200",
33,"A1222010","MASEVAUX","la Doller",949.572,2318.368,968.28,92,"S","115680",,,,,,"A1222010","       -  Mise  en  service  de la  station  ( limnigraphe ) :  le  21  Novembre  1962  -                                                -  Arrèt  de  la  station :  le  09  Aout  1999 ;   remplacée  par  celle  de  LAUW  ( A1222020 ) !!","08/14/00 00:00:00","00",,,,,,"02/26/25 15:11:00",,"A122201001","A1222010",
34,"A1072010","WITTERSDORF","le Thalbach",970.97,2303.06,,70.5,"S","115680",0.59,0.055,11,17,21,"A1072010","  ----  Mise  en  service  ( limnigraphe )  le  :  14  Nov.  1980 ;                                                                                                                                                                                                                                                                       ** période  de  référence :  1981 / 2000  ( 20 ans )
Nivellé par Faber/Schaller en février 2002","04/11/16 08:16:00","00",,,,,28029,"04/11/16 08:17:00",,"A107020001","A1070200",
36,"A1310310","ENSISHEIM","l'Ill",974.75,2330.575,868.0599999999999,1038,"S","115680",11.6,0.41,150,210,240,"A1310310","    -   Mise  en  service  ( limnigraphe )  le  :  16  Janvier  1957  ;
Nivellement réalisé le 17/08/2023 MJ/VM/EP : 213.78m pour le 0 de l'échelle","04/11/16 08:25:00","00",,,,,21377,"08/17/23 13:41:00",,"A133003001","A1330030",
67,"RNB11000","ENSISHEIM"," LA THUR",973.912,2330.675,,273,"S","115680",,,,,,"ENSITHUR",,"03/12/02 00:00:00","10",,,,,,"02/26/25 15:02:00",,"A146020001","A1460200",
37,"RNB13000","OBERHERGHEIM","l'Ill",977.7670000000001,2341.981,881.4,1290,"S","115680",13,0.575,150,220,270,"A1320310","    -  Station  ( limnigraphe )  mise  en  service  le :  10  Septembre  1970 ;     antérieurement :  échelle  limnimétrique  avec  seulement  1 lecture  par  jour !!!","01/24/01 00:00:00","00",,,,,,"02/26/25 15:15:00",,"A147003001","A1470030",
39,"A1202030","SEWEN (VILLAGE)","la  Doller",942.2,2321.875,958.13,21.200001,"S","115680",1.11,0.12,22,32,38,"A1202030","  - Station  limnigraphique  mise  en  service  en  Juin 1974 ;  arrètée  en  Avril  1999 -                                                                                                -  Débits  de basses eaux  soutenus  en général  par des  restitutions  de  la  retenue   du  "" Lac d'ALFELD "" -","07/02/99 00:00:00","00",,,,,,"02/26/25 15:25:00",,"A120020501","A1200205",
40,"A1122010","DANNEMARIE","la Largue",,,,129,"S","115680",,,,,,"A1122010",,"06/08/99 00:00:00","00",,,,,,"02/26/25 14:56:00",,"A112020001","A1120200",
41,"A1133010","TRAUBACH-LE-BAS","le Traubach",957.975,2305.887,997,19.9,"S","115680",0.27,0.025,8.5,11,13,"A1133010","   -  Mise  en  service  ( limnigraphe )  le :  31  Aout  1984 ;
Nivellé par DREAL le 31/07/2014 ( MD et TH )
Reprise des observations en 2014","04/11/16 08:53:00","00",,,,,29445,"04/11/16 08:55:00",,"A113030002","A1130300",
42,"A1402020","WILDENSTEIN","la Thur",945.075,2340.96,949,7.6500001,"S","115680",0.37,0.044,7,9.699999999999999,12,"A1402020","  Station  mise  en  service  ( avec limnigraphe )  le :  16  Octobre  1979 -
Nivellé par Faber/Schaller en 09/2010 (échelle inchangée)","04/11/16 08:28:00","00",,,,,56895,"04/11/16 08:28:00",,"A140202001","A1402020",
43,"A1436910","WILLER-SUR-THUR","le Wissbach",954.78,2327.61,,21.299999,"S","115680",0.37,0.025,4.8,6.9,8.199999999999999,"A1436910","    -  Station  ( limnigraphe )  mise  en  service  le :  09 Novembre 1979  ;","10/23/00 00:00:00","00",,,,,,"02/26/25 15:38:00",,"A143069001","A1430690",
44,"A1462020","STAFFELFELDEN","la Thur",968.775,2325.712,990.8099999999999,249,"S","115680",6.25,0.85,70,100,120,"A1462020","  - Débits  de  basses eaux  influencés partiellement  par les  restitutions  de  la  retenue  artificielle  de  KRUTH-WILDENSTEIN -","09/14/01 00:00:00","00",,,,,,,,,,
45,"A1502040","LINTHAL","la Lauch",956.27,2337.74,957.23,28.299999,"S","115680",0.89,0.18,6.9,9.6,11,"A1502040","   -   Mise  en  service  ( limnigraphe )  le  :  12  Juin  1975 ;
La crue de février 1990 a tout arraché(station , échelle)
Nivellé par faber/Schaller en 07/2002
Installation d'une tyrolienne en 10/2010 à la station de pompage","04/11/16 08:34:00","00",,,,,49707,"04/11/16 08:34:00",,"A150020001","A1500200",
46,"A1522020","GUEBWILLER","la Lauch",964.255,2334.824,966.9299999999999,79.900002,"S","115680",1.67,0.2,18,24,29,"A1522020","  -  Date  de mise  en  service :  16/10/1975 
Nivellé par Faber/Schaller en 10/2009 (échelle inchangée)","04/11/16 08:34:00","00",,,"GUEBWILLER","68112",29014,"03/13/19 14:27:00",,"A152020001","A1520200",
47,"A1554020","WESTHALT2","l'Ohmbach",,,,42.599998,"S","000000",,,,,,"A1554020",,,,,,,,,"02/26/25 15:37:00",,"A153030002","A1530300",
49,"A2023030","STOSSWIHR","la Petite Fecht",,,,45.799999,"S","115680",1.41,0.26,15,22,26,"STOSSWIHR","Nivellé par Faber/Schaller en 07/2002","04/11/16 08:38:00","00",,,,,43059,"04/11/16 08:40:00",,"A202030001","A2020300",
50,"A2035310","SOULTZBACH-LES-BAINS","le Krebsbach",,,,24,"S","115680",,,,,,"A2035310",,"08/17/00 00:00:00","00",,,,,,"02/26/25 15:25:00",,"A203053001","A2030530",
51,"A2040100","TURCKHEIM","la Fecht",,,,231,"S","115680",4.42,0.34,45,64,76,"TURCKHEIM","Nivellé par Faber/Schaller en 07/2002","04/11/16 08:42:00","00",,,,,23567,"04/11/16 08:42:00",,"A204010001","A2040100",
