nogest,nomgest,numsandre,boite,ensemble,rue,lieudit,ville,codepostal,nomcontact
"367670","SERVICE DE LA NAVIGATION","367","ARRONDISSEMENT FONCTIONNEL E.E.","CITE ADMINISTRATIVE","14, RUE DU MARECHAL JUIN",,"STRASBOURG CEDEX","67084","MONIQUE ROBERJOT"
"115680","DREAL Alsace","115",,,,,,,
