"","2","3","4","5","6","7","8","9","10","11","12","13","Number_clusters","Best_val"
"frey",0.3274,0.3443,0.1766,0.2552,0.2786,0.2349,0.1895,0.1638,0.1377,0.145,0.0951,0.1011,1,NA
"mcclain",0.4825,0.883,1.8613,2.1678,2.222,2.3371,2.738,4.1513,4.4627,5.9464,7.7134,9.2758,2,0.4825
"silhouette",0.1303,0.1125,0.1207,0.1413,0.1792,0.2062,0.232,0.2524,0.2708,0.2796,0.2885,0.3031,13,0.3031
"dunn",0.61,0.5712,0.5811,0.5811,0.5811,0.5811,0.5811,0.6524,0.6829,0.7167,0.7167,0.7167,11,0.7167
