"","2","3","4","5","6","7","8","9","10","11","12","13","Number_clusters","Best_val"
"frey",0.2658,0.6975,-0.0424,-0.0216,0.1879,0.1386,0.0375,0.0189,0.4969,0.0132,0.0683,0.0508,1,NA
"mcclain",0.758,1.845,2.7922,3.2694,4.2497,4.5757,5.8498,6.5168,6.9642,9.3601,9.9178,10.6496,2,0.758
"silhouette",0.0909,0.0798,0.0635,0.0851,0.1241,0.1288,0.1324,0.1678,0.2061,0.1963,0.2487,0.288,13,0.288
"dunn",0.6071,0.604,0.6077,0.6113,0.6524,0.6829,0.6917,0.7121,0.7167,0.6047,0.6479,0.6528,10,0.7167
