cdentite;dtmesure;hauteur;qualh;methh;conth;statuth;debit;qualq;methq;contq;statutq
K209081001;2013-01-01 00:01:00;740;20;10;0;12;10675;20;10;0;12
K209081001;2013-01-01 08:12:00;733;20;10;0;12;10422;20;10;0;12
K209081001;2013-01-01 13:10:00;737;20;10;0;12;10566;20;10;0;12
K209081001;2013-01-01 17:00:00;763;20;10;0;12;11532;20;10;0;12
K209081001;2013-01-01 19:25:00;786;20;10;0;12;12426;20;10;0;12
K209081001;2013-01-01 23:40:00;790;20;10;0;12;12586;20;10;0;12
K209081001;2013-01-02 01:50:00;783;20;10;0;12;12308;20;10;0;12
K209081001;2013-01-02 03:40:00;767;20;10;0;12;11685;20;10;0;12
K209081001;2013-01-02 08:00:00;761;20;10;0;12;11456;20;10;0;12
K209081001;2013-01-02 09:50:00;753;20;10;0;12;11155;20;10;0;12
K209081001;2013-01-02 10:20:00;756;20;10;0;12;11267;20;10;0;12
K209081001;2013-01-02 11:20:00;747;20;10;0;12;10932;20;10;0;12
K209081001;2013-01-02 11:50:00;749;20;10;0;12;11006;20;10;0;12
K209081001;2013-01-02 12:20:00;743;20;10;0;12;10785;20;10;0;12
K209081001;2013-01-02 13:30:00;742;20;10;0;12;10748;20;10;0;12
K209081001;2013-01-02 14:00:00;736;20;10;0;12;10530;20;10;0;12
K209081001;2013-01-02 15:50:00;737;20;10;0;12;10566;20;10;0;12
K209081001;2013-01-02 16:30:00;731;20;10;0;12;10350;20;10;0;12
K209081001;2013-01-02 19:20:00;735;20;10;0;12;10494;20;10;0;12
K209081001;2013-01-02 22:40:00;726;20;10;0;12;10172;20;10;0;12
K209081001;2013-01-03 02:10:00;723;20;10;0;12;10066;20;10;0;12
K209081001;2013-01-03 03:40:00;715;20;10;0;12;9786;20;10;0;12
K209081001;2013-01-03 16:00:00;712;20;10;0;12;9682;20;10;0;12
K209081001;2013-01-03 16:40:00;708;20;10;0;12;9545;20;10;0;12
K209081001;2013-01-03 20:40:00;704;20;10;0;12;9408;20;10;0;12
K209081001;2013-01-03 23:30:00;694;20;10;0;12;9072;20;10;0;12
K209081001;2013-01-04 00:00:00;697;20;10;0;12;9172;20;10;0;12
K209081001;2013-01-04 00:55:00;698;20;10;0;12;9206;20;10;0;12
K209081001;2013-01-04 03:35:00;696;20;10;0;12;9139;20;10;0;12
K209081001;2013-01-04 05:45:00;697;20;10;0;12;9172;20;10;0;12
K209081001;2013-01-04 07:45:00;695;20;10;0;12;9105;20;10;0;12
K209081001;2013-01-04 09:05:00;692;20;10;0;12;9006;20;10;0;12
K209081001;2013-01-04 11:20:00;695;20;10;0;12;9105;20;10;0;12
K209081001;2013-01-04 12:15:00;694;20;10;0;12;9072;20;10;0;12
K209081001;2013-01-04 15:38:00;696;20;10;0;12;9139;20;10;0;12
K209081001;2013-01-04 16:50:00;695;20;10;0;12;9105;20;10;0;12
K209081001;2013-01-04 19:00:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2013-01-04 21:05:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2013-01-05 00:10:00;689;20;10;0;12;8907;20;10;0;12
K209081001;2013-01-05 01:50:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2013-01-05 05:28:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2013-01-05 07:20:00;693;20;10;0;12;9039;20;10;0;12
K209081001;2013-01-05 08:40:00;692;20;10;0;12;9006;20;10;0;12
K209081001;2013-01-05 10:05:00;687;20;10;0;12;8841;20;10;0;12
K209081001;2013-01-05 10:50:00;686;20;10;0;12;8808;20;10;0;12
K209081001;2013-01-05 12:32:00;686;20;10;0;12;8808;20;10;0;12
K209081001;2013-01-05 14:48:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2013-01-05 18:40:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2013-01-05 20:10:00;689;20;10;0;12;8907;20;10;0;12
K209081001;2013-01-05 21:20:00;691;20;10;0;12;8973;20;10;0;12
K209081001;2013-01-06 00:20:00;690;20;10;0;12;8940;20;10;0;12
K209081001;2013-01-06 06:52:00;685;20;10;0;12;8775;20;10;0;12
K209081001;2013-01-06 07:55:00;682;20;10;0;12;8678;20;10;0;12
K209081001;2013-01-06 09:35:00;683;20;10;0;12;8710;20;10;0;12
K209081001;2013-01-06 14:43:00;681;20;10;0;12;8645;20;10;0;12
K209081001;2013-01-06 16:13:00;677;20;10;0;12;8516;20;10;0;12
K209081001;2013-01-07 03:30:00;670;20;10;0;12;8293;20;10;0;12
K209081001;2013-01-07 08:10:00;670;20;10;0;12;8293;20;10;0;12
K209081001;2013-01-07 11:55:00;674;20;10;0;12;8420;20;10;0;12
K209081001;2013-01-07 14:00:00;671;20;10;0;12;8325;20;10;0;12
K209081001;2013-01-07 21:15:00;669;20;10;0;12;8262;20;10;0;12
K209081001;2013-01-08 03:10:00;664;20;10;0;12;8105;20;10;0;12
K209081001;2013-01-08 07:35:00;656;20;10;0;12;7857;20;10;0;12
K209081001;2013-01-08 11:45:00;659;20;10;0;12;7949;20;10;0;12
K209081001;2013-01-08 15:00:00;652;20;10;0;12;7735;20;10;0;12
K209081001;2013-01-08 21:35:00;647;20;10;0;12;7584;20;10;0;12
K209081001;2013-01-09 02:00:00;647;20;10;0;12;7584;20;10;0;12
