"","2","3","4","5","6","7","8","9","10","11","12","Number_clusters","Best_val"
"frey",0.0126,-0.0984,0.2284,-0.0187,0.0682,-0.0042,12.4084,0.1366,0.0684,0.2026,0.0456,1,NA
"mcclain",0.8667,1.6882,1.8713,2.7718,2.8476,3.8615,3.9616,5.1561,6.1354,6.4797,8.3401,2,0.8667
"silhouette",0.1372,0.1442,0.1429,0.1626,0.2009,0.2469,0.2813,0.2497,0.2729,0.3177,0.3031,11,0.3177
"dunn",0.3933,0.4056,0.4196,0.4533,0.4559,0.4881,0.4937,0.3908,0.4386,0.4411,0.449,8,0.4937
